@relation data
@attribute V1 {'1','2'}
@attribute V2 {'1','2','3','4','5','6','7'}
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 {'1','2'}
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 {'1','2','3','4'}
@attribute V9 numeric
@attribute V10 {'1','2'}
@attribute V11 {'1','2','3'}
@attribute V12 {'1','2'}
@attribute V13 numeric
@attribute V14 numeric
@attribute V15 numeric
@attribute V16 {'1','2'}
@attribute V17 numeric
@attribute V18 numeric
@attribute Class {'1','2','3','4','5'}
@data
'1','1',8,0,'2',2.22069,0,'4',1.625,'1','1','1',0.7,610,0,'2',0,2.888889,'3'
'1','4',0,0,'2',2,0,'2',1.625,'1','1','1',3.2,610,0,'2',0,2.888889,'3'
'1','4',0,0,'2',2,0,'2',1.625,'1','1','2',0.7,1300,762,'2',0,2.888889,'3'
'1','1',0,60,'2',2.22069,0,'4',1.625,'2','1','1',2.801,385.1,0,'2',0,2.888889,'3'
'1','1',0,60,'2',2.22069,0,'4',1.625,'1','1','2',0.801,255,269,'2',0,2.888889,'3'
'1','1',0,45,'2',2.22069,0,'1',1.625,'1','1','1',1.6,610,0,'2',0,2.888889,'3'
'1','4',0,0,'2',2,0,'2',1.625,'1','1','2',0.699,610,4880,'2',0,2.888889,'3'
'1','1',0,0,'2',2,0,'2',1.625,'1','1','1',3.3,152,0,'2',0,2.888889,'3'
'1','4',0,0,'2',2,0,'2',1.625,'1','1','1',0.699,1320,0,'2',0,2.888889,'3'
'1','1',0,0,'2',3,0,'2',1.625,'1','1','2',1,1320,762,'2',0,2.888889,'3'
'1','4',0,0,'2',2,0,'2',1.625,'1','1','1',1.2,610,0,'2',0,2.888889,'3'
'1','4',0,0,'2',2,0,'2',1.625,'1','1','2',0.3,1320,4880,'2',0,2.888889,'3'
'1','4',0,0,'2',2,0,'2',1.625,'1','1','2',1.2,610,150,'2',0,2.888889,'3'
'1','1',0,45,'2',2.22069,0,'1',1.625,'1','1','1',1.2,609.9,0,'2',0,2.888889,'3'
'1','1',0,0,'2',2,0,'3',1.625,'1','1','2',0.6,1220,761,'2',0,2.888889,'3'
'1','1',0,0,'2',2,0,'2',1.625,'1','1','2',4,1320,762,'2',0,2.888889,'3'
'1','1',10,0,'2',2.22069,0,'2',1.625,'1','1','1',3.201,600,0,'2',0,2.888889,'5'
'1','1',0,80,'2',2.22069,0,'4',1.625,'1','1','2',0.8,610,4170,'2',0,2.888889,'5'
'1','1',0,0,'2',2,0,'2',1.625,'1','1','2',3.2,1320.1,762,'2',0,2.888889,'3'
'1','1',0,70,'2',2.22069,0,'4',1.625,'1','1','1',0.501,1200.1,0,'2',0,2.888889,'3'
'1','1',0,0,'2',2,0,'3',1.625,'1','1','2',0.6,610,761,'2',0,2.888889,'3'
'1','2',55,0,'2',2.22069,0,'2',1.625,'1','1','1',0.8,610,0,'2',0,2.888889,'3'
'1','1',0,85,'2',2.22069,0,'4',1.625,'1','1','1',1.001,50,0,'2',0,2.888889,'5'
'1','5',70,0,'2',2.22069,0,'2',1.625,'1','1','1',3.2,609.9,0,'2',0,2.888889,'3'
'1','1',3,0,'2',2.22069,0,'2',1.625,'1','1','1',0.5,610,0,'2',0,2.888889,'1'
'1','1',0,50,'2',2.22069,0,'4',1.625,'1','1','1',3.2,1320,0,'2',0,2.888889,'3'
'1','1',0,60,'2',2.22069,0,'4',1.625,'1','1','2',0.8,356,4880,'2',0,2.888889,'3'
'1','4',0,0,'2',2,0,'2',1.625,'1','1','2',0.7,609.9,4170,'2',0,2.888889,'3'
'1','2',55,0,'2',2.22069,0,'2',1.625,'1','1','1',0.8,900,0,'2',0,2.888889,'3'
'1','7',0,0,'2',2.22069,310,'4',1.625,'1','1','1',1.6,610,0,'2',500,2.888889,'3'
'1','1',0,0,'2',3,0,'2',1.625,'1','1','2',0.6,610,4880,'2',0,2.888889,'4'
'1','1',0,45,'2',2.22069,0,'2',1.625,'1','1','2',1.4,1320,4170,'2',0,2.888889,'3'
'1','1',0,45,'2',2.22069,0,'1',1.625,'1','1','2',0.699,1320,762,'2',0,2.888889,'3'
'1','1',0,85,'2',2.22069,0,'4',1.625,'1','1','1',4,450,0,'2',0,2.888889,'5'
'1','1',0,0,'2',3,0,'3',1.625,'1','1','2',0.75,1320,4880,'2',0,2.888889,'3'
'1','1',0,0,'2',3,0,'2',1.625,'1','1','1',1.6,1220,0,'2',0,2.888889,'4'
'1','3',0,0,'2',2.22069,350,'4',1.625,'1','1','1',1.399,1320,0,'2',0,2.888889,'3'
'1','1',0,50,'2',2.22069,0,'4',1.625,'1','1','1',0.6,1320,0,'2',0,2.888889,'3'
'1','4',0,0,'2',2,0,'2',1.625,'1','1','1',0.651,20,0,'2',0,2.888889,'3'
'1','4',0,0,'2',2,0,'2',1.625,'1','1','2',1.6,374.9,4880,'2',0,2.888889,'3'
'2','1',0,0,'2',3,0,'2',1.625,'1','1','1',1.6,50,0,'2',0,2.888889,'3'
'1','4',0,0,'2',2,0,'2',1.625,'1','1','2',0.699,1320,4880,'2',0,2.888889,'3'
'2','1',0,50,'2',2.22069,0,'2',1.625,'1','1','1',0.7,610,0,'2',0,2.888889,'3'
'1','4',0,0,'2',3,0,'2',1.625,'1','1','2',0.6,610,762,'2',0,2.888889,'3'
'1','1',0,0,'2',3,0,'2',1.625,'1','1','1',0.799,20,0,'2',0,2.888889,'4'
'1','1',0,0,'2',2,0,'3',1.625,'1','1','2',0.6,610,301,'2',0,2.888889,'3'
'1','4',0,0,'2',3,0,'2',1.625,'1','1','2',0.601,610,4880,'2',0,2.888889,'3'
'1','1',0,45,'2',2.22069,0,'1',1.625,'1','1','2',0.7,1320,4880,'2',0,2.888889,'3'
'1','7',0,0,'2',2.22069,310,'4',1.625,'1','1','1',2.5,1274.9,0,'2',500,2.888889,'3'
'1','1',0,0,'2',2,0,'4',1.625,'1','1','2',0.699,1320,4880,'1',0,2.888889,'3'
'1','1',0,0,'2',2,0,'2',1.625,'1','1','2',0.7,609.9,762,'2',0,2.888889,'3'
'1','1',0,0,'2',1,0,'4',1.625,'1','1','2',0.3,1320,761,'2',0,2.888889,'3'
'1','4',0,0,'2',2,0,'2',1.625,'1','1','2',1.599,1300,762,'2',0,2.888889,'3'
'1','1',0,45,'2',2.22069,0,'1',1.625,'1','1','2',0.599,150,4880,'2',0,2.888889,'3'
'1','1',0,0,'2',2,0,'2',1.625,'1','1','1',0.7,1320,0,'2',0,2.888889,'3'
'1','4',0,0,'2',2,0,'2',1.625,'1','1','2',0.7,374.9,4880,'2',0,2.888889,'3'
'1','1',0,0,'1',2,0,'4',1.625,'1','1','2',0.301,610,762,'2',0,2.888889,'3'
'1','1',0,0,'2',2.22069,500,'4',1.625,'1','1','1',1.6,1320,0,'2',0,2.888889,'3'
'1','1',0,0,'2',2,0,'4',1.625,'1','1','2',3.2,1300,762,'2',0,2.888889,'3'
'2','1',0,0,'2',5,0,'2',1.625,'1','1','2',1.2,610,762,'2',0,2.888889,'3'
'2','1',0,0,'2',5,0,'2',1.625,'1','1','2',1.2,610,4880,'2',0,2.888889,'3'
'1','1',0,0,'2',3,0,'3',1.625,'1','1','2',0.6,1220,762,'2',0,2.888889,'3'
'1','1',0,45,'2',2.22069,0,'1',1.625,'1','1','1',0.301,610,0,'2',0,2.888889,'3'
'2','1',0,85,'2',2.22069,0,'2',1.625,'1','1','2',1,610,762,'2',0,2.888889,'5'
'1','4',0,0,'2',2,0,'2',1.625,'1','1','2',1.6,500,762,'2',0,2.888889,'3'
'1','1',0,0,'2',1,0,'4',1.625,'1','1','2',0.301,515,610,'2',0,2.888889,'3'
'1','1',0,0,'2',3,0,'2',1.625,'1','1','2',1.2,335,611,'2',0,2.888889,'4'
'1','4',0,0,'2',3,0,'2',1.625,'1','1','2',0.8,1320,762,'2',0,2.888889,'2'
'1','1',0,0,'2',2,0,'2',1.625,'1','1','1',0.4,20,0,'2',0,2.888889,'3'
'1','1',0,0,'2',3,0,'2',1.625,'1','1','1',0.6,250,0,'2',0,2.888889,'4'
'1','1',0,70,'2',2.22069,0,'4',1.625,'1','1','1',0.801,610,0,'2',600,2.888889,'3'
'1','4',0,0,'2',2,0,'2',1.625,'2','1','1',3.5,610,0,'2',600,2.888889,'3'
'1','1',0,0,'2',1,0,'4',1.625,'1','1','2',0.699,610,762,'2',0,2.888889,'3'
'1','4',0,0,'2',2,0,'2',1.625,'1','1','1',0.799,1300,0,'2',0,2.888889,'3'
'1','1',4,0,'2',2.22069,0,'4',1.625,'1','1','1',0.5,1130,0,'2',0,2.888889,'3'
