%%  Note: character.tar contains everything in this directory, as well as
%%        train and test sets.
%%  
%%  1. TITLE: Artificial Character Database
%%  
%%  2. SOURCES: 
%%                     Marco Botta
%%  		   Dipartimento di Informatica
%%  		   Universita` di Torino
%%  		   Corso Svizzera 185
%%                     10149  Torino
%%                     ITALY
%%                     Tel. (+39)(11)7712002
%%                     Fax. (+39)(11)751603
%%                     email: botta@di.unito.it
%%                     July, 1992
%%  
%%  3. PAST USAGE:
%%      (a) M. Botta, A. Giordana, L. Saitta: "Learning Fuzzy Concept Definitions",
%%  	submitted to IEEE-Fuzzy Conference.
%%  
%%  	We made three type of experiments: we run Smart+ by using default
%%  	values for the parameter constants in the fuzzy definitions of the
%%  	predicates, a local optimization algorithm and a genetic algorithm
%%  	to automatically acquire parameter values. The local optimization
%%  	algorithm and the GA are also described in:
%%  
%%  	M. Botta, A. Giordana: "Learning Quantitative Feature in a Symbolic
%%  	Environment", LNAI 542, 1991, pp. 296-305.
%%  
%%  	The results obtained on this data sets are the following:
%%  
%%  	Type of Optimization  Recognition Rate  Error Rate  Ambiguity Rate
%%  	  
%%  	  No OPT		  41.48%	   3.82%	 54.70%
%%  	  Loacl OPT		  98.68%	   0.12%	  1.20%
%%  	  Local+GA OPT		  99.70%	   0.0%		  0.30%
%%  
%%  4. RELEVANT INFORMATION:
%%  
%%        This database has been artificially generated by using a first order
%%        theory which describes the structure of ten capitol letters of the
%%        English alphabet and a random choice theorem prover which accounts
%%        for etherogeneity in the instances. The capitol letters represented
%%        are the following: A, C, D, E, F, G, H, L, P, R.
%%        Each instance is structured and is described by a set of segments (lines)
%%        which resemble the way an automatic program would segment an image.
%%        Each instance is stored in a separate file whose format is the following:
%%                CLASS OBJNUM TYPE XX1 YY1 XX2 YY2 SIZE DIAG
%%        where CLASS is an integer number indicating the class as described below,
%%        OBJNUM is an integer identifier of a segment (starting from 0) in the
%%        instance and the remaining columns represent attribute values.
%%        For further details contact the author.
%%  
%%  5. NUMBER OF INSTANCES:
%%        1000 instance (100 per class) as learning set.
%%        5000 instance (500 per class) as test set.
%%  
%%  6. NUMBER OF ATTRIBUTES:
%%        Each segment in an instance is described by seven attributes, four of
%%        which are the most important, one is superflous, and the other two can be
%%        computed from the important ones, but are present for efficiency reasons.
%%  
%%  7. ATTRIBUTE INFORMATION:
%%  
%%        TYPE: the first attribute describes the type of segment and is always
%%  	    set to the string "line". Its C language type is char.
%%  
%%        XX1,YY1,XX2,YY2: these attributes contain the initial and final coordinates
%%  		   of a segment in a cartesian plane. Their C language type is
%%  		   int.
%%  
%%        SIZE: this is the length of a segment computed by using the geometric
%%  	    distance between two points A(X1,Y1) and B(X2,Y2). Its C language
%%  	    type is float.
%%  
%%        DIAG: this is the length of the diagonal of the smallest rectangle
%%  	    which includes the picture of the character. The value of this
%%  		attribute is the same in each object. Its C language
%%  		type is float.
%%  
%%  8. MISSING ATTRIBUTE VALUES: None
%%  
%%  9. CLASS DISTRIBUTION:
%%          the class value (CLASS) can take ten different values. Each 
%%  	letter belongs to only one of classes.
%%  
%%  
%%          CLASS	NAME  TRAINING  TESTING  TOTAL     
%%  
%%            1	  A 	100	  500	  600
%%            2	  C	100	  500	  600
%%            3	  D	100	  500	  600
%%            4	  E	100	  500	  600
%%            5	  F	100	  500	  600
%%            6	  G	100	  500	  600
%%            7	  H	100	  500	  600
%%            8	  L	100	  500	  600
%%            9	  P	100	  500	  600
%%            10	  R	100	  500	  600
%%            -----------------------------------------------------------
%%            TOTAL        1000      5000    6000

@relation artificial-characters

@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute Class {1,2,3,4,5,6,7,8,9,10}

@data
0,0,0,0,20,20,46.1,1
1,19,0,19,8,8,46.1,1
2,0,20,19,8,22.47,46.1,1
3,0,20,8,42,23.41,46.1,1
4,19,8,8,42,35.74,46.1,1
0,0,0,0,12,12,37.66,1
1,7,0,7,7,7,37.66,1
2,0,12,7,7,8.6,37.66,1
3,0,12,1,35,23.02,37.66,1
4,7,7,5,30,23.09,37.66,1
5,1,35,2,37,2.24,37.66,1
6,2,37,5,30,7.62,37.66,1
0,0,0,0,20,20,43.05,1
1,19,0,20,11,11.05,43.05,1
2,0,20,20,11,21.93,43.05,1
3,0,20,0,37,17,43.05,1
4,20,11,22,22,11.18,43.05,1
5,0,37,22,22,26.63,43.05,1
0,0,0,0,7,7,25,1
1,6,0,6,7,7,25,1
2,0,7,6,7,6,25,1
3,0,7,1,24,17.03,25,1
4,6,7,7,24,17.03,25,1
5,1,24,2,24,1,25,1
6,2,24,7,24,5,25,1
0,0,0,0,7,7,40,1
1,21,0,22,11,11.05,40,1
2,0,7,22,11,22.36,40,1
3,0,7,2,15,8.25,40,1
4,22,11,24,32,21.1,40,1
5,2,15,24,32,27.8,40,1
0,0,0,0,6,6,26,1
1,10,0,10,7,7,26,1
2,0,6,10,7,10.05,26,1
3,0,6,1,13,7.07,26,1
4,10,7,9,24,17.03,26,1
5,1,13,5,22,9.85,26,1
6,5,22,9,24,4.47,26,1
0,0,0,0,22,22,41.59,1
1,18,0,19,11,11.05,41.59,1
2,0,22,19,11,21.95,41.59,1
3,0,22,1,37,15.03,41.59,1
4,19,11,17,30,19.1,41.59,1
5,1,37,17,30,17.46,41.59,1
0,0,0,0,24,24,49.74,1
1,24,0,25,17,17.03,49.74,1
2,0,24,25,17,25.96,49.74,1
3,0,24,2,34,10.2,49.74,1
4,25,17,24,40,23.02,49.74,1
5,2,34,9,43,11.4,49.74,1
6,9,43,24,40,15.3,49.74,1
0,0,0,0,10,10,32.53,1
1,23,0,23,14,14,32.53,1
2,0,10,23,14,23.35,32.53,1
3,0,10,13,23,18.38,32.53,1
4,23,14,13,23,13.45,32.53,1
0,0,0,0,15,15,37.48,1
1,25,0,27,9,9.22,37.48,1
2,0,15,27,9,27.66,37.48,1
3,0,15,23,26,25.5,37.48,1
4,27,9,23,26,17.46,37.48,1
0,0,0,0,18,18,29.55,1
1,10,0,12,18,18.11,29.55,1
2,0,18,12,18,12,29.55,1
3,0,18,4,27,9.85,29.55,1
4,12,18,4,27,12.04,29.55,1
0,0,0,0,11,11,28.46,1
1,8,0,9,9,9.06,28.46,1
2,0,11,9,9,9.22,28.46,1
3,0,11,2,27,16.12,28.46,1
4,9,9,9,22,13,28.46,1
5,2,27,9,22,8.6,28.46,1
0,0,0,0,19,19,49.74,1
1,23,0,25,20,20.1,49.74,1
2,0,19,25,20,25.02,49.74,1
3,0,19,0,40,21,49.74,1
4,25,20,23,43,23.09,49.74,1
5,0,40,6,42,6.32,49.74,1
6,6,42,23,43,17.03,49.74,1
0,0,0,0,19,19,38.83,1
1,8,0,8,7,7,38.83,1
2,0,19,8,7,14.42,38.83,1
3,0,19,2,37,18.11,38.83,1
4,8,7,6,30,23.09,38.83,1
5,2,37,2,38,1,38.83,1
6,2,38,6,30,8.94,38.83,1
0,0,0,0,12,12,40.5,1
1,11,0,12,17,17.03,40.5,1
2,0,12,12,17,13,40.5,1
3,0,12,1,34,22.02,40.5,1
4,12,17,14,38,21.1,40.5,1
5,1,34,14,38,13.6,40.5,1
0,0,0,0,20,20,49.66,1
1,19,0,21,14,14.14,49.66,1
2,0,20,21,14,21.84,49.66,1
3,0,20,20,45,32.02,49.66,1
4,21,14,20,45,31.02,49.66,1
0,0,0,0,8,8,35.9,1
1,6,0,8,11,11.18,35.9,1
