%%  1. Title: Audiology Database
%%  
%%  2. Sources:
%%      (a) Original Owner: Professor Jergen at Baylor College of Medicine
%%      (b) Donor: Bruce Porter (porter@fall.cs.utexas.EDU)
%%      (c) Date Received: 12/3/1987
%%  
%%  3. Past Usage: 
%%     -- See: Bareiss, E. Ray, & Porter, Bruce (1987).  Protos: An Exemplar-Based
%%        Learning Apprentice.  In the Proceedings of the 4th International
%%        Workshop on Machine Learning, 12-23, Irvine, CA: Morgan Kaufmann.
%%  
%%  4. Relevant Information:
%%     -- Contact Ray Bareiss (rbareiss@uunet.uucp ??), now at Vanderbilt 
%%        University, for more information.
%%     -- Domain expert: Professor Craig Wier of the University of Texas, Austin.
%%  
%%  5. Number of instances: 200 training cases, 26 test cases
%%  
%%  6. Number of attributes: ???
%%  
%%  7. Attribute information: (all attributes are nominally valued)
%%     1. case identifier.
%%     2. classification (24 classes)
%%     3. List of case features
%%        -- format: form f(v) should be read as "feature f has value v"
%%  
%%  8. Missing attribute values:
%%     -- This database does NOT use a standard set of attributes per instance.
%%  
%%  9. Class Distribution: (in the training set)
%%      1. acoustic_neuroma: 1
%%      2. bells_palsy: 1
%%      3. cochlear_age: 46
%%      4. cochlear_age_and_noise: 18
%%      5. cochlear_age_plus_poss_menieres: 1
%%      6. cochlear_noise_and_heredity: 2
%%      7. cochlear_poss_noise: 16
%%      8. cochlear_unknown: 48
%%      9. conductive_discontinuity: 2
%%     10. conductive_fixation: 6
%%     11. mixed_cochlear_age_fixation: 1
%%     12. mixed_cochlear_age_otitis_media: 4
%%     13. mixed_cochlear_age_s_om: 2
%%     14. mixed_cochlear_unk_discontinuity: 2
%%     15. mixed_cochlear_unk_fixation: 5
%%     16. mixed_cochlear_unk_ser_om: 3
%%     17. mixed_poss_central_om: 1
%%     18. mixed_poss_noise_om: 2
%%     19. normal_ear: 20
%%     20. otitis_media: 4
%%     21. poss_central: 1
%%     22. possible_brainstem_disorder: 4
%%     23. possible_menieres: 8
%%     24. retrocochlear_unknown: 2
%%     --------------------Total: 200

@relation audiology

@attribute V1 {f,t}
@attribute V2 {mild,moderate,normal,profound,severe}
@attribute V3 {f,t}
@attribute V4 {'?',absent,elevated,normal}
@attribute V5 {'?',absent,elevated,normal}
@attribute V6 {'?',mild,moderate,normal,unmeasured}
@attribute V7 {f,t}
@attribute V8 {'?',degraded,normal}
@attribute V9 {f,t}
@attribute V10 {f,t}
@attribute V11 {f,t}
@attribute V12 {f,t}
@attribute V13 {f,t}
@attribute V14 {f,t}
@attribute V15 {f,t}
@attribute V16 {f,t}
@attribute V17 {f,t}
@attribute V18 {f,t}
@attribute V19 {f,t}
@attribute V20 {f,t}
@attribute V21 {f,t}
@attribute V22 {f,t}
@attribute V23 {f,t}
@attribute V24 {f,t}
@attribute V25 {f,t}
@attribute V26 {f,t}
@attribute V27 {f,t}
@attribute V28 {f,t}
@attribute V29 {f,t}
@attribute V30 {f,t}
@attribute V31 {f,t}
@attribute V32 {f,t}
@attribute V33 {f,t}
@attribute V34 {f,t}
@attribute V35 {f,t}
@attribute V36 {f,t}
@attribute V37 {f,t}
@attribute V38 {f,t}
@attribute V39 {f,t}
@attribute V40 {f,t}
@attribute V41 {f,t}
@attribute V42 {f,t}
@attribute V43 {f,t}
@attribute V44 {f,t}
@attribute V45 {f,t}
@attribute V46 {f,t}
@attribute V47 {f,t}
@attribute V48 {f,t}
@attribute V49 {f,t}
@attribute V50 {f,t}
@attribute V51 {f,t}
@attribute V52 {f,t}
@attribute V53 {f,t}
@attribute V54 {f,t}
@attribute V55 {f,t}
@attribute V56 {f,t}
@attribute V57 {f,t}
@attribute V58 {f,t}
@attribute V59 {'?',absent,elevated,normal}
@attribute V60 {'?',absent,elevated,normal}
@attribute V61 {f,t}
@attribute V62 {f,t}
@attribute V63 {f,t}
@attribute V64 {'?',good,normal,poor,unmeasured,very_good,very_poor}
@attribute V65 {f,t}
@attribute V66 {a,ad,as,b,c}
@attribute V67 {f,t}
@attribute V68 {f,t}
@attribute V69 {f,t}
@attribute V70 {p1,p10,p100,p101,p102,p103,p104,p105,p106,p107,p108,p109,p11,p110,p111,p112,p113,p114,p115,p116,p117,p118,p119,p12,p120,p121,p122,p123,p124,p125,p126,p127,p128,p129,p13,p130,p131,p132,p133,p134,p135,p136,p137,p138,p139,p14,p140,p141,p142,p143,p144,p145,p146,p147,p148,p149,p15,p150,p151,p152,p153,p154,p155,p156,p157,p158,p159,p16,p160,p161,p162,p163,p164,p165,p166,p167,p168,p169,p17,p170,p171,p172,p173,p174,p175,p176,p177,p178,p179,p18,p180,p181,p182,p183,p184,p185,p186,p187,p188,p189,p19,p190,p191,p192,p193,p194,p195,p196,p197,p198,p199,p2,p20,p200,p21,p22,p23,p24,p25,p26,p27,p28,p29,p3,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p4,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p5,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p6,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p7,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p8,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p9,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,t1,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t2,t20,t21,t22,t23,t24,t25,t26,t3,t4,t5,t6,t7,t8,t9}
@attribute Class {acoustic_neuroma,bells_palsy,cochlear_age,cochlear_age_and_noise,cochlear_age_plus_poss_menieres,cochlear_noise_and_heredity,cochlear_poss_noise,cochlear_unknown,conductive_discontinuity,conductive_fixation,mixed_cochlear_age_fixation,mixed_cochlear_age_otitis_media,mixed_cochlear_age_s_om,mixed_cochlear_unk_discontinuity,mixed_cochlear_unk_fixation,mixed_cochlear_unk_ser_om,mixed_poss_central_om,mixed_poss_noise_om,normal_ear,otitis_media,poss_central,possible_brainstem_disorder,possible_menieres,retrocochlear_unknown}

@data
f,mild,f,normal,normal,'?',t,'?',f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,normal,normal,f,f,f,normal,t,a,f,f,f,p1,cochlear_unknown
f,moderate,f,normal,normal,'?',t,'?',f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,normal,normal,f,f,f,normal,t,a,f,f,f,p2,cochlear_unknown
t,mild,t,'?',absent,mild,t,'?',f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,'?',absent,f,f,f,normal,t,as,f,f,f,p3,mixed_cochlear_age_fixation
t,mild,t,'?',absent,mild,f,'?',f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,'?',absent,f,f,f,normal,t,b,f,f,f,p4,mixed_cochlear_age_otitis_media
t,mild,f,normal,normal,mild,t,'?',f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,normal,normal,f,f,f,good,t,a,f,f,f,p5,cochlear_age
t,mild,f,normal,normal,mild,t,'?',f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,normal,normal,f,f,f,very_good,t,a,f,f,f,p6,cochlear_age
f,mild,f,normal,normal,mild,t,'?',f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,normal,normal,f,f,f,good,t,a,f,f,f,p7,cochlear_unknown
f,mild,f,normal,normal,mild,t,'?',f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,normal,normal,f,f,f,very_good,t,a,f,f,f,p8,cochlear_unknown
f,severe,f,'?','?','?',t,'?',f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,'?','?',f,f,f,'?',t,a,f,f,f,p9,cochlear_unknown
t,mild,f,elevated,absent,mild,t,'?',f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,normal,absent,f,f,f,good,t,a,f,f,f,p10,cochlear_age
t,mild,f,normal,absent,mild,t,'?',f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,normal,absent,f,f,f,very_good,t,a,f,f,f,p11,cochlear_age
t,mild,f,normal,normal,'?',t,'?',f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,normal,normal,f,f,f,good,t,a,f,f,f,p12,cochlear_age
f,severe,f,normal,normal,moderate,t,'?',f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,normal,normal,f,f,f,very_poor,t,a,f,f,f,p13,cochlear_unknown
f,normal,f,elevated,normal,mild,f,'?',f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,elevated,elevated,f,f,f,normal,t,a,f,f,f,p14,normal_ear
t,mild,f,normal,normal,mild,t,'?',f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,normal,elevated,f,f,f,very_good,t,a,f,f,f,p15,cochlear_age
t,mild,f,normal,elevated,mild,t,'?',f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,normal,elevated,f,f,f,good,t,a,f,f,f,p16,cochlear_age
f,mild,f,normal,normal,mild,t,'?',f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,normal,elevated,f,f,f,very_good,t,a,f,f,f,p17,cochlear_poss_noise
f,mild,f,normal,elevated,mild,t,'?',f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,normal,normal,f,f,f,normal,t,a,f,f,f,p18,cochlear_poss_noise
