%%  AutoUniv Version 1 User Guide 

%%  1 About AutoUniv 
%%  AutoUniv (AU) is a tool for creating classification models and generating 
%%  classified examples. 
%%  AU was designed by 
%%  Ray J. Hickey 
%%  E: ray.j.hickey@gmail.com
%%  W: http://sites.google.com/site/autouniv
%%  AU was programmed in Win-Prolog, version 4.9 from Logic Programming 
%%  Associates and makes use of the Prolog compiler and reasoning engine. 

%%  2 Installation 
%%  AU runs under Windows. Around 2GB of memory will be sufficient. Simply 
%%  extract AU.zip. AU does not alter registry settings. 
%%  All files are in the top-level folder. AU consists of four files: au.exe, au.dll, au.ini, 
%%  au.ovl. Two sub-folders exist containing examples of models and of data sets. 
%%  In addition to this User Guide there is also a Reference Manual. 
%%  Memory settings are in au.ini. These have been set to cater for the largest 
%%  models and should not need adjusting. 

%%  3 Running AU 
%%  Run au.exe. This will start the Launcher. From here you can run the two 
%%  applications namely the model builder, Create Model, and the data generator, 
%%  Generate Data. 
%%  The following sections provide a brief description of the use of the model builder 
%%  and data generator. These should be read in conjunction with the more detailed 
%%  account of AU in the Reference Manual. 

%%  4 The model builder tool 
%%  The Build Classification Model dialog is available from the Launcher. Settings 
%%  are made for attributes, classes and rules. The order in which settings are 
%%  entered is controlled. For example, the number of relevant attributes cannot be 
%%  specified until the number of attributes overall is specified. Validity checks 
%%  operate to prevent illegitimate entries. There is also auto completion. 
%%  The Class Distribution Settings dialog is available from the Customise 
%%  Distribution button or these settings can be randomised from the Randomise 
%%  Distributions button. A total weight of 1000 must be distributed across the 
%%  classes to reflect the prominence of each class. Applying Hold to any weight will 
%%  cause it to be retained when randomisation is applied. Minimum and maximum 
%%  values for the majority class probability are set for each class. These are 
%%  expressed as integers up to 1000 subject to a minimum necessary to secure a 
%%  majority class (which is displayed). Randomisation is also available, with hold. 
%%  Selecting Zero Noise followed by randomisation will set minimum and maximum - 2 - 
%%  to 1000 for unheld classes. Illegitimate values will be notified to the user when 
%%  the Apply button is pressed. 
%%  When all build settings have been made the Apply button in the Build 
%%  Classification Model dialog is enabled. When activated, this will enable the Start
%%  button for model building. Progress in the building of the model is echoed in the 
%%  Build Log window. After completion or failure, the model may be rebuilt with or 
%%  without attribute definitions and attribute factorisation being retained. 
%%  Once built, a model may be saved which creates its .aupl, .aurules and 
%%  .auprops files. The .aupl file provides the Prolog source code definition of the 
%%  model. 
%%  A new model may now be built or drift may be applied to the existing model by 
%%  selecting Keep attribute definitions and, possibly, other keep options depending 
%%  on the type of drift required. 
%%  When the user returns to the Launcher, the current build settings are retained. 

%%  5 The data generator tool 
%%  The Generate Data Set from Model dialog is available from the Launcher. Here 
%%  a model is selected and will be compiled into the Prolog system. A file format 
%%  for the examples is selected. The three available formats are CSV, ARFF (for 
%%  WEKA) and C4.5. Examples may be generated with or without header attribute 
%%  information. The latter is useful for appending examples to existing files. 

%%  6 Modification of the .aupl file 
%%  The user can edit the .aupl file for a model in order to manually alter the model 
%%  definition. Caution should be exercised when doing this. It is the user’s 
%%  responsibility to ensure the logical integrity and syntactic correctness of any 
%%  alterations. Logical flaws will cause the data generator to crash. In this situation, 
%%  the system should be exited and restarted. Syntax errors will produce a Prolog 
%%  compiler error message. 

@relation autoUniv-au4-2500

@attribute V1 numeric
@attribute V2 numeric
@attribute V3 {v1,v2,v3,v4,v5,v6}
@attribute V4 {v1,v2,v3,v4}
@attribute V5 numeric
@attribute V6 {v1,v2,v3}
@attribute V7 numeric
@attribute V8 numeric
@attribute V9 {v1,v2,v3,v4}
@attribute V10 numeric
@attribute V11 numeric
@attribute V12 {v1,v2,v3}
@attribute V13 {v1,v2}
@attribute V14 {v1,v2,v3,v4,v5}
@attribute V15 {v1,v2,v3,v4,v5,v6}
@attribute V16 numeric
@attribute V17 numeric
@attribute V18 numeric
@attribute V19 {v1,v2}
@attribute V20 numeric
@attribute V21 numeric
@attribute V22 numeric
@attribute V23 numeric
@attribute V24 numeric
@attribute V25 {v1,v2,v3,v4}
@attribute V26 numeric
@attribute V27 numeric
@attribute V28 numeric
@attribute V29 numeric
@attribute V30 numeric
@attribute V31 {v1,v2}
@attribute V32 numeric
@attribute V33 numeric
@attribute V34 {v1,v2,v3,v4,v5,v6}
@attribute V35 numeric
@attribute V36 numeric
@attribute V37 {v1,v2,v3,v4,v5}
@attribute V38 {v1,v2,v3,v4}
@attribute V39 {v1,v2,v3,v4,v5}
@attribute V40 {v1,v2}
@attribute V41 numeric
@attribute V42 numeric
@attribute V43 numeric
@attribute V44 {v1,v2,v3,v4,v5}
@attribute V45 numeric
@attribute V46 numeric
@attribute V47 {v1,v2,v3,v4,v5,v6}
@attribute V48 {v1,v2,v3}
@attribute V49 {v1,v2,v3,v4,v5,v6}
@attribute V50 numeric
@attribute V51 {v1,v2,v3,v4,v5}
@attribute V52 numeric
@attribute V53 numeric
@attribute V54 numeric
@attribute V55 {v1,v2,v3,v4,v5}
@attribute V56 {v1,v2,v3,v4,v5}
@attribute V57 {v1,v2,v3}
@attribute V58 {v1,v2,v3}
@attribute V59 numeric
@attribute V60 numeric
@attribute V61 numeric
@attribute V62 numeric
@attribute V63 numeric
@attribute V64 {v1,v2,v3,v4,v5}
@attribute V65 numeric
@attribute V66 {v1,v2}
@attribute V67 numeric
@attribute V68 {v1,v2,v3,v4,v5}
@attribute V69 {v1,v2,v3,v4}
@attribute V70 numeric
@attribute V71 numeric
@attribute V72 numeric
@attribute V73 numeric
@attribute V74 numeric
@attribute V75 numeric
@attribute V76 numeric
@attribute V77 numeric
@attribute V78 numeric
@attribute V79 {v1,v2,v3,v4,v5}
@attribute V80 numeric
@attribute V81 {v1,v2,v3,v4}
@attribute V82 numeric
@attribute V83 {v1,v2,v3}
@attribute V84 {v1,v2}
@attribute V85 numeric
@attribute V86 numeric
@attribute V87 numeric
@attribute V88 numeric
@attribute V89 {v1,v2,v3,v4,v5,v6}
@attribute V90 {v1,v2,v3}
@attribute V91 numeric
@attribute V92 {v1,v2}
@attribute V93 {v1,v2}
@attribute V94 numeric
@attribute V95 numeric
@attribute V96 {v1,v2,v3,v4,v5}
@attribute V97 {v1,v2,v3}
@attribute V98 {v1,v2,v3,v4,v5,v6}
@attribute V99 {v1,v2}
@attribute V100 {v1,v2,v3,v4,v5}
@attribute Class {class1,class2,class3}

@data
1,3,v5,v1,0.22,v3,0,1,v4,2,34231,v2,v1,v2,v5,0.51,788,31.1,v2,52,72.4,0.893,281,0,v1,0,473,3,0.936,758,v2,0.598,652,v1,5282,0.835,v4,v1,v1,v2,2,7323,4,v4,7.31,1,v1,v1,v5,2,v4,0,7.09,0,v4,v4,v3,v3,61079,6819,44.2,1,32.9,v3,1,v2,19359,v3,v4,5.58,2,7011,0.45,5077,0,68,79.6,0,v1,1,v4,3.78,v2,v1,64.1,3.65,3,460,v1,v2,1,v1,v1,0,5182,v2,v2,v6,v2,v2,class2
0,0,v2,v1,0.41,v2,0,2,v1,0,71919,v2,v2,v1,v5,0.28,341,33.7,v2,50,69.6,0.839,268,4,v2,1,407,1,0.91,850,v1,0.604,604,v5,4034,0.524,v2,v1,v3,v2,1,7262,0,v1,7.43,2,v6,v3,v4,1,v3,2,6.72,0,v4,v1,v3,v2,52134,5932,45.6,1,29.5,v2,1,v1,20183,v5,v4,5.77,0,6842,0.43,2283,0,84,79.6,5,v2,1,v4,6.52,v3,v1,46,4.45,3,862,v3,v3,1,v1,v2,0,5051,v3,v2,v3,v1,v4,class2
0,2,v5,v4,0.06,v1,0,2,v1,0,72055,v2,v2,v4,v5,0.3,792,35.4,v1,41,68.5,0.934,248,3,v3,1,353,2,0.93,879,v1,0.646,657,v2,5295,0.701,v2,v2,v2,v2,1,6401,2,v3,7.95,3,v1,v3,v2,1,v5,3,6.1,0,v5,v2,v3,v3,54390,5774,63.8,1,31.3,v5,1,v2,18405,v3,v2,5.58,1,7216,0.62,3124,2,91,83.6,2,v1,0,v3,3.44,v3,v1,64.1,3.46,0,401,v1,v1,2,v1,v1,0,5815,v2,v3,v3,v2,v4,class1
0,3,v6,v4,0.49,v2,1,3,v2,3,71946,v2,v1,v2,v2,0.31,738,32.9,v1,59,69.3,0.84,273,4,v2,1,438,4,0.939,807,v1,0.623,648,v2,4061,0.177,v4,v3,v2,v1,1,6244,1,v4,7.28,3,v3,v3,v2,0,v3,1,5.06,1,v2,v5,v1,v2,66213,6272,44.3,1,31.5,v3,2,v1,18966,v2,v1,6.71,2,6733,0.15,2779,2,82,80.3,1,v3,1,v3,6.51,v3,v2,46.3,3.76,1,663,v3,v1,2,v2,v2,0,5564,v3,v2,v5,v1,v1,class3
1,0,v4,v4,0.04,v1,0,2,v2,0,39969,v2,v2,v3,v3,0.1,843,35.1,v2,60,67.9,0.926,206,1,v3,0,481,4,0.941,847,v2,0.648,606,v3,5050,0.873,v3,v3,v5,v2,3,5450,0,v1,7.81,3,v5,v1,v3,0,v3,1,6.92,1,v2,v2,v3,v1,73371,5875,83.4,0,30.2,v3,2,v2,23035,v3,v2,6.99,3,6640,0.51,3025,2,62,80,4,v1,0,v4,6.28,v1,v1,46.2,4.55,3,435,v3,v3,0,v1,v1,0,5668,v1,v3,v3,v1,v5,class2
1,1,v6,v3,0.31,v2,0,3,v2,3,37345,v1,v2,v2,v2,0.23,711,30.2,v2,50,72.2,0.95,286,4,v1,0,483,1,0.943,605,v1,0.448,655,v3,5245,0.471,v4,v1,v1,v2,0,6099,3,v1,7.78,2,v1,v3,v6,2,v1,2,4.81,1,v4,v4,v3,v1,53976,7033,15.9,0,50.9,v3,2,v1,20090,v2,v2,6.63,2,6862,0.58,2350,0,77,82.3,3,v2,1,v1,3.45,v1,v2,64.5,7.92,1,669,v1,v3,0,v1,v2,1,5208,v5,v1,v1,v1,v5,class2
1,2,v3,v2,0.33,v1,0,3,v4,1,71935,v2,v2,v3,v2,0.15,844,32.8,v1,46,81.8,0.868,235,3,v1,1,339,3,0.922,704,v2,0.609,657,v2,3997,0.153,v3,v2,v5,v2,0,6228,2,v5,7.43,3,v1,v2,v6,1,v1,2,7.07,0,v1,v4,v3,v3,69763,5675,42.5,0,30.8,v3,0,v2,22788,v4,v3,5.58,1,6878,0.51,2372,0,71,79.5,0,v4,0,v3,6.11,v3,v2,51.2,5.81,1,512,v6,v2,0,v1,v2,1,5246,v4,v2,v3,v2,v5,class1
0,0,v6,v4,0.43,v3,0,3,v4,2,47980,v1,v2,v4,v3,0.22,396,30.6,v2,41,69.9,0.951,275,3,v2,0,476,3,0.937,712,v2,0.603,602,v5,5120,0.45,v2,v4,v3,v2,3,6200,0,v2,7.68,0,v1,v3,v1,1,v5,3,6.67,0,v4,v2,v1,v1,42643,6320,23.4,1,31.3,v4,2,v1,18435,v4,v1,5.57,0,6289,0.21,5379,0,87,82,4,v4,0,v3,6.46,v1,v1,46.6,3.9,0,835,v5,v3,0,v1,v1,1,5137,v5,v2,v2,v1,v1,class2
1,0,v1,v3,0.23,v3,0,1,v2,0,39515,v3,v2,v4,v4,0.41,801,33.6,v1,54,80,0.847,194,0,v1,1,282,0,0.941,773,v2,0.466,657,v5,3996,0.856,v2,v4,v4,v1,0,7386,1,v4,8.77,2,v3,v1,v6,2,v2,0,5.63,1,v2,v4,v1,v1,57457,6278,46.1,1,60.4,v3,0,v1,16082,v1,v2,6.59,0,7313,0.68,4407,0,88,83.5,1,v3,1,v1,6.31,v2,v2,62.5,4.47,3,472,v4,v2,2,v1,v1,0,5755,v5,v2,v6,v2,v3,class1
0,4,v6,v1,0.04,v2,0,1,v4,2,59725,v1,v1,v2,v6,0.41,563,33.3,v1,29,69.8,0.955,255,1,v2,1,353,2,0.909,707,v1,0.591,592,v6,6666,0.169,v2,v3,v2,v1,1,6400,1,v5,7.75,0,v4,v2,v3,1,v2,0,3.84,0,v1,v4,v2,v2,51290,7084,46,0,53.8,v5,1,v1,20372,v2,v4,6.65,0,6558,0.44,5981,1,65,80.6,3,v1,0,v3,6.46,v2,v1,58.6,7.54,3,443,v2,v1,1,v1,v2,0,5841,v2,v2,v5,v2,v5,class2
