%%  AutoUniv Version 1 User Guide 

%%  1 About AutoUniv 
%%  AutoUniv (AU) is a tool for creating classification models and generating 
%%  classified examples. 
%%  AU was designed by 
%%  Ray J. Hickey 
%%  E: ray.j.hickey@gmail.com
%%  W: http://sites.google.com/site/autouniv
%%  AU was programmed in Win-Prolog, version 4.9 from Logic Programming 
%%  Associates and makes use of the Prolog compiler and reasoning engine. 

%%  2 Installation 
%%  AU runs under Windows. Around 2GB of memory will be sufficient. Simply 
%%  extract AU.zip. AU does not alter registry settings. 
%%  All files are in the top-level folder. AU consists of four files: au.exe, au.dll, au.ini, 
%%  au.ovl. Two sub-folders exist containing examples of models and of data sets. 
%%  In addition to this User Guide there is also a Reference Manual. 
%%  Memory settings are in au.ini. These have been set to cater for the largest 
%%  models and should not need adjusting. 

%%  3 Running AU 
%%  Run au.exe. This will start the Launcher. From here you can run the two 
%%  applications namely the model builder, Create Model, and the data generator, 
%%  Generate Data. 
%%  The following sections provide a brief description of the use of the model builder 
%%  and data generator. These should be read in conjunction with the more detailed 
%%  account of AU in the Reference Manual. 

%%  4 The model builder tool 
%%  The Build Classification Model dialog is available from the Launcher. Settings 
%%  are made for attributes, classes and rules. The order in which settings are 
%%  entered is controlled. For example, the number of relevant attributes cannot be 
%%  specified until the number of attributes overall is specified. Validity checks 
%%  operate to prevent illegitimate entries. There is also auto completion. 
%%  The Class Distribution Settings dialog is available from the Customise 
%%  Distribution button or these settings can be randomised from the Randomise 
%%  Distributions button. A total weight of 1000 must be distributed across the 
%%  classes to reflect the prominence of each class. Applying Hold to any weight will 
%%  cause it to be retained when randomisation is applied. Minimum and maximum 
%%  values for the majority class probability are set for each class. These are 
%%  expressed as integers up to 1000 subject to a minimum necessary to secure a 
%%  majority class (which is displayed). Randomisation is also available, with hold. 
%%  Selecting Zero Noise followed by randomisation will set minimum and maximum - 2 - 
%%  to 1000 for unheld classes. Illegitimate values will be notified to the user when 
%%  the Apply button is pressed. 
%%  When all build settings have been made the Apply button in the Build 
%%  Classification Model dialog is enabled. When activated, this will enable the Start
%%  button for model building. Progress in the building of the model is echoed in the 
%%  Build Log window. After completion or failure, the model may be rebuilt with or 
%%  without attribute definitions and attribute factorisation being retained. 
%%  Once built, a model may be saved which creates its .aupl, .aurules and 
%%  .auprops files. The .aupl file provides the Prolog source code definition of the 
%%  model. 
%%  A new model may now be built or drift may be applied to the existing model by 
%%  selecting Keep attribute definitions and, possibly, other keep options depending 
%%  on the type of drift required. 
%%  When the user returns to the Launcher, the current build settings are retained. 

%%  5 The data generator tool 
%%  The Generate Data Set from Model dialog is available from the Launcher. Here 
%%  a model is selected and will be compiled into the Prolog system. A file format 
%%  for the examples is selected. The three available formats are CSV, ARFF (for 
%%  WEKA) and C4.5. Examples may be generated with or without header attribute 
%%  information. The latter is useful for appending examples to existing files. 

%%  6 Modification of the .aupl file 
%%  The user can edit the .aupl file for a model in order to manually alter the model 
%%  definition. Caution should be exercised when doing this. It is the user’s 
%%  responsibility to ensure the logical integrity and syntactic correctness of any 
%%  alterations. Logical flaws will cause the data generator to crash. In this situation, 
%%  the system should be exited and restarted. Syntax errors will produce a Prolog 
%%  compiler error message. 

@relation autoUniv-au6-1000

@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 numeric
@attribute V9 numeric
@attribute V10 numeric
@attribute V11 numeric
@attribute V12 {v1,v2}
@attribute V13 numeric
@attribute V14 numeric
@attribute V15 numeric
@attribute V16 numeric
@attribute V17 numeric
@attribute V18 numeric
@attribute V19 numeric
@attribute V20 numeric
@attribute V21 numeric
@attribute V22 numeric
@attribute V23 numeric
@attribute V24 numeric
@attribute V25 numeric
@attribute V26 numeric
@attribute V27 numeric
@attribute V28 numeric
@attribute V29 numeric
@attribute V30 numeric
@attribute V31 {v1,v2}
@attribute V32 numeric
@attribute V33 numeric
@attribute V34 numeric
@attribute V35 numeric
@attribute V36 numeric
@attribute V37 numeric
@attribute V38 numeric
@attribute V39 numeric
@attribute V40 {v1,v2,v3}
@attribute Class {class1,class2,class3,class4,class5,class6,class7,class8}

@data
2.34,48998,12.2,1.91,50944,0.157,72.8,85,4.65,8.7,50.2,v1,0.532,76.2,6621,797,0.642,4.93,0.37,518,28,0.3,1.39,86.2,8.24,0.78,0.355,0.62,9.62,0.32,v1,60.4,0.39,64.1,55.3,0.72,58773,6.72,0.717,v1,class3
3.34,46797,39.6,2.41,54695,0.323,78.6,87,4.55,3.9,52.9,v2,0.596,84.5,6401,770,0.618,4.77,0.66,271,29.3,0.18,3.62,77.6,7.43,0.218,0.451,0.79,9.13,0.28,v2,62,0.58,18.8,63.4,0.34,43116,7.04,0.789,v1,class7
3.79,56480,37.5,1.04,24303,0.158,76,94,4.23,5.6,50.2,v1,0.856,80.7,4330,791,0.741,6.21,0.41,774,26.3,0.47,0.64,92.4,7.04,0.659,0.442,0.78,9.74,0.43,v2,49.3,0.38,51.6,71.6,0.52,49502,7.97,0.74,v1,class8
3.34,53049,25.6,1.85,22969,0.463,76.6,93,4.66,9,51.8,v2,0.671,74.6,7407,747,0.809,6.2,0.64,289,26.4,0.33,3.38,91.3,6.69,0.198,0.325,0.86,9.15,0.26,v1,55,0.39,33,70.3,0.83,17691,7.32,0.783,v1,class3
3.5,55255,30,1.85,30353,0.292,71.8,60,4.68,9.4,51.4,v2,0.672,75.6,7088,763,0.373,5.33,0.39,724,25.1,0.15,2.1,74.9,7.04,0.155,0.623,0.52,9.1,0.62,v1,60,0.36,64.7,70.6,0.89,58023,7.07,0.733,v1,class3
1.78,54887,33.7,1.95,19056,0.498,71.7,67,4.27,9,52,v2,0.656,75.2,7070,746,0.452,5.63,0.36,787,24.9,0.23,1.15,97.3,6.76,0.71,0.617,0.95,9.13,0.62,v2,62.2,0.48,67.2,67.1,0.52,16829,7.32,0.82,v1,class6
3.44,54621,37.2,1.98,79416,0.495,72.9,69,4.39,8.3,50.3,v2,0.864,66.6,4993,762,0.632,5.95,0.49,820,23.9,0.47,3.48,92.8,6.98,0.779,0.504,0.44,9.03,0.62,v1,61.7,0.45,71.1,56.1,0.88,28210,7.55,0.811,v2,class2
1.75,53575,50.8,2.73,92309,0.17,72.6,69,4.65,7.3,52.9,v2,0.648,96.2,6786,743,0.732,6.14,0.15,664,25.4,0.23,2.65,98.4,6.73,0.639,0.353,0.96,8.96,0.36,v2,60,0.44,70.6,64.2,0.76,17499,6.58,0.714,v2,class4
3.76,52783,11.6,2.11,76557,0.17,79.2,68,4.56,9.5,50.2,v1,0.665,81,6612,753,0.318,6.1,0.55,606,27.4,0.27,1.02,83.9,8,0.145,0.602,0.44,9.03,0.29,v2,58.5,0.37,88.9,70.4,0.31,53868,7.59,0.729,v3,class2
2.61,51880,31.9,3,80225,0.158,76.5,87,4.52,9.4,52.1,v1,0.694,38.2,6924,748,0.249,3.29,0.17,810,24,0.47,1.25,92.2,6.99,0.104,0.604,0.54,9.89,0.45,v1,49.9,0.47,18.5,63.9,0.34,51940,6.51,0.816,v2,class2
2.06,53285,47.5,1.85,24243,0.149,78.1,74,4.48,9.4,52.6,v2,0.864,82.1,4914,807,0.237,6.34,0.43,760,32,0.18,0.4,80.2,7.06,0.199,0.34,0.88,9.34,0.26,v2,58.4,0.42,59.8,70.3,0.58,23267,7.62,0.745,v3,class6
3.78,46128,49.9,0.65,58051,0.316,78.2,88,4.37,8.8,50.2,v2,0.65,81.6,7025,805,0.614,6.02,0.57,606,26,0.42,0.38,90.5,8.13,0.174,0.597,0.9,9.04,0.25,v2,58.5,0.44,59.1,60.9,0.37,51972,7.7,0.761,v3,class6
2.64,46132,35.4,2.57,58746,0.152,74.2,62,4.68,3.7,50.2,v1,0.698,72.3,4390,742,0.25,3.21,0.48,813,26.2,0.38,0.67,89.5,6.93,0.187,0.343,0.46,9.04,0.61,v1,51.9,0.6,60.7,70.6,0.63,57046,6.6,0.835,v1,class1
3.77,46307,28.3,2.04,64091,0.169,74.6,94,4.61,4.8,51.4,v2,0.644,81.8,5074,789,0.488,4.01,0.47,565,24.9,0.3,3.38,79.3,8.2,0.273,0.458,0.51,8.35,0.47,v2,60.6,0.42,65,71,0.89,15043,7.07,0.742,v1,class5
