%%  AutoUniv Version 1 User Guide 

%%  1 About AutoUniv 
%%  AutoUniv (AU) is a tool for creating classification models and generating 
%%  classified examples. 
%%  AU was designed by 
%%  Ray J. Hickey 
%%  E: ray.j.hickey@gmail.com
%%  W: http://sites.google.com/site/autouniv
%%  AU was programmed in Win-Prolog, version 4.9 from Logic Programming 
%%  Associates and makes use of the Prolog compiler and reasoning engine. 

%%  2 Installation 
%%  AU runs under Windows. Around 2GB of memory will be sufficient. Simply 
%%  extract AU.zip. AU does not alter registry settings. 
%%  All files are in the top-level folder. AU consists of four files: au.exe, au.dll, au.ini, 
%%  au.ovl. Two sub-folders exist containing examples of models and of data sets. 
%%  In addition to this User Guide there is also a Reference Manual. 
%%  Memory settings are in au.ini. These have been set to cater for the largest 
%%  models and should not need adjusting. 

%%  3 Running AU 
%%  Run au.exe. This will start the Launcher. From here you can run the two 
%%  applications namely the model builder, Create Model, and the data generator, 
%%  Generate Data. 
%%  The following sections provide a brief description of the use of the model builder 
%%  and data generator. These should be read in conjunction with the more detailed 
%%  account of AU in the Reference Manual. 

%%  4 The model builder tool 
%%  The Build Classification Model dialog is available from the Launcher. Settings 
%%  are made for attributes, classes and rules. The order in which settings are 
%%  entered is controlled. For example, the number of relevant attributes cannot be 
%%  specified until the number of attributes overall is specified. Validity checks 
%%  operate to prevent illegitimate entries. There is also auto completion. 
%%  The Class Distribution Settings dialog is available from the Customise 
%%  Distribution button or these settings can be randomised from the Randomise 
%%  Distributions button. A total weight of 1000 must be distributed across the 
%%  classes to reflect the prominence of each class. Applying Hold to any weight will 
%%  cause it to be retained when randomisation is applied. Minimum and maximum 
%%  values for the majority class probability are set for each class. These are 
%%  expressed as integers up to 1000 subject to a minimum necessary to secure a 
%%  majority class (which is displayed). Randomisation is also available, with hold. 
%%  Selecting Zero Noise followed by randomisation will set minimum and maximum - 2 - 
%%  to 1000 for unheld classes. Illegitimate values will be notified to the user when 
%%  the Apply button is pressed. 
%%  When all build settings have been made the Apply button in the Build 
%%  Classification Model dialog is enabled. When activated, this will enable the Start
%%  button for model building. Progress in the building of the model is echoed in the 
%%  Build Log window. After completion or failure, the model may be rebuilt with or 
%%  without attribute definitions and attribute factorisation being retained. 
%%  Once built, a model may be saved which creates its .aupl, .aurules and 
%%  .auprops files. The .aupl file provides the Prolog source code definition of the 
%%  model. 
%%  A new model may now be built or drift may be applied to the existing model by 
%%  selecting Keep attribute definitions and, possibly, other keep options depending 
%%  on the type of drift required. 
%%  When the user returns to the Launcher, the current build settings are retained. 

%%  5 The data generator tool 
%%  The Generate Data Set from Model dialog is available from the Launcher. Here 
%%  a model is selected and will be compiled into the Prolog system. A file format 
%%  for the examples is selected. The three available formats are CSV, ARFF (for 
%%  WEKA) and C4.5. Examples may be generated with or without header attribute 
%%  information. The latter is useful for appending examples to existing files. 

%%  6 Modification of the .aupl file 
%%  The user can edit the .aupl file for a model in order to manually alter the model 
%%  definition. Caution should be exercised when doing this. It is the user’s 
%%  responsibility to ensure the logical integrity and syntactic correctness of any 
%%  alterations. Logical flaws will cause the data generator to crash. In this situation, 
%%  the system should be exited and restarted. Syntax errors will produce a Prolog 
%%  compiler error message. 

@relation autoUniv-au6-250-drift-au6-cd1-500

@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 numeric
@attribute V9 numeric
@attribute V10 numeric
@attribute V11 numeric
@attribute V12 {v1,v2}
@attribute V13 numeric
@attribute V14 numeric
@attribute V15 numeric
@attribute V16 numeric
@attribute V17 numeric
@attribute V18 numeric
@attribute V19 numeric
@attribute V20 numeric
@attribute V21 numeric
@attribute V22 numeric
@attribute V23 numeric
@attribute V24 numeric
@attribute V25 numeric
@attribute V26 numeric
@attribute V27 numeric
@attribute V28 numeric
@attribute V29 numeric
@attribute V30 numeric
@attribute V31 {v1,v2}
@attribute V32 numeric
@attribute V33 numeric
@attribute V34 numeric
@attribute V35 numeric
@attribute V36 numeric
@attribute V37 numeric
@attribute V38 numeric
@attribute V39 numeric
@attribute V40 {v1,v2,v3}
@attribute Class {class1,class2,class3,class4,class5,class6,class7,class8}

@data
1.95,55248,40,1.11,69201,0.155,82.6,94,4.35,4.3,51.1,v2,0.654,56.1,4420,784,0.882,6.28,0.24,682,29.4,0.29,1.39,95.7,6.75,0.141,0.467,0.78,9.64,0.56,v1,46.9,0.44,69.7,71.6,0.43,15016,8.4,0.713,v3,class4
2.64,55704,22.7,0.61,24446,0.315,73.3,94,4.42,4.5,51,v1,0.692,86.3,6473,775,0.627,4.06,0.37,711,26,0.45,2.06,88.8,7.86,0.337,0.35,0.7,9.04,0.61,v1,62,0.43,60.4,70.2,0.78,54054,6.93,0.753,v2,class2
3.7,54380,39.7,1.83,20003,0.315,77.6,71,4.6,7.7,52.5,v2,0.864,79.8,6301,803,0.733,6.29,0.16,530,25,0.23,2.42,85.5,7.36,0.228,0.624,0.94,9.83,0.62,v1,53.6,0.61,18.7,58.6,0.4,51628,6.56,0.727,v3,class6
1.28,55810,38.9,2.65,42038,0.392,78.1,52,4.61,8.2,53.6,v1,0.693,81.1,5752,747,0.251,5.94,0.15,598,27.3,0.25,3.75,80.1,6.98,0.18,0.62,0.56,9.26,0.25,v2,54.3,0.45,19.5,55.9,0.84,13935,6.59,0.71,v3,class4
2.71,55487,20.9,0.51,84371,0.489,74,52,4.63,3.8,52.2,v1,0.621,75.4,4762,803,0.879,5.33,0.17,816,24.2,0.23,2.89,92.6,7.02,0.628,0.368,0.85,9.09,0.47,v1,59,0.59,18.4,57.3,0.87,52441,7.61,0.735,v2,class3
1.6,55065,50.7,2,41217,0.158,74.7,77,4.61,8.6,51.6,v1,0.686,89.5,6045,801,0.724,4.27,0.15,817,24.1,0.2,1.34,97.5,7.7,0.553,0.617,0.87,9.13,0.32,v2,55.5,0.36,70.2,66.9,0.49,59418,6.58,0.768,v2,class3
3.52,53134,50.4,2.08,37282,0.315,79.4,61,4.27,4.4,53,v1,0.727,95.8,6774,763,0.599,5.95,0.51,606,24.2,0.26,1.46,86.7,6.95,0.248,0.501,0.52,9.86,0.4,v1,53.2,0.36,51.7,67.3,0.43,58402,7.04,0.774,v2,class8
1.83,54881,17,2.9,24307,0.164,72.8,70,4.61,3.8,55.6,v2,0.629,99.2,4922,766,0.333,6.11,0.25,434,24.4,0.45,4.03,91.6,6.92,0.289,0.567,0.82,9.42,0.26,v1,61.7,0.4,60.2,56.7,0.34,22858,6.63,0.698,v1,class4
2.38,54340,27.6,3.29,52404,0.265,71.2,80,4.38,7.8,55.7,v1,0.581,34,6496,786,0.287,3.67,0.15,596,34.7,0.47,2.23,80.3,6.79,0.844,0.596,0.55,9.12,0.62,v2,59.6,0.37,34.1,65.4,0.51,17000,6.76,0.703,v1,class7
2.73,55635,12.9,2.04,51765,0.165,72.5,89,4.59,4.7,51.2,v1,0.864,75.3,6459,747,0.342,4.12,0.67,542,24.9,0.35,1.25,96.1,6.92,0.724,0.599,0.52,9.08,0.62,v2,57.9,0.38,67,64.6,0.34,15793,6.59,0.764,v2,class4
1.48,54076,35.2,3.02,24337,0.316,72.5,68,4.61,5.4,54.6,v1,0.61,78.9,7190,757,0.279,6.27,0.4,771,31.5,0.34,2.18,96.6,6.98,0.135,0.544,0.85,9.7,0.21,v2,60.6,0.43,25.1,65.9,0.26,15041,7.01,0.816,v1,class7
3.77,55847,23.5,1.94,58244,0.495,78,68,4.7,5.4,51.7,v2,0.611,95.2,6591,778,0.25,4.29,0.52,816,32.9,0.4,0.94,75.1,7.37,0.746,0.377,0.89,9.65,0.42,v1,61.8,0.45,59.6,72.8,0.64,36015,6.6,0.768,v2,class5
3.3,53490,38,1.84,23579,0.496,73.7,77,4.46,9,52.5,v1,0.65,96.8,6564,805,0.276,4.92,0.54,562,25.6,0.26,1.95,83.1,8.74,0.481,0.366,0.78,9.43,0.27,v1,56.2,0.36,71.1,72.9,0.88,20793,7.49,0.732,v1,class5
1.36,55185,35.4,1.84,24219,0.169,79.9,93,4.64,3.8,51.1,v1,0.63,55.1,4762,762,0.434,5.58,0.72,819,29.6,0.29,2.95,92.9,6.7,0.22,0.625,0.98,9.07,0.21,v2,58.1,0.44,19,57.8,0.88,47526,7.43,0.778,v3,class1
