%%  AutoUniv Version 1 User Guide 

%%  1 About AutoUniv 
%%  AutoUniv (AU) is a tool for creating classification models and generating 
%%  classified examples. 
%%  AU was designed by 
%%  Ray J. Hickey 
%%  E: ray.j.hickey@gmail.com
%%  W: http://sites.google.com/site/autouniv
%%  AU was programmed in Win-Prolog, version 4.9 from Logic Programming 
%%  Associates and makes use of the Prolog compiler and reasoning engine. 

%%  2 Installation 
%%  AU runs under Windows. Around 2GB of memory will be sufficient. Simply 
%%  extract AU.zip. AU does not alter registry settings. 
%%  All files are in the top-level folder. AU consists of four files: au.exe, au.dll, au.ini, 
%%  au.ovl. Two sub-folders exist containing examples of models and of data sets. 
%%  In addition to this User Guide there is also a Reference Manual. 
%%  Memory settings are in au.ini. These have been set to cater for the largest 
%%  models and should not need adjusting. 

%%  3 Running AU 
%%  Run au.exe. This will start the Launcher. From here you can run the two 
%%  applications namely the model builder, Create Model, and the data generator, 
%%  Generate Data. 
%%  The following sections provide a brief description of the use of the model builder 
%%  and data generator. These should be read in conjunction with the more detailed 
%%  account of AU in the Reference Manual. 

%%  4 The model builder tool 
%%  The Build Classification Model dialog is available from the Launcher. Settings 
%%  are made for attributes, classes and rules. The order in which settings are 
%%  entered is controlled. For example, the number of relevant attributes cannot be 
%%  specified until the number of attributes overall is specified. Validity checks 
%%  operate to prevent illegitimate entries. There is also auto completion. 
%%  The Class Distribution Settings dialog is available from the Customise 
%%  Distribution button or these settings can be randomised from the Randomise 
%%  Distributions button. A total weight of 1000 must be distributed across the 
%%  classes to reflect the prominence of each class. Applying Hold to any weight will 
%%  cause it to be retained when randomisation is applied. Minimum and maximum 
%%  values for the majority class probability are set for each class. These are 
%%  expressed as integers up to 1000 subject to a minimum necessary to secure a 
%%  majority class (which is displayed). Randomisation is also available, with hold. 
%%  Selecting Zero Noise followed by randomisation will set minimum and maximum - 2 - 
%%  to 1000 for unheld classes. Illegitimate values will be notified to the user when 
%%  the Apply button is pressed. 
%%  When all build settings have been made the Apply button in the Build 
%%  Classification Model dialog is enabled. When activated, this will enable the Start
%%  button for model building. Progress in the building of the model is echoed in the 
%%  Build Log window. After completion or failure, the model may be rebuilt with or 
%%  without attribute definitions and attribute factorisation being retained. 
%%  Once built, a model may be saved which creates its .aupl, .aurules and 
%%  .auprops files. The .aupl file provides the Prolog source code definition of the 
%%  model. 
%%  A new model may now be built or drift may be applied to the existing model by 
%%  selecting Keep attribute definitions and, possibly, other keep options depending 
%%  on the type of drift required. 
%%  When the user returns to the Launcher, the current build settings are retained. 

%%  5 The data generator tool 
%%  The Generate Data Set from Model dialog is available from the Launcher. Here 
%%  a model is selected and will be compiled into the Prolog system. A file format 
%%  for the examples is selected. The three available formats are CSV, ARFF (for 
%%  WEKA) and C4.5. Examples may be generated with or without header attribute 
%%  information. The latter is useful for appending examples to existing files. 

%%  6 Modification of the .aupl file 
%%  The user can edit the .aupl file for a model in order to manually alter the model 
%%  definition. Caution should be exercised when doing this. It is the user’s 
%%  responsibility to ensure the logical integrity and syntactic correctness of any 
%%  alterations. Logical flaws will cause the data generator to crash. In this situation, 
%%  the system should be exited and restarted. Syntax errors will produce a Prolog 
%%  compiler error message. 

@relation autoUniv-au6-cd1-400

@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 numeric
@attribute V9 numeric
@attribute V10 numeric
@attribute V11 numeric
@attribute V12 {v1,v2}
@attribute V13 numeric
@attribute V14 numeric
@attribute V15 numeric
@attribute V16 numeric
@attribute V17 numeric
@attribute V18 numeric
@attribute V19 numeric
@attribute V20 numeric
@attribute V21 numeric
@attribute V22 numeric
@attribute V23 numeric
@attribute V24 numeric
@attribute V25 numeric
@attribute V26 numeric
@attribute V27 numeric
@attribute V28 numeric
@attribute V29 numeric
@attribute V30 numeric
@attribute V31 {v1,v2}
@attribute V32 numeric
@attribute V33 numeric
@attribute V34 numeric
@attribute V35 numeric
@attribute V36 numeric
@attribute V37 numeric
@attribute V38 numeric
@attribute V39 numeric
@attribute V40 {v1,v2,v3}
@attribute Class {class1,class2,class3,class4,class5,class6,class7,class8}

@data
3.65,56147,50.1,2.44,34024,0.245,77.8,78,4.61,7.8,51.4,v1,0.711,33.3,5886,760,0.647,4.43,0.38,601,25.4,0.24,3.59,77.4,6.91,0.609,0.609,0.89,9.03,0.24,v1,55.9,0.39,65.7,58.4,0.89,52416,7.06,0.709,v1,class3
3.68,46675,43.5,1.84,23934,0.284,78.3,78,4.47,6.8,52.4,v2,0.696,96.5,7182,744,0.248,6.01,0.49,600,26.6,0.25,4.07,86.5,7.06,0.166,0.367,0.93,9.29,0.26,v2,58.9,0.37,61.6,62.7,0.63,23358,6.96,0.765,v2,class6
2.48,56243,23.8,0.62,24181,0.159,77.5,69,4.26,8.2,52.6,v1,0.669,79.6,4526,764,0.848,5.91,0.41,812,32.7,0.47,1.48,82.6,6.95,0.319,0.341,0.94,9.82,0.27,v1,49.6,0.42,58,62.2,0.88,20908,7.26,0.723,v1,class4
1.39,50880,24,0.74,58747,0.167,74.6,68,4.68,9.4,54.9,v2,0.647,90,4423,807,0.776,6.1,0.37,367,28.6,0.21,2.91,93.6,7,0.844,0.624,0.5,9.74,0.46,v1,57.1,0.39,21.5,66.8,0.82,34144,8.13,0.703,v1,class4
2.94,56222,49.1,1.83,78484,0.496,77.4,72,4.56,6.7,53,v1,0.496,87.3,6227,762,0.817,3.45,0.57,753,26.3,0.27,0.72,77.3,6.72,0.262,0.598,0.52,9.03,0.33,v1,53.7,0.38,20.4,72.2,0.45,63659,6.6,0.844,v3,class3
3.43,46151,51.4,2.58,78026,0.316,75.8,78,4.6,4.7,50.7,v1,0.49,97.7,7393,784,0.461,4.69,0.26,821,34.1,0.43,2.3,98.5,6.83,0.469,0.442,0.78,9.08,0.32,v2,59.9,0.42,83.5,56.7,0.41,58700,6.28,0.767,v3,class4
3.55,55306,13.8,1.98,55712,0.333,78.4,67,4.32,4.1,52.6,v1,0.659,95.5,6967,769,0.877,3.09,0.69,599,25.4,0.46,1.33,92.9,7.06,0.211,0.605,0.59,9.05,0.21,v1,56,0.62,31,58,0.61,40503,7.62,0.749,v1,class4
3.78,46674,15.5,1.44,23660,0.369,79.2,71,4.41,8.3,52.4,v2,0.742,90.3,5518,802,0.691,5.9,0.63,427,25.3,0.17,2.83,78.8,7.15,0.583,0.397,0.75,9.04,0.6,v1,58.6,0.47,60.7,71.1,0.34,21230,6.99,0.726,v3,class7
3.4,46412,39.3,2.41,28652,0.497,75.5,69,4.58,7.7,54.1,v2,0.672,90.7,6150,760,0.608,4.05,0.51,820,24.1,0.45,1.64,75.1,6.93,0.781,0.547,0.95,9.11,0.44,v1,61.2,0.57,72.9,60.3,0.55,54003,7.06,0.765,v2,class4
3.67,56124,38.2,1.6,80914,0.315,83.8,84,4.35,7.2,50.3,v2,0.752,81.6,7302,761,0.777,5.25,0.53,725,24.6,0.46,1.62,84.1,6.99,0.661,0.5,0.61,9.79,0.25,v1,48.3,0.39,21.2,63.8,0.75,62221,6.6,0.682,v2,class3
3.49,54444,16.8,1.62,59226,0.166,73.4,86,4.65,6.3,50.2,v1,0.719,42.6,4453,802,0.428,3.53,0.71,601,24.2,0.45,2.82,67.1,6.94,0.192,0.354,0.84,9.23,0.21,v1,59.9,0.45,55.2,63.4,0.64,22962,6.39,0.733,v1,class8
1.27,54148,36.8,3.23,78059,0.163,75.1,73,4.41,7,50.2,v2,0.863,97.9,4512,804,0.645,6.19,0.57,814,28.3,0.26,3.91,72.9,6.99,0.431,0.611,0.64,9.83,0.32,v2,62.1,0.6,59.8,62,0.63,48499,7.47,0.832,v2,class3
3.62,47804,51.1,2.09,59448,0.165,78.9,90,4.43,3.9,51.1,v1,0.662,97.3,5650,741,0.649,5.92,0.27,656,26.2,0.45,0.7,77.7,7.58,0.753,0.347,0.72,9.83,0.39,v2,51.5,0.44,20.9,57.1,0.79,15813,6.34,0.825,v2,class7
1.2,46123,22.4,1.93,22360,0.494,77.5,58,4.32,8.7,52.3,v2,0.863,99.2,6584,782,0.644,4.28,0.4,539,28.9,0.24,0.81,85.5,6.95,0.918,0.616,0.87,9.09,0.21,v2,53.3,0.39,69.5,57.1,0.64,22596,7.13,0.751,v3,class5
