%%  AutoUniv Version 1 User Guide 

%%  1 About AutoUniv 
%%  AutoUniv (AU) is a tool for creating classification models and generating 
%%  classified examples. 
%%  AU was designed by 
%%  Ray J. Hickey 
%%  E: ray.j.hickey@gmail.com
%%  W: http://sites.google.com/site/autouniv
%%  AU was programmed in Win-Prolog, version 4.9 from Logic Programming 
%%  Associates and makes use of the Prolog compiler and reasoning engine. 

%%  2 Installation 
%%  AU runs under Windows. Around 2GB of memory will be sufficient. Simply 
%%  extract AU.zip. AU does not alter registry settings. 
%%  All files are in the top-level folder. AU consists of four files: au.exe, au.dll, au.ini, 
%%  au.ovl. Two sub-folders exist containing examples of models and of data sets. 
%%  In addition to this User Guide there is also a Reference Manual. 
%%  Memory settings are in au.ini. These have been set to cater for the largest 
%%  models and should not need adjusting. 

%%  3 Running AU 
%%  Run au.exe. This will start the Launcher. From here you can run the two 
%%  applications namely the model builder, Create Model, and the data generator, 
%%  Generate Data. 
%%  The following sections provide a brief description of the use of the model builder 
%%  and data generator. These should be read in conjunction with the more detailed 
%%  account of AU in the Reference Manual. 

%%  4 The model builder tool 
%%  The Build Classification Model dialog is available from the Launcher. Settings 
%%  are made for attributes, classes and rules. The order in which settings are 
%%  entered is controlled. For example, the number of relevant attributes cannot be 
%%  specified until the number of attributes overall is specified. Validity checks 
%%  operate to prevent illegitimate entries. There is also auto completion. 
%%  The Class Distribution Settings dialog is available from the Customise 
%%  Distribution button or these settings can be randomised from the Randomise 
%%  Distributions button. A total weight of 1000 must be distributed across the 
%%  classes to reflect the prominence of each class. Applying Hold to any weight will 
%%  cause it to be retained when randomisation is applied. Minimum and maximum 
%%  values for the majority class probability are set for each class. These are 
%%  expressed as integers up to 1000 subject to a minimum necessary to secure a 
%%  majority class (which is displayed). Randomisation is also available, with hold. 
%%  Selecting Zero Noise followed by randomisation will set minimum and maximum - 2 - 
%%  to 1000 for unheld classes. Illegitimate values will be notified to the user when 
%%  the Apply button is pressed. 
%%  When all build settings have been made the Apply button in the Build 
%%  Classification Model dialog is enabled. When activated, this will enable the Start
%%  button for model building. Progress in the building of the model is echoed in the 
%%  Build Log window. After completion or failure, the model may be rebuilt with or 
%%  without attribute definitions and attribute factorisation being retained. 
%%  Once built, a model may be saved which creates its .aupl, .aurules and 
%%  .auprops files. The .aupl file provides the Prolog source code definition of the 
%%  model. 
%%  A new model may now be built or drift may be applied to the existing model by 
%%  selecting Keep attribute definitions and, possibly, other keep options depending 
%%  on the type of drift required. 
%%  When the user returns to the Launcher, the current build settings are retained. 

%%  5 The data generator tool 
%%  The Generate Data Set from Model dialog is available from the Launcher. Here 
%%  a model is selected and will be compiled into the Prolog system. A file format 
%%  for the examples is selected. The three available formats are CSV, ARFF (for 
%%  WEKA) and C4.5. Examples may be generated with or without header attribute 
%%  information. The latter is useful for appending examples to existing files. 

%%  6 Modification of the .aupl file 
%%  The user can edit the .aupl file for a model in order to manually alter the model 
%%  definition. Caution should be exercised when doing this. It is the user’s 
%%  responsibility to ensure the logical integrity and syntactic correctness of any 
%%  alterations. Logical flaws will cause the data generator to crash. In this situation, 
%%  the system should be exited and restarted. Syntax errors will produce a Prolog 
%%  compiler error message. 

@relation autoUniv-au7-300-drift-au7-cpd1-800

@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 {v1,v2}
@attribute V6 {v1,v2}
@attribute V7 numeric
@attribute V8 {v1,v2,v3}
@attribute V9 numeric
@attribute V10 {v1,v2,v3}
@attribute V11 numeric
@attribute V12 numeric
@attribute Class {class1,class2,class3,class4,class5}

@data
1.89,3240,0.14,0,v1,v1,7239,v1,1,v1,1.98,0,class2
5.55,3608,0.5,2,v2,v1,7164,v2,0,v1,1.86,2,class2
6.36,3388,0.13,2,v1,v1,4498,v1,2,v1,2.03,1,class2
4.23,3137,0.44,2,v1,v2,7160,v3,1,v3,1.18,2,class3
6.1,3473,0.4,2,v2,v2,4586,v1,1,v3,0.58,1,class3
1.63,3142,0.52,1,v1,v1,4507,v2,0,v1,1.16,0,class2
5.6,3141,0.66,1,v1,v2,7237,v1,0,v3,0.58,1,class3
8.28,3251,0.13,0,v2,v2,7326,v2,2,v3,1.14,1,class3
1.47,3551,0.32,0,v1,v1,4420,v3,0,v2,2.05,1,class2
6.66,3073,0.44,1,v2,v1,6629,v1,1,v1,1.67,0,class3
6.43,3138,0.44,1,v1,v1,3263,v1,2,v1,0.81,2,class2
5.89,3517,0.26,0,v1,v1,4125,v1,2,v1,0.57,0,class3
6.04,3539,0.51,1,v1,v1,7328,v1,1,v1,1.16,0,class3
2.8,3515,0.4,1,v2,v1,7326,v2,0,v1,1.29,0,class3
8.28,3151,0.64,2,v1,v1,4575,v1,1,v1,0.57,2,class2
7.93,3138,0.46,2,v2,v1,4518,v3,2,v1,1.05,1,class2
5.51,3473,0.3,2,v1,v1,6165,v3,1,v1,0.56,1,class1
8.24,3140,0.5,1,v2,v1,7335,v2,2,v1,1.02,0,class2
5.43,3076,0.48,1,v2,v2,6924,v2,0,v3,0.57,2,class2
2.73,3386,0.4,0,v1,v1,5387,v3,1,v1,1.67,2,class1
1.6,3124,0.24,1,v1,v1,3607,v3,0,v1,1.23,2,class2
5.68,3148,0.53,2,v1,v2,4645,v1,2,v3,1.97,2,class2
8.23,3139,0.4,1,v1,v1,4394,v1,1,v1,1.22,0,class2
4.36,3420,0.65,0,v2,v2,3767,v3,0,v2,1.71,1,class2
7,3567,0.62,0,v2,v2,4432,v2,2,v3,1.2,0,class3
1.78,3221,0.52,0,v2,v1,3038,v1,0,v1,1.89,2,class1
7.57,3130,0.42,1,v1,v1,4509,v3,1,v1,1.92,0,class2
5.44,3150,0.31,2,v2,v1,3026,v2,1,v1,1.72,1,class2
7.1,3447,0.47,1,v2,v1,7348,v3,0,v1,1.68,0,class2
7.22,3465,0.52,2,v1,v1,6270,v1,2,v1,1.04,1,class2
6.52,3164,0.4,0,v1,v1,4538,v1,0,v1,1.78,1,class2
5.87,3090,0.54,2,v1,v1,3159,v1,2,v2,0.83,2,class2
1.46,3146,0.44,2,v2,v1,4486,v2,1,v1,0.6,1,class2
6.75,3213,0.53,1,v2,v1,3355,v3,0,v1,1.83,1,class1
8.36,3122,0.4,1,v1,v2,6988,v3,0,v3,0.57,0,class3
6.76,3608,0.13,0,v2,v1,3093,v1,2,v1,0.6,0,class3
6.71,3406,0.5,2,v2,v1,4563,v3,2,v1,1.79,1,class2
6.08,3105,0.47,2,v1,v1,3192,v1,0,v1,1.35,2,class1
7.25,3125,0.41,2,v1,v1,6144,v1,0,v1,1.57,2,class1
6.49,3324,0.27,0,v2,v1,4474,v2,2,v1,0.93,1,class3
2.19,3599,0.44,2,v1,v1,5121,v2,1,v1,1.27,1,class3
5.57,3554,0.37,1,v1,v1,6447,v3,1,v1,0.57,2,class3
3.26,3117,0.13,1,v2,v1,5909,v3,2,v1,1.83,1,class1
7.65,3119,0.53,2,v1,v1,4748,v1,1,v1,0.59,2,class2
5.54,3143,0.45,1,v2,v1,4552,v3,0,v1,1.65,1,class2
5.74,3115,0.65,2,v2,v2,3611,v3,1,v3,1.73,0,class1
