%%  AutoUniv Version 1 User Guide 

%%  1 About AutoUniv 
%%  AutoUniv (AU) is a tool for creating classification models and generating 
%%  classified examples. 
%%  AU was designed by 
%%  Ray J. Hickey 
%%  E: ray.j.hickey@gmail.com
%%  W: http://sites.google.com/site/autouniv
%%  AU was programmed in Win-Prolog, version 4.9 from Logic Programming 
%%  Associates and makes use of the Prolog compiler and reasoning engine. 

%%  2 Installation 
%%  AU runs under Windows. Around 2GB of memory will be sufficient. Simply 
%%  extract AU.zip. AU does not alter registry settings. 
%%  All files are in the top-level folder. AU consists of four files: au.exe, au.dll, au.ini, 
%%  au.ovl. Two sub-folders exist containing examples of models and of data sets. 
%%  In addition to this User Guide there is also a Reference Manual. 
%%  Memory settings are in au.ini. These have been set to cater for the largest 
%%  models and should not need adjusting. 

%%  3 Running AU 
%%  Run au.exe. This will start the Launcher. From here you can run the two 
%%  applications namely the model builder, Create Model, and the data generator, 
%%  Generate Data. 
%%  The following sections provide a brief description of the use of the model builder 
%%  and data generator. These should be read in conjunction with the more detailed 
%%  account of AU in the Reference Manual. 

%%  4 The model builder tool 
%%  The Build Classification Model dialog is available from the Launcher. Settings 
%%  are made for attributes, classes and rules. The order in which settings are 
%%  entered is controlled. For example, the number of relevant attributes cannot be 
%%  specified until the number of attributes overall is specified. Validity checks 
%%  operate to prevent illegitimate entries. There is also auto completion. 
%%  The Class Distribution Settings dialog is available from the Customise 
%%  Distribution button or these settings can be randomised from the Randomise 
%%  Distributions button. A total weight of 1000 must be distributed across the 
%%  classes to reflect the prominence of each class. Applying Hold to any weight will 
%%  cause it to be retained when randomisation is applied. Minimum and maximum 
%%  values for the majority class probability are set for each class. These are 
%%  expressed as integers up to 1000 subject to a minimum necessary to secure a 
%%  majority class (which is displayed). Randomisation is also available, with hold. 
%%  Selecting Zero Noise followed by randomisation will set minimum and maximum - 2 - 
%%  to 1000 for unheld classes. Illegitimate values will be notified to the user when 
%%  the Apply button is pressed. 
%%  When all build settings have been made the Apply button in the Build 
%%  Classification Model dialog is enabled. When activated, this will enable the Start
%%  button for model building. Progress in the building of the model is echoed in the 
%%  Build Log window. After completion or failure, the model may be rebuilt with or 
%%  without attribute definitions and attribute factorisation being retained. 
%%  Once built, a model may be saved which creates its .aupl, .aurules and 
%%  .auprops files. The .aupl file provides the Prolog source code definition of the 
%%  model. 
%%  A new model may now be built or drift may be applied to the existing model by 
%%  selecting Keep attribute definitions and, possibly, other keep options depending 
%%  on the type of drift required. 
%%  When the user returns to the Launcher, the current build settings are retained. 

%%  5 The data generator tool 
%%  The Generate Data Set from Model dialog is available from the Launcher. Here 
%%  a model is selected and will be compiled into the Prolog system. A file format 
%%  for the examples is selected. The three available formats are CSV, ARFF (for 
%%  WEKA) and C4.5. Examples may be generated with or without header attribute 
%%  information. The latter is useful for appending examples to existing files. 

%%  6 Modification of the .aupl file 
%%  The user can edit the .aupl file for a model in order to manually alter the model 
%%  definition. Caution should be exercised when doing this. It is the user’s 
%%  responsibility to ensure the logical integrity and syntactic correctness of any 
%%  alterations. Logical flaws will cause the data generator to crash. In this situation, 
%%  the system should be exited and restarted. Syntax errors will produce a Prolog 
%%  compiler error message. 

@relation autoUniv-au7-700
@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 {v1,v2}
@attribute V6 {v1,v2}
@attribute V7 numeric
@attribute V8 {v1,v2,v3}
@attribute V9 numeric
@attribute V10 {v1,v2,v3}
@attribute V11 numeric
@attribute V12 numeric
@attribute Class {class1,class2,class3}

@data
5.23,3483,0.13,2,v2,v1,7159,v3,1,v1,1.37,2,class1
5.74,3123,0.62,2,v1,v1,4642,v2,1,v1,1.98,2,class2
5.68,3096,0.52,1,v1,v1,4519,v3,2,v2,0.56,0,class2
2.95,3076,0.43,2,v1,v1,4574,v2,0,v1,1.86,1,class3
7.47,3126,0.14,2,v2,v2,3285,v2,1,v2,2.01,2,class2
5.98,3140,0.42,1,v2,v2,4684,v2,1,v3,1.17,0,class3
5.46,3136,0.46,1,v1,v1,3814,v2,1,v1,1.87,1,class1
1.54,3134,0.13,1,v1,v2,5502,v3,1,v3,1.99,1,class1
1.84,3551,0.59,1,v2,v1,4552,v3,2,v1,1.9,1,class3
8.29,3493,0.44,0,v2,v1,6196,v2,1,v1,1.95,2,class3
6.19,3488,0.44,0,v1,v1,7183,v1,0,v1,0.95,1,class2
5.51,3141,0.44,2,v1,v1,7187,v1,1,v1,0.59,0,class2
7.32,3135,0.14,1,v1,v1,7230,v1,2,v1,1.6,2,class1
1.83,3469,0.53,2,v1,v1,4318,v3,0,v1,2.01,1,class1
7.02,3117,0.51,1,v2,v1,4577,v3,0,v1,1.21,0,class1
2.13,3506,0.61,1,v1,v1,5560,v1,2,v1,0.57,1,class3
6.13,3076,0.27,1,v2,v2,4416,v3,2,v2,1.06,0,class2
1.58,3178,0.21,1,v1,v2,4586,v2,1,v3,0.59,1,class2
7.26,3511,0.32,0,v1,v1,5602,v2,0,v1,1.83,1,class3
6.22,3133,0.47,2,v2,v1,3738,v3,2,v1,1.65,1,class2
6.23,3467,0.47,0,v1,v1,6588,v1,2,v1,1.94,2,class1
1.49,3551,0.41,0,v2,v1,7325,v1,0,v1,1.08,1,class3
7.48,3288,0.51,0,v2,v1,3098,v3,1,v1,1.2,1,class3
5.67,3123,0.51,1,v2,v1,3759,v3,2,v3,1.08,1,class3
2.05,3145,0.49,1,v2,v1,5822,v1,1,v1,1.13,0,class2
6.54,3122,0.53,1,v1,v1,7228,v1,1,v1,1.53,1,class1
1.66,3076,0.24,0,v1,v1,7290,v1,1,v1,1.19,1,class3
6.81,3132,0.4,2,v2,v1,3937,v2,0,v1,0.73,1,class2
2.46,3121,0.46,2,v2,v2,4584,v1,0,v2,0.55,2,class3
1.64,3147,0.43,1,v1,v1,4551,v2,2,v1,1.45,1,class1
1.55,3582,0.31,1,v2,v1,4518,v3,0,v1,1.73,2,class3
6.42,3599,0.62,1,v1,v1,3586,v1,0,v1,1.06,0,class3
6.04,3117,0.19,2,v2,v1,4569,v2,1,v1,0.6,1,class1
6.3,3130,0.24,1,v1,v1,3417,v3,2,v1,0.88,0,class1
1.41,3198,0.49,0,v2,v1,7298,v1,1,v1,1.88,0,class1
6.49,3097,0.54,0,v1,v1,4165,v1,0,v1,0.6,1,class2
4.49,3115,0.13,2,v1,v1,7318,v1,1,v1,0.56,0,class2
1.48,3137,0.64,1,v1,v1,5267,v3,2,v1,2,1,class2
4.13,3146,0.5,2,v2,v1,5128,v1,2,v1,1.27,1,class2
6.97,3462,0.21,2,v2,v1,3813,v1,1,v1,1.77,1,class2
7.89,3180,0.29,0,v2,v1,4560,v3,1,v1,1.63,1,class1
1.87,3118,0.62,1,v1,v1,4568,v1,0,v1,1.56,1,class3
1.45,3317,0.44,0,v2,v1,5480,v3,2,v1,0.56,1,class3
8,3423,0.53,0,v2,v1,4570,v3,2,v1,0.84,1,class3
5.89,3488,0.51,0,v2,v1,3240,v3,1,v1,1.8,1,class2
4.49,3598,0.6,0,v1,v1,7307,v2,0,v1,1.88,1,class3
