%%  AutoUniv Version 1 User Guide 

%%  1 About AutoUniv 
%%  AutoUniv (AU) is a tool for creating classification models and generating 
%%  classified examples. 
%%  AU was designed by 
%%  Ray J. Hickey 
%%  E: ray.j.hickey@gmail.com
%%  W: http://sites.google.com/site/autouniv
%%  AU was programmed in Win-Prolog, version 4.9 from Logic Programming 
%%  Associates and makes use of the Prolog compiler and reasoning engine. 

%%  2 Installation 
%%  AU runs under Windows. Around 2GB of memory will be sufficient. Simply 
%%  extract AU.zip. AU does not alter registry settings. 
%%  All files are in the top-level folder. AU consists of four files: au.exe, au.dll, au.ini, 
%%  au.ovl. Two sub-folders exist containing examples of models and of data sets. 
%%  In addition to this User Guide there is also a Reference Manual. 
%%  Memory settings are in au.ini. These have been set to cater for the largest 
%%  models and should not need adjusting. 

%%  3 Running AU 
%%  Run au.exe. This will start the Launcher. From here you can run the two 
%%  applications namely the model builder, Create Model, and the data generator, 
%%  Generate Data. 
%%  The following sections provide a brief description of the use of the model builder 
%%  and data generator. These should be read in conjunction with the more detailed 
%%  account of AU in the Reference Manual. 

%%  4 The model builder tool 
%%  The Build Classification Model dialog is available from the Launcher. Settings 
%%  are made for attributes, classes and rules. The order in which settings are 
%%  entered is controlled. For example, the number of relevant attributes cannot be 
%%  specified until the number of attributes overall is specified. Validity checks 
%%  operate to prevent illegitimate entries. There is also auto completion. 
%%  The Class Distribution Settings dialog is available from the Customise 
%%  Distribution button or these settings can be randomised from the Randomise 
%%  Distributions button. A total weight of 1000 must be distributed across the 
%%  classes to reflect the prominence of each class. Applying Hold to any weight will 
%%  cause it to be retained when randomisation is applied. Minimum and maximum 
%%  values for the majority class probability are set for each class. These are 
%%  expressed as integers up to 1000 subject to a minimum necessary to secure a 
%%  majority class (which is displayed). Randomisation is also available, with hold. 
%%  Selecting Zero Noise followed by randomisation will set minimum and maximum - 2 - 
%%  to 1000 for unheld classes. Illegitimate values will be notified to the user when 
%%  the Apply button is pressed. 
%%  When all build settings have been made the Apply button in the Build 
%%  Classification Model dialog is enabled. When activated, this will enable the Start
%%  button for model building. Progress in the building of the model is echoed in the 
%%  Build Log window. After completion or failure, the model may be rebuilt with or 
%%  without attribute definitions and attribute factorisation being retained. 
%%  Once built, a model may be saved which creates its .aupl, .aurules and 
%%  .auprops files. The .aupl file provides the Prolog source code definition of the 
%%  model. 
%%  A new model may now be built or drift may be applied to the existing model by 
%%  selecting Keep attribute definitions and, possibly, other keep options depending 
%%  on the type of drift required. 
%%  When the user returns to the Launcher, the current build settings are retained. 

%%  5 The data generator tool 
%%  The Generate Data Set from Model dialog is available from the Launcher. Here 
%%  a model is selected and will be compiled into the Prolog system. A file format 
%%  for the examples is selected. The three available formats are CSV, ARFF (for 
%%  WEKA) and C4.5. Examples may be generated with or without header attribute 
%%  information. The latter is useful for appending examples to existing files. 

%%  6 Modification of the .aupl file 
%%  The user can edit the .aupl file for a model in order to manually alter the model 
%%  definition. Caution should be exercised when doing this. It is the user’s 
%%  responsibility to ensure the logical integrity and syntactic correctness of any 
%%  alterations. Logical flaws will cause the data generator to crash. In this situation, 
%%  the system should be exited and restarted. Syntax errors will produce a Prolog 
%%  compiler error message. 

@relation autoUniv-au7-cpd1-500

@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 {v1,v2}
@attribute V6 {v1,v2}
@attribute V7 numeric
@attribute V8 {v1,v2,v3}
@attribute V9 numeric
@attribute V10 {v1,v2,v3}
@attribute V11 numeric
@attribute V12 numeric
@attribute Class {class1,class2,class3,class4,class5}

@data
1.62,3537,0.14,0,v2,v2,4324,v3,2,v2,1.62,0,class2
4.69,3086,0.57,2,v2,v2,3215,v1,0,v3,2.02,2,class2
5.49,3082,0.45,0,v1,v1,3910,v1,1,v2,1.2,1,class2
3.22,3536,0.14,1,v2,v1,5625,v1,2,v3,1.29,0,class4
5.72,3520,0.14,0,v1,v2,4621,v1,0,v3,1.48,2,class4
2.19,3186,0.54,2,v2,v1,4585,v1,0,v2,1.69,1,class4
2.22,3136,0.42,1,v2,v1,4511,v3,1,v3,1.24,0,class5
1.84,3069,0.21,2,v1,v2,7034,v1,2,v1,0.55,1,class4
2.87,3463,0.52,0,v2,v2,6982,v1,0,v1,1.8,2,class3
6.54,3466,0.13,0,v1,v2,3371,v3,2,v2,1.36,2,class4
6.98,3109,0.4,0,v1,v1,7225,v1,2,v2,0.58,1,class5
3.91,3498,0.46,0,v1,v1,7301,v1,0,v3,1.15,0,class5
1.42,3071,0.66,2,v1,v1,4569,v1,0,v2,1.62,1,class4
7.23,3489,0.39,2,v1,v1,3534,v1,1,v2,0.91,1,class5
1.73,3488,0.35,2,v2,v2,3239,v1,1,v1,1.99,0,class4
5.79,3070,0.53,0,v1,v2,7339,v1,1,v2,0.99,2,class5
2.13,3110,0.13,1,v1,v1,6752,v1,0,v2,2.04,1,class5
1.85,3448,0.61,2,v1,v2,4810,v1,0,v3,0.8,1,class4
3.21,3516,0.14,1,v1,v2,6797,v1,1,v2,1.56,1,class5
1.41,3469,0.13,1,v2,v1,6233,v1,1,v1,1.31,1,class5
5.45,3450,0.52,2,v2,v2,4610,v1,0,v3,1.57,1,class1
1.49,3576,0.53,0,v1,v1,7079,v1,1,v2,1.58,1,class5
1.47,3481,0.18,1,v2,v1,4560,v1,1,v3,1.78,0,class5
5.64,3133,0.13,2,v1,v1,7296,v1,2,v2,1.37,1,class3
5.5,3097,0.14,1,v1,v1,3784,v1,1,v3,1.44,1,class5
6.62,3514,0.19,0,v2,v2,3869,v1,1,v3,1.26,1,class5
2.15,3072,0.46,2,v1,v2,5912,v1,2,v1,1.08,0,class4
1.94,3111,0.38,2,v1,v2,6758,v1,1,v2,1.76,2,class5
2.12,3187,0.14,2,v2,v2,3360,v2,2,v2,1.42,1,class4
1.53,3512,0.26,0,v2,v2,7173,v3,0,v1,0.56,0,class2
3.11,3438,0.29,0,v1,v1,3878,v1,2,v2,1.21,0,class3
1.6,3092,0.14,1,v1,v1,6555,v1,0,v2,1.09,0,class5
5.5,3151,0.55,2,v2,v1,6371,v1,0,v1,1.87,2,class1
7.25,3088,0.43,0,v1,v2,3397,v1,1,v3,0.99,2,class5
5.81,3069,0.14,1,v2,v2,7299,v1,2,v1,1.36,1,class4
6.77,3078,0.42,0,v1,v1,6790,v1,1,v1,1.22,1,class5
1.5,3469,0.61,0,v1,v2,4521,v1,0,v1,1.24,1,class5
4.17,3475,0.13,1,v2,v1,7243,v1,2,v3,1.43,0,class3
1.77,3386,0.39,0,v1,v1,3154,v1,2,v2,1.87,1,class2
2.24,3479,0.14,2,v2,v2,4082,v1,1,v1,0.88,1,class4
4.15,3075,0.46,0,v2,v2,6968,v1,0,v1,0.69,0,class2
3.88,3117,0.43,2,v2,v1,3685,v2,0,v2,0.56,0,class4
5.36,3483,0.35,2,v1,v2,4642,v1,2,v2,0.56,2,class2
4.23,3580,0.14,1,v2,v1,5430,v1,0,v1,1.47,1,class3
8.09,3602,0.42,1,v1,v1,4505,v3,2,v3,1.98,2,class2
1.48,3071,0.35,1,v1,v2,7211,v1,0,v3,1.77,2,class5
