%%  1. Title: Credit Approval
%%  
%%  2. Sources: 
%%      (confidential)
%%      Submitted by quinlan@cs.su.oz.au
%%  
%%  3.  Past Usage:
%%  
%%      See Quinlan,
%%      * "Simplifying decision trees", Int J Man-Machine Studies 27,
%%        Dec 1987, pp. 221-234.
%%      * "C4.5: Programs for Machine Learning", Morgan Kaufmann, Oct 1992
%%    
%%  4.  Relevant Information:
%%  
%%      This file concerns credit card applications.  All attribute names
%%      and values have been changed to meaningless symbols to protect
%%      confidentiality of the data.
%%    
%%      This dataset is interesting because there is a good mix of
%%      attributes -- continuous, nominal with small numbers of
%%      values, and nominal with larger numbers of values.  There
%%      are also a few missing values.
%%    
%%  5.  Number of Instances: 690
%%  
%%  6.  Number of Attributes: 15 + class attribute
%%  
%%  7.  Attribute Information:
%%  
%%      A1: b, a.
%%      A2: continuous.
%%      A3: continuous.
%%      A4: u, y, l, t.
%%      A5: g, p, gg.
%%      A6: c, d, cc, i, j, k, m, r, q, w, x, e, aa, ff.
%%      A7: v, h, bb, j, n, z, dd, ff, o.
%%      A8: continuous.
%%      A9: t, f.
%%      A10:    t, f.
%%      A11:    continuous.
%%      A12:    t, f.
%%      A13:    g, p, s.
%%      A14:    continuous.
%%      A15:    continuous.
%%      A16: +,-         (class attribute)
%%  
%%  8.  Missing Attribute Values:
%%      37 cases (5%) have one or more missing values.  The missing
%%      values from particular attributes are:
%%  
%%      A1:  12
%%      A2:  12
%%      A4:   6
%%      A5:   6
%%      A6:   9
%%      A7:   9
%%      A14: 13
%%  
%%  9.  Class Distribution
%%    
%%      +: 307 (44.5%)
%%      -: 383 (55.5%)


@relation credit-approval

@attribute V1 {'?',a,b}
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 {'?',l,u,y}
@attribute V5 {'?',g,gg,p}
@attribute V6 {'?',aa,c,cc,d,e,ff,i,j,k,m,q,r,w,x}
@attribute V7 {'?',bb,dd,ff,h,j,n,o,v,z}
@attribute V8 numeric
@attribute V9 {f,t}
@attribute V10 {f,t}
@attribute V11 numeric
@attribute V12 {f,t}
@attribute V13 {g,p,s}
@attribute V14 numeric
@attribute V15 numeric
@attribute Class {1,2}

@data
b,158,0,u,g,w,v,1.25,t,t,1,f,g,70,0,2
a,330,4.46,u,g,q,h,3.04,t,t,6,f,g,13,560,2
a,91,0.5,u,g,q,h,1.5,t,f,0,f,g,98,824,2
b,127,1.54,u,g,w,v,3.75,t,t,5,t,g,33,3,2
b,45,5.625,u,g,w,v,1.71,t,f,0,f,s,39,0,2
b,170,4,u,g,m,v,2.5,t,f,0,t,g,117,0,2
b,181,1.04,u,g,r,h,6.5,t,f,0,t,g,56,31285,2
a,76,11.585,u,g,cc,v,0.04,t,f,0,f,g,25,1349,2
b,312,0.5,y,p,k,h,3.96,t,f,0,f,g,64,314,2
b,257,4.915,y,p,w,v,3.165,t,f,0,t,g,17,1442,2
b,66,0.83,u,g,c,h,2.165,f,f,0,t,g,41,0,2
b,147,1.835,u,g,c,h,4.335,t,f,0,f,g,92,200,2
a,222,6,u,g,k,v,1,t,f,0,t,g,2,0,2
b,284,6.04,u,g,k,v,0.04,f,f,0,f,g,2,2690,2
a,272,10.5,u,g,q,v,5,t,t,7,t,g,2,0,2
b,213,4.415,y,p,k,v,0.25,t,t,10,t,g,107,0,2
b,131,0.875,u,g,m,v,0.96,t,t,3,t,g,129,0,2
a,80,5.875,u,g,q,v,3.17,t,t,10,f,g,39,245,2
b,63,0.25,u,g,d,h,0.665,t,f,0,t,g,2,0,2
a,36,8.585,u,g,cc,h,0.75,t,t,7,f,g,31,0,2
b,96,11.25,u,g,c,v,2.5,t,t,17,f,g,69,1208,2
b,80,1,u,g,c,v,0.835,t,f,0,f,s,102,0,2
a,282,8,u,g,c,v,7.875,t,t,6,t,g,2,1260,2
a,123,14.5,u,g,x,h,3.085,t,t,1,f,g,39,11,2
a,246,6.5,u,g,q,v,0.5,t,t,3,t,g,49,0,2
a,5,0.585,u,g,c,h,1.5,t,t,2,f,g,33,0,2
a,276,13,u,g,i,bb,5.165,t,t,9,t,g,2,0,2
b,320,18.5,u,g,d,bb,15,t,t,17,t,g,2,0,2
b,324,8.5,u,g,e,h,7,t,t,3,f,g,2,0,2
b,254,1.04,u,g,w,v,5,t,t,6,t,g,152,10000,2
b,140,14.79,u,g,aa,v,5.04,t,t,5,t,g,58,0,2
b,253,9.79,u,g,x,h,7.96,t,t,8,f,g,2,0,2
b,293,7.585,u,g,i,bb,7.585,t,t,15,t,g,2,5000,2
a,214,5.125,u,g,e,v,5,t,f,0,t,g,2,4000,2
a,72,10.75,u,g,q,v,0.415,t,t,5,t,g,2,560,2
b,127,1.5,u,g,w,v,2,t,t,11,t,g,140,35,2
b,121,1.585,u,g,cc,h,1.835,t,t,12,t,g,160,713,2
a,77,11.75,u,g,x,h,0.5,t,t,2,t,g,102,551,2
b,126,0.585,y,p,cc,v,0.25,t,t,2,f,g,92,500,2
b,313,9.415,u,g,ff,ff,14.415,t,t,11,t,g,10,300,2
b,190,9.17,u,g,c,v,4.5,t,t,12,t,g,2,221,2
b,138,15,u,g,c,h,5.335,t,t,11,f,g,2,2283,2
b,144,1.415,u,g,w,h,0.75,t,t,1,f,g,86,100,2
b,236,13.915,u,g,w,v,8.625,t,t,6,t,g,21,0,2
b,318,28,y,p,c,v,28.5,t,t,40,f,g,2,15,2
b,311,6.75,u,g,c,h,2.625,t,t,11,t,g,2,284,2
a,245,2.04,y,p,q,h,0.125,t,t,23,t,g,145,1236,2
b,168,4.46,u,g,cc,h,6.04,t,t,3,f,g,105,300,2
b,249,1.54,u,g,i,bb,3.5,f,f,0,f,g,76,0,2
b,86,0.665,u,g,c,v,0.165,f,f,0,f,g,33,0,2
a,105,0.5,u,g,c,h,0.875,t,f,0,t,g,151,0,2
b,108,1,u,g,q,v,1.75,t,f,0,t,g,98,0,2
b,217,2.04,u,g,w,v,0.04,t,f,0,t,g,131,5800,2
b,198,2.5,u,g,w,v,0,t,f,0,t,g,85,200,2
b,191,3,u,g,cc,h,7.415,t,f,0,t,g,2,0,2
b,81,11.625,y,p,w,v,0.835,t,f,0,t,g,54,300,2
b,79,0,u,g,cc,v,0.085,t,f,0,f,g,2,0,2
b,267,0.5,u,g,i,h,5,t,f,0,t,g,107,0,2
b,200,4.5,u,g,x,h,5.75,f,f,0,t,s,164,0,2
b,263,3,u,g,q,h,6,t,t,11,f,g,25,0,2
b,321,12.25,u,g,m,v,1.25,t,t,4,t,g,69,0,2
b,165,16.165,u,g,d,v,3,t,t,9,f,g,87,730,2
a,82,0.79,y,p,q,v,1.5,t,t,2,t,g,25,400,2
a,48,0.835,u,g,q,v,1.585,t,t,1,f,g,2,0,2
b,115,4.25,u,g,cc,v,4.29,t,t,1,t,g,39,0,2
