@relation data
@attribute V1 {'1','2','3','4','5','6'}
@attribute V2 {'1','2','3','4'}
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 {'1','2','3','4','5','6','7','8','9','10'}
@attribute V6 {'1','2','3','4','5'}
@attribute V7 {'1','2','3','4','5','6','7','8','9','10','11','12'}
@attribute V8 {'1','2','3','4','5','6','7','8'}
@attribute V9 {'1','2'}
@attribute V10 {'1','2'}
@attribute V11 {'1','2'}
@attribute V12 {'1','2'}
@attribute V13 {'1','2'}
@attribute V14 {'1','2'}
@attribute V15 {'1','2'}
@attribute V16 {'1','2','3','4','5','6','7','8'}
@attribute V17 {'1','2','3','4'}
@attribute V18 {'1','2','3'}
@attribute V19 {'1','2'}
@attribute V20 {'1','2','3'}
@attribute V21 {'1','2','3','4','5','6','7','8','9','10','11','12','13','14'}
@attribute V22 {'1','2'}
@attribute V23 {'1','2'}
@attribute V24 {'1','2'}
@attribute V25 {'1','2'}
@attribute V26 {'1','2'}
@attribute V27 {'1','2','3','4','5','6','7'}
@attribute V28 {'1','2','3','4','5','6','7','8'}
@attribute Class {'1','2','3','4','5','6','7','8'}
@data
'5','1',648,16,'3','1','10','5','2','2','1','2','2','2','1','5','1','1','1','1','12','1','1','2','1','1','1','5','3'
'3','1',29,3,'8','1','1','3','2','1','1','2','1','2','1','7','1','1','1','1','12','1','1','1','2','1','6','7','7'
'4','1',2388,20,'10','3','1','3','2','2','1','1','2','1','1','5','1','1','1','1','12','2','1','1','1','1','4','8','3'
'6','3',0,0,'1','1','1','5','2','1','2','2','2','1','2','2','1','1','1','1','1','1','2','2','2','1','2','7','2'
'3','1',0,0,'8','4','1','3','2','1','2','2','1','1','1','4','1','1','1','1','1','1','1','1','1','1','2','7','1'
'4','2',1247,7,'3','1','9','3','2','1','1','2','1','2','1','7','1','1','1','1','12','1','1','2','1','1','6','1','6'
'1','4',0,0,'1','1','8','3','1','1','2','1','2','1','2','8','1','1','1','1','1','1','1','1','2','1','7','2','2'
'1','4',0,0,'1','1','8','5','2','1','2','2','2','2','1','7','1','1','1','1','12','1','2','1','1','1','1','7','2'
'2','3',2777,28,'4','1','10','2','1','1','2','1','2','1','1','2','1','1','1','1','1','1','1','1','1','1','2','2','1'
'2','3',2777,28,'4','1','10','3','1','1','2','2','2','1','1','2','1','1','1','1','12','1','1','1','1','1','2','2','1'
'6','2',7690,15,'1','1','1','3','2','1','2','1','2','1','1','2','1','2','2','2','4','1','1','1','1','1','7','2','2'
'3','1',84,8,'6','1','10','2','2','1','1','1','2','1','1','7','1','1','1','1','1','1','1','1','1','1','6','7','1'
'1','4',19,0,'1','1','10','3','1','1','2','2','1','2','1','2','1','1','1','1','1','1','2','1','1','1','2','2','2'
'5','1',1,0,'10','1','1','2','2','1','1','1','2','1','1','7','1','1','1','1','1','1','1','1','1','1','7','7','3'
'5','1',143,90,'8','1','1','2','2','2','1','1','1','1','1','5','2','1','1','1','1','1','1','1','1','1','4','5','3'
'1','4',0,0,'1','4','1','3','1','1','2','2','1','2','1','2','1','1','1','1','1','1','1','2','1','1','2','2','2'
'3','1',31,10,'8','4','1','3','2','1','1','2','1','2','1','4','1','1','1','1','1','1','1','1','1','1','1','7','1'
'1','4',23,0,'1','1','9','8','2','2','2','2','2','2','2','2','2','1','1','1','1','1','1','2','2','2','6','7','2'
'4','1',113,3,'5','1','1','2','2','2','1','1','1','1','1','5','1','1','1','1','12','1','1','1','1','1','4','5','6'
'1','4',0,0,'1','1','1','6','2','2','2','2','2','2','1','7','2','2','2','2','1','1','1','2','2','1','7','7','2'
'5','1',47,1,'3','1','1','4','2','1','1','1','2','2','2','6','4','1','1','1','1','1','1','1','2','1','5','7','4'
'2','3',1099,6,'4','1','10','3','2','2','1','2','1','1','1','7','1','1','1','1','1','1','1','1','1','1','6','5','1'
'4','2',600,1,'3','1','12','3','1','1','2','1','2','2','1','2','1','1','1','1','1','1','1','1','1','1','2','2','6'
'2','3',8512,119,'8','1','1','4','1','2','2','2','2','1','1','5','2','1','1','1','10','1','1','1','1','2','4','5','1'
'1','4',0,0,'1','1','1','6','2','2','2','2','2','1','2','2','1','2','2','2','1','1','1','2','2','2','7','2','2'
'5','1',6,0,'3','1','1','4','2','1','1','2','2','2','1','4','1','1','1','1','1','1','2','2','2','2','7','4','3'
'3','1',111,9,'7','1','10','5','2','2','2','2','2','1','1','7','1','1','1','1','12','1','1','2','2','1','7','7','7'
'4','4',274,7,'5','1','9','3','2','2','1','2','1','1','1','7','1','1','1','1','12','1','1','1','1','1','6','5','6'
'5','1',678,35,'3','1','1','3','2','1','2','1','2','1','1','7','1','1','1','2','8','1','1','2','2','1','2','7','4'
'4','2',28,4,'3','1','1','3','2','2','1','1','2','1','1','7','2','1','2','1','14','1','1','1','1','1','7','8','6'
'4','1',474,8,'5','4','1','3','2','2','1','2','1','1','1','4','1','1','1','1','12','1','1','1','1','1','4','4','2'
'1','4',9976,24,'1','3','1','2','2','1','1','1','2','1','1','7','1','1','1','1','1','1','1','1','2','1','6','7','2'
