@relation R_data_frame

@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 numeric
@attribute V9 numeric
@attribute V10 numeric
@attribute V11 numeric
@attribute V12 numeric
@attribute V13 numeric
@attribute V14 numeric
@attribute V15 numeric
@attribute V16 numeric
@attribute V17 numeric
@attribute V18 numeric
@attribute V19 numeric
@attribute V20 numeric
@attribute V21 numeric
@attribute V22 numeric
@attribute V23 numeric
@attribute V24 numeric
@attribute V25 numeric
@attribute V26 numeric
@attribute V27 numeric
@attribute V28 numeric
@attribute V29 numeric
@attribute V30 numeric
@attribute V31 numeric
@attribute V32 numeric
@attribute V33 numeric
@attribute V34 numeric
@attribute V35 numeric
@attribute V36 numeric
@attribute V37 numeric
@attribute V38 numeric
@attribute V39 numeric
@attribute V40 numeric
@attribute V41 numeric
@attribute V42 numeric
@attribute V43 numeric
@attribute V44 numeric
@attribute V45 numeric
@attribute V46 numeric
@attribute V47 numeric
@attribute V48 numeric
@attribute V49 numeric
@attribute V50 numeric
@attribute V51 numeric
@attribute V52 numeric
@attribute V53 numeric
@attribute V54 numeric
@attribute V55 numeric
@attribute V56 numeric
@attribute V57 numeric
@attribute V58 numeric
@attribute V59 numeric
@attribute V60 numeric
@attribute V61 numeric
@attribute V62 numeric
@attribute V63 numeric
@attribute V64 numeric
@attribute V65 numeric
@attribute V66 numeric
@attribute V67 numeric
@attribute V68 numeric
@attribute V69 numeric
@attribute V70 numeric
@attribute V71 numeric
@attribute V72 numeric
@attribute V73 numeric
@attribute V74 numeric
@attribute V75 numeric
@attribute V76 numeric
@attribute V77 numeric
@attribute V78 numeric
@attribute V79 numeric
@attribute V80 numeric
@attribute V81 numeric
@attribute V82 numeric
@attribute V83 numeric
@attribute V84 numeric
@attribute V85 numeric
@attribute V86 numeric
@attribute V87 numeric
@attribute V88 numeric
@attribute V89 numeric
@attribute V90 numeric
@attribute V91 numeric
@attribute V92 numeric
@attribute V93 numeric
@attribute V94 numeric
@attribute V95 numeric
@attribute V96 numeric
@attribute V97 numeric
@attribute V98 numeric
@attribute V99 numeric
@attribute V100 numeric
@attribute Class {1,2}

@data
1041.990593,1039.850024,1037.136237,1033.695733,1029.333904,1023.804033,1016.793331,1007.905251,996.637055,982.351378,964.240175,941.279019,964.240175,982.351378,996.637055,1007.905251,1016.793331,1023.804033,1029.333904,1033.695733,1037.136237,1039.850024,1041.990593,1043.679022,1045.010814,1046.061299,1046.889896,1047.543473,1048.058999,1048.465633,1048.786377,1049.039371,1049.238927,1049.396332,1049.520489,1049.618422,1049.695668,1049.756598,1049.804659,1049.842567,1049.872469,1049.896054,1049.914658,1049.929332,1049.940907,1049.950037,1049.957238,1049.962918,1049.967399,1049.970933,1049.97372,1049.975919,1049.977654,1049.979022,1049.980101,1049.980952,1049.981623,1049.982153,1049.98257,1049.9829,1049.98316,1049.983365,1049.983526,1049.983654,1049.983755,1049.983834,1049.983896,1049.983946,1049.983985,1049.984015,1049.98404,1049.984059,1049.984074,1049.984086,1049.984095,1049.984103,1049.984108,1049.984113,1049.984117,1049.984119,1049.984122,1049.984124,1049.984125,1049.984126,1049.984127,1049.984128,1049.984128,1049.984129,1049.984129,1049.984129,1049.984129,1049.98413,1049.98413,1049.98413,1049.98413,1049.98413,1049.98413,1049.98413,1049.98413,1049.98413,1
62.191641,62.191641,62.19164,62.19164,62.19164,62.191639,62.191639,62.191638,62.191637,62.191636,62.191635,62.191633,62.191631,62.191628,62.191624,62.19162,62.191614,62.191607,62.191598,62.191586,62.191572,62.191554,62.191531,62.191502,62.191466,62.19142,62.191362,62.19129,62.191198,62.191083,62.190938,62.190755,62.190525,62.190235,62.18987,62.189409,62.188829,62.188098,62.187177,62.186017,62.184555,62.182714,62.180394,62.177471,62.173789,62.169149,62.163304,62.15594,62.146662,62.134974,62.120247,62.101694,62.07832,62.048871,62.011769,61.965026,61.906136,61.831941,61.738466,61.6207,61.47233,61.285404,61.049901,60.753198,60.379391,59.908443,59.31511,58.567589,57.62581,56.439293,54.944436,53.061112,50.68837,47.699027,43.932846,39.187952,43.932846,47.699027,50.68837,53.061112,54.944436,56.439293,57.62581,58.567589,59.31511,59.908443,60.379391,60.753198,61.049901,61.285404,61.47233,61.6207,61.738466,61.831941,61.906136,61.965026,62.011769,62.048871,62.07832,62.101694,1
3216.305785,3216.305745,3216.305698,3216.305642,3216.305575,3216.305494,3216.305398,3216.305284,3216.305147,3216.304983,3216.304788,3216.304555,3216.304276,3216.303943,3216.303545,3216.303069,3216.302501,3216.301823,3216.301012,3216.300044,3216.298887,3216.297505,3216.295854,3216.293882,3216.291525,3216.28871,3216.285347,3216.28133,3216.27653,3216.270796,3216.263946,3216.255763,3216.245987,3216.234308,3216.220356,3216.203687,3216.183775,3216.159986,3216.131566,3216.097615,3216.057055,3216.008601,3215.950714,3215.88156,3215.798944,3215.700248,3215.58234,3215.441482,3215.273205,3215.072173,3214.832009,3214.545098,3214.202339,3213.792861,3213.303679,3212.719276,3212.021119,3211.187065,3210.190661,3209.000306,3207.578247,3205.879383,3203.849833,3201.425229,3198.528673,3195.0683,3190.934361,3185.995746,3180.095824,3173.047476,3164.62716,3154.567819,3142.550418,3128.193815,3111.042684,3090.553067,3066.075123,3036.832521,3001.897815,2960.163029,2910.304521,2850.741001,2779.583376,2694.574841,2593.019302,2471.695866,2326.75669,2153.604944,1946.749022,2153.604944,2326.75669,2471.695866,2593.019302,2694.574841,2779.583376,2850.741001,2910.304521,2960.163029,3001.897815,3036.832521,1
6373.569435,6373.015068,6372.300869,6371.380752,6370.19535,6368.668175,6366.700689,6364.165942,6360.900382,6356.693303,6351.273248,6344.290495,6335.29449,6323.704778,6308.773545,6289.537373,6264.755071,6232.827592,6191.694852,6138.702813,6070.432229,5982.478021,5869.165054,5723.181946,5535.109314,5292.812002,4980.656071,5292.812002,5535.109314,5723.181946,5869.165054,5982.478021,6070.432229,6138.702813,6191.694852,6232.827592,6264.755071,6289.537373,6308.773545,6323.704778,6335.29449,6344.290495,6351.273248,6356.693303,6360.900382,6364.165942,6366.700689,6368.668175,6370.19535,6371.380752,6372.300869,6373.015068,6373.569435,6373.999737,6374.33374,6374.592996,6374.794231,6374.950431,6375.071675,6375.165785,6375.238834,6375.295535,6375.339546,6375.373708,6375.400225,6375.420807,6375.436784,6375.449185,6375.45881,6375.466282,6375.472081,6375.476583,6375.480077,6375.482789,6375.484894,6375.486528,6375.487796,6375.488781,6375.489545,6375.490138,6375.490599,6375.490956,6375.491233,6375.491449,6375.491616,6375.491746,6375.491846,6375.491925,6375.491985,6375.492032,6375.492069,6375.492097,6375.492119,6375.492136,6375.49215,6375.49216,6375.492168,6375.492174,6375.492179,6375.492183,1
16.680583,16.699414,16.723735,16.75515,16.795726,16.848135,16.915828,17.003263,17.116196,17.262063,17.45047,17.693821,18.008141,18.414125,18.938507,19.615813,20.490642,21.620596,20.490642,19.615813,18.938507,18.414125,18.008141,17.693821,17.45047,17.262063,17.116196,17.003263,16.915828,16.848135,16.795726,16.75515,16.723735,16.699414,16.680583,16.666005,16.654718,16.645979,16.639214,16.633976,16.62992,16.62678,16.62435,16.622468,16.621011,16.619883,16.619009,16.618333,16.617809,16.617404,16.61709,16.616847,16.616659,16.616514,16.616401,16.616314,16.616246,16.616194,16.616153,16.616122,16.616098,16.616079,16.616064,16.616053,16.616044,16.616037,16.616032,16.616028,16.616025,16.616023,16.616021,16.616019,16.616018,16.616017,16.616017,16.616016,16.616016,16.616015,16.616015,16.616015,16.616015,16.616015,16.616015,16.616015,16.616015,16.616014,16.616014,16.616014,16.616014,16.616014,16.616014,16.616014,16.616014,16.616014,16.616014,16.616014,16.616014,16.616014,16.616014,16.616014,2
556.899589,556.899193,556.898703,556.898098,556.897349,556.896424,556.895282,556.893869,556.892123,556.889966,556.8873,556.884004,556.879932,556.874899,556.868679,556.860991,556.851491,556.83975,556.825239,556.807305,556.785142,556.757751,556.7239,556.682063,556.630359,556.56646,556.487489,556.389891,556.269272,556.120203,555.935974,555.708291,555.426904,555.079148,554.649366,554.118212,553.461775,552.650506,551.647883,550.408774,548.877396,546.984815,544.645833,541.755158,538.182663,533.767529,528.311001,521.56745,513.233305,502.933395,490.204059,502.933395,513.233305,521.56745,528.311001,533.767529,538.182663,541.755158,544.645833,546.984815,548.877396,550.408774,551.647883,552.650506,553.461775,554.118212,554.649366,555.079148,555.426904,555.708291,555.935974,556.120203,556.269272,556.389891,556.487489,556.56646,556.630359,556.682063,556.7239,556.757751,556.785142,556.807305,556.825239,556.83975,556.851491,556.860991,556.868679,556.874899,556.879932,556.884004,556.8873,556.889966,556.892123,556.893869,556.895282,556.896424,556.897349,556.898098,556.898703,556.899193,1
1.276645,1.27702,1.277487,1.278067,1.278789,1.279687,1.280804,1.282193,1.28392,1.286068,1.288739,1.292062,1.296194,1.301333,1.307724,1.315672,1.325558,1.337852,1.353143,1.372159,1.395809,1.425222,1.461803,1.507298,1.563879,1.634247,1.721763,1.830604,1.721763,1.634247,1.563879,1.507298,1.461803,1.425222,1.395809,1.372159,1.353143,1.337852,1.325558,1.315672,1.307724,1.301333,1.296194,1.292062,1.288739,1.286068,1.28392,1.282193,1.280804,1.279687,1.278789,1.278067,1.277487,1.27702,1.276645,1.276343,1.276101,1.275905,1.275749,1.275622,1.275521,1.27544,1.275374,1.275321,1.275279,1.275245,1.275217,1.275195,1.275178,1.275163,1.275152,1.275143,1.275135,1.275129,1.275125,1.275121,1.275118,1.275115,1.275113,1.275111,1.27511,1.275109,1.275108,1.275108,1.275107,1.275107,1.275106,1.275106,1.275106,1.275106,1.275105,1.275105,1.275105,1.275105,1.275105,1.275105,1.275105,1.275105,1.275105,1.275105,2
26906.81576,26907.34323,26908.01028,26908.85387,26909.9207,26911.26986,26912.97606,26915.13378,26917.86252,26921.31339,26925.67749,26931.19651,26938.17607,26947.00269,26958.16517,26972.28168,26990.13397,27012.71066,27041.26202,27077.36918,27123.03168,27180.77825,27253.80679,27346.16152,27462.95688,27610.66081,27797.45291,28033.67744,28332.41611,28710.2126,29187.98866,29792.20275,30556.31528,31522.64154,32744.69513,34290.15138,36244.59517,38716.26041,36244.59517,34290.15138,32744.69513,31522.64154,30556.31528,29792.20275,29187.98866,28710.2126,28332.41611,28033.67744,27797.45291,27610.66081,27462.95688,27346.16152,27253.80679,27180.77825,27123.03168,27077.36918,27041.26202,27012.71066,26990.13397,26972.28168,26958.16517,26947.00269,26938.17607,26931.19651,26925.67749,26921.31339,26917.86252,26915.13378,26912.97606,26911.26986,26909.9207,26908.85387,26908.01028,26907.34323,26906.81576,26906.39867,26906.06886,26905.80806,26905.60184,26905.43878,26905.30983,26905.20787,26905.12725,26905.0635,26905.01308,26904.97322,26904.9417,26904.91678,26904.89707,26904.88148,26904.86916,26904.85941,26904.85171,26904.84562,26904.8408,26904.83699,26904.83397,26904.83159,26904.82971,26904.82822,2
7620.673487,7620.673484,7620.67348,7620.673474,7620.673467,7620.673458,7620.673446,7620.673431,7620.673412,7620.673386,7620.673354,7620.673311,7620.673257,7620.673186,7620.673094,7620.672976,7620.672823,7620.672625,7620.672369,7620.672039,7620.671611,7620.671058,7620.670343,7620.669418,7620.668222,7620.666676,7620.664677,7620.662092,7620.65875,7620.654428,7620.64884,7620.641614,7620.63227,7620.620188,7620.604566,7620.584366,7620.558246,7620.524471,7620.480799,7620.424329,7620.351311,7620.256894,7620.134809,7619.976948,7619.772825,7619.508885,7619.167597,7618.726295,7618.155671,7617.417827,7616.463759,7615.230103,7613.634926,7611.572286,7608.905193,7605.456514,7600.997205,7595.231105,7587.77526,7578.134493,7565.668519,7549.549414,7528.706636,7501.755922,7466.907352,7421.846475,7363.580594,7288.240006,7190.821002,7064.853544,6901.971561,6691.357322,6419.022981,6066.881578,6419.022981,6691.357322,6901.971561,7064.853544,7190.821002,7288.240006,7363.580594,7421.846475,7466.907352,7501.755922,7528.706636,7549.549414,7565.668519,7578.134493,7587.77526,7595.231105,7600.997205,7605.456514,7608.905193,7611.572286,7613.634926,7615.230103,7616.463759,7617.417827,7618.155671,7618.726295,1
198.096368,198.096381,198.096397,198.096415,198.096438,198.096465,198.096496,198.096535,198.09658,198.096634,198.096699,198.096776,198.096869,198.096979,198.09711,198.097267,198.097454,198.097678,198.097944,198.098262,198.098642,198.099096,198.099637,198.100283,198.101054,198.101974,198.103072,198.104383,198.105947,198.107814,198.110043,198.112703,198.115877,198.119667,198.124189,198.129587,198.136029,198.143719,198.152896,198.16385,198.176924,198.192528,198.211152,198.233381,198.259911,198.291577,198.329371,198.374481,198.42832,198.49258,198.569277,198.660818,198.770076,198.900479,199.056122,199.241887,199.463606,199.728237,200.044086,200.421064,200.871002,201.408023,202.04898,202.813989,203.727059,204.816847,206.117553,207.670001,209.522912,211.734439,214.373989,217.524402,221.284551,225.772447,231.128938,237.522134,245.15268,254.260056,265.130089,278.103928,293.588747,278.103928,265.130089,254.260056,245.15268,237.522134,231.128938,225.772447,221.284551,217.524402,214.373989,211.734439,209.522912,207.670001,206.117553,204.816847,203.727059,202.813989,202.04898,201.408023,2
