@relation R_data_frame

@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 numeric
@attribute V9 numeric
@attribute V10 numeric
@attribute V11 numeric
@attribute V12 numeric
@attribute V13 numeric
@attribute V14 numeric
@attribute V15 numeric
@attribute V16 numeric
@attribute V17 numeric
@attribute V18 numeric
@attribute V19 numeric
@attribute V20 numeric
@attribute V21 numeric
@attribute V22 numeric
@attribute V23 numeric
@attribute V24 numeric
@attribute V25 numeric
@attribute V26 numeric
@attribute V27 numeric
@attribute V28 numeric
@attribute V29 numeric
@attribute V30 numeric
@attribute V31 numeric
@attribute V32 numeric
@attribute V33 numeric
@attribute V34 numeric
@attribute V35 numeric
@attribute V36 numeric
@attribute V37 numeric
@attribute V38 numeric
@attribute V39 numeric
@attribute V40 numeric
@attribute V41 numeric
@attribute V42 numeric
@attribute V43 numeric
@attribute V44 numeric
@attribute V45 numeric
@attribute V46 numeric
@attribute V47 numeric
@attribute V48 numeric
@attribute V49 numeric
@attribute V50 numeric
@attribute V51 numeric
@attribute V52 numeric
@attribute V53 numeric
@attribute V54 numeric
@attribute V55 numeric
@attribute V56 numeric
@attribute V57 numeric
@attribute V58 numeric
@attribute V59 numeric
@attribute V60 numeric
@attribute V61 numeric
@attribute V62 numeric
@attribute V63 numeric
@attribute V64 numeric
@attribute V65 numeric
@attribute V66 numeric
@attribute V67 numeric
@attribute V68 numeric
@attribute V69 numeric
@attribute V70 numeric
@attribute V71 numeric
@attribute V72 numeric
@attribute V73 numeric
@attribute V74 numeric
@attribute V75 numeric
@attribute V76 numeric
@attribute V77 numeric
@attribute V78 numeric
@attribute V79 numeric
@attribute V80 numeric
@attribute V81 numeric
@attribute V82 numeric
@attribute V83 numeric
@attribute V84 numeric
@attribute V85 numeric
@attribute V86 numeric
@attribute V87 numeric
@attribute V88 numeric
@attribute V89 numeric
@attribute V90 numeric
@attribute Class {1,2,3}

@data
-2,2,20,5,-6,-1,-2,1,20,5,-6,0,-2,1,23,5,-6,0,-2,2,20,5,-6,-1,-3,1,22,5,-6,-1,-2,2,20,5,-6,-1,-2,2,20,5,-6,-1,-3,3,20,5,-6,-1,-2,1,13,7,-3,-1,-3,1,4,3,-7,0,-1,0,13,4,-5,-1,-4,3,15,2,-11,-1,-1,2,29,7,-6,-1,1,-1,23,9,2,0,-2,2,29,3,-6,0,2
-3,2,22,5,-8,0,-2,2,19,5,-7,0,-3,2,23,5,-7,0,-2,2,22,5,-6,-1,-2,2,20,5,-6,-1,-2,2,23,5,-7,-1,-2,2,20,5,-7,-1,-2,2,22,4,-7,-1,0,1,23,8,-4,0,3,0,28,6,1,-1,0,2,18,7,-5,-1,-2,3,20,2,-7,0,-4,3,22,4,-11,-1,-2,2,6,5,-8,-1,-3,3,24,4,-8,-1,2
-2,2,20,5,-6,-1,-2,2,19,5,-7,0,-2,2,20,5,-6,-1,-2,2,20,5,-6,-1,-2,2,22,4,-7,-1,-2,2,22,4,-7,-1,-2,2,22,5,-6,-1,-2,2,22,5,-5,-1,-2,2,24,2,-6,0,0,0,22,4,-3,-1,-2,1,31,2,-6,-1,-3,2,23,4,-8,-2,-2,1,29,7,-5,-2,-2,2,41,4,-5,-2,-3,1,3,5,-6,0,2
-2,2,20,5,-6,-1,-3,1,18,4,-6,0,-2,2,20,5,-6,-1,-2,2,20,5,-6,-1,-2,1,20,5,-6,0,-3,1,20,5,-6,-1,-2,2,20,3,-6,-1,-2,2,20,5,-6,-1,-3,1,9,7,-8,0,-4,2,11,3,-7,-1,-6,3,23,-2,-11,0,-3,0,18,7,-10,0,-4,0,17,4,-9,-1,-4,0,32,4,-10,-1,-2,1,30,5,-5,-1,2
-2,2,20,4,-7,-1,-2,1,19,5,-7,0,-2,1,22,5,-6,0,-2,1,20,5,-6,0,-2,2,22,4,-7,-1,-2,2,20,5,-6,-1,-2,2,20,5,-7,-1,-2,1,19,5,-7,0,0,0,16,4,-1,0,-3,2,20,3,-6,0,-1,0,25,4,-6,-1,-2,1,28,5,-4,0,-2,4,12,-1,-8,-1,-3,0,4,6,-8,0,-5,4,38,-1,-16,-1,2
-2,1,19,4,-6,0,-2,1,19,4,-6,0,-2,2,20,4,-5,-1,-2,2,20,4,-5,-1,-2,1,20,3,-6,0,-2,1,21,4,-5,0,-2,1,19,4,-6,0,-2,2,19,4,-6,-1,-4,3,19,0,-10,0,-2,1,6,3,-6,0,-2,1,18,5,-4,-1,-2,0,20,4,-3,-2,-3,3,32,2,-6,-1,-2,1,14,3,-4,0,0,0,23,6,-3,-1,2
-1,1,19,4,-6,0,-2,2,18,4,-6,0,-2,1,19,4,-6,0,-2,1,19,4,-6,0,-2,1,19,4,-6,0,-2,1,19,4,-6,0,-2,1,21,5,-6,0,-1,2,21,3,-6,1,0,1,14,1,-3,0,-6,5,11,-4,-12,0,-4,1,4,5,-6,0,0,0,2,8,-5,0,0,1,36,3,-1,-1,0,1,14,5,-3,1,1,0,24,11,-2,0,2
-2,1,19,4,-6,0,-2,1,18,3,-5,0,-2,1,19,3,-5,0,-2,1,19,3,-5,0,-2,1,23,3,-5,0,-2,1,21,4,-5,0,-2,1,19,4,-6,0,-1,2,21,4,-5,1,-3,2,3,-2,-8,2,0,0,24,6,-4,0,-2,1,16,4,-3,0,-5,4,26,-1,-6,1,-3,1,19,4,-6,0,-2,0,33,6,-6,0,-2,1,16,5,-9,0,2
-1,2,21,3,-6,1,-1,2,17,3,-6,0,-1,2,21,3,-6,1,-1,2,19,4,-6,1,-1,2,19,4,-6,1,-1,2,21,3,-6,1,-1,2,19,4,-6,1,-1,2,19,4,-6,1,-4,4,12,1,-11,0,-2,2,21,2,-7,0,1,0,29,7,-1,0,-1,2,17,3,-5,0,2,0,32,6,-1,0,0,3,17,2,-10,1,2,0,17,8,-1,0,2
0,1,15,3,-3,0,-2,1,32,3,-7,0,-1,2,4,-1,-7,0,-1,1,6,5,-6,0,2,0,17,3,-4,0,2,0,28,3,-3,-1,2,1,24,1,-4,0,0,1,17,3,-4,1,-1,2,18,-2,-6,0,0,0,16,1,-6,-1,-1,2,11,-1,-8,0,0,0,18,1,-5,-1,0,0,11,2,-8,0,-1,0,-1,3,-4,0,1,0,25,0,-3,-2,2
-1,2,4,-1,-7,0,-1,1,6,5,-6,0,2,0,17,3,-4,0,2,0,28,3,-3,-1,2,1,24,1,-4,0,0,1,17,3,-4,1,-1,2,18,-2,-6,0,0,0,16,1,-6,-1,-1,2,11,-1,-8,0,0,0,18,1,-5,-1,0,0,11,2,-8,0,-1,0,-1,3,-4,0,1,0,25,0,-3,-2,0,0,22,2,-6,0,1,0,17,2,-4,0,2
2,0,17,3,-4,0,2,0,28,3,-3,-1,2,1,24,1,-4,0,0,1,17,3,-4,1,-1,2,18,-2,-6,0,0,0,16,1,-6,-1,-1,2,11,-1,-8,0,0,0,18,1,-5,-1,0,0,11,2,-8,0,-1,0,-1,3,-4,0,1,0,25,0,-3,-2,0,0,22,2,-6,0,1,0,17,2,-4,0,2,0,27,3,-2,-1,2,0,15,0,-4,-1,2
0,1,17,3,-4,1,-1,2,18,-2,-6,0,0,0,16,1,-6,-1,-1,2,11,-1,-8,0,0,0,18,1,-5,-1,0,0,11,2,-8,0,-1,0,-1,3,-4,0,1,0,25,0,-3,-2,0,0,22,2,-6,0,1,0,17,2,-4,0,2,0,27,3,-2,-1,2,0,15,0,-4,-1,0,0,19,-1,-3,-1,0,0,11,2,-4,0,0,0,6,0,-7,0,2
-1,2,18,-2,-6,0,0,0,16,1,-6,-1,-1,2,11,-1,-8,0,0,0,18,1,-5,-1,0,0,11,2,-8,0,-1,0,-1,3,-4,0,1,0,25,0,-3,-2,0,0,22,2,-6,0,1,0,17,2,-4,0,2,0,27,3,-2,-1,2,0,15,0,-4,-1,0,0,19,-1,-3,-1,0,0,11,2,-4,0,0,0,6,0,-7,0,-1,1,13,-4,-9,0,2
0,0,16,1,-6,-1,-1,2,11,-1,-8,0,0,0,18,1,-5,-1,0,0,11,2,-8,0,-1,0,-1,3,-4,0,1,0,25,0,-3,-2,0,0,22,2,-6,0,1,0,17,2,-4,0,2,0,27,3,-2,-1,2,0,15,0,-4,-1,0,0,19,-1,-3,-1,0,0,11,2,-4,0,0,0,6,0,-7,0,-1,1,13,-4,-9,0,-2,0,10,-4,-7,-2,2
