@relation R_data_frame

@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 numeric
@attribute V9 numeric
@attribute V10 numeric
@attribute V11 numeric
@attribute V12 numeric
@attribute V13 numeric
@attribute V14 numeric
@attribute V15 numeric
@attribute V16 numeric
@attribute V17 numeric
@attribute V18 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
218,178,0.111111,0,0.833333,0.547722,1.111109,0.544331,59.62963,52.444443,75.22222,51.22222,-21.555555,46.77778,-25.222221,75.22222,0.318996,-2.040554,6
113,130,0,0,0.277778,0.250924,0.333333,0.365148,0.888889,0,2.555556,0.111111,-2.666667,5,-2.333333,2.555556,1,-2.123254,3
202,41,0,0,0.944448,0.772202,1.111112,1.025597,123.03704,111.888885,139.77779,117.44444,-33.444443,50.22222,-16.777779,139.77779,0.199347,-2.299918,2
32,173,0,0,1.722222,1.781593,9,6.749488,43.592594,39.555557,52.88889,38.333336,-12.111111,27.88889,-15.777778,52.88889,0.266914,-1.998858,6
61,197,0,0,1.444444,1.515353,2.611111,1.925463,49.592594,44.22222,61.555557,43,-16.11111,35.88889,-19.777779,61.555557,0.302925,-2.022274,6
149,185,0,0,1.555555,1.068055,3.055555,1.925463,49.333332,45.333332,59.555557,43.11111,-12,30.666666,-18.666666,59.555557,0.275889,-1.95277,6
197,229,0,0,1.388889,1.574073,1.166666,0.566666,17.74074,14.111111,17.88889,21.222221,-10.888889,0.444444,10.444445,21.222221,0.335717,2.651605,7
29,111,0,0,0.388889,0.240741,0.611111,0.151852,5.407407,6.888889,6.333334,3,4.444445,2.777778,-7.222222,6.888889,0.564153,-0.897859,1
1,81,0,0,12.166667,267.45554,9.222222,205.36296,21.333334,14,30.555555,19.444445,-22,27.666666,-5.666667,30.555555,0.595282,-2.438409,3
69,85,0.111111,0,3.111111,8.207409,3.944444,9.440739,21.444445,20.444445,28.11111,15.777778,-3,20,-17,28.11111,0.437404,-1.659879,1
152,83,0,0,4.444444,1.327766,0.944444,0.680414,26.518518,23.333334,33.22222,23,-9.555555,20.11111,-10.555555,33.22222,0.307415,-2.063242,4
248,153,0,0,0.277778,0.062963,0.111111,0.02963,0.37037,0,1.111111,0,-1.111111,2.222222,-1.111111,1.111111,0.888889,-2.094395,5
137,141,0,0,0.055556,0.136083,0.055556,0.136083,0.037037,0,0.111111,0,-0.111111,0.222222,-0.111111,0.111111,0.111111,-2.094395,5
86,197,0.111111,0.111111,1.611112,1.451691,1.277779,1.103865,63.22222,56.22222,77.77778,55.666668,-21,43.666668,-22.666666,77.77778,0.285333,-2.06802,6
220,220,0.111111,0,2.277778,1.12963,2.277778,4.151854,6.444445,5.666667,5.333334,8.333334,-2.333333,-3.333333,5.666667,8.333334,0.427354,1.984366,7
207,115,0,0,1.055556,0.32963,0.166667,0.033333,1.222222,0.444444,2.888889,0.333333,-2.333333,5,-2.666667,2.888889,0.933333,-2.065536,5
6,51,0,0,1.666667,1.999999,1.611111,2.107407,19.592592,18.777779,25.666666,14.333333,-2.444444,18.222221,-15.777778,25.666666,0.442861,-1.68129,1
203,182,0,0,3.722222,2.576964,3.611111,1.705112,54.925926,49.444443,68.111115,47.22222,-16.444445,39.555557,-23.11111,68.111115,0.306722,-1.980348,6
243,120,0,0,4.444445,4.359749,1.555555,1.833839,47.851852,44.77778,56.333332,42.444443,-9.222222,25.444445,-16.222221,56.333332,0.245321,-1.910735,4
146,97,0,0,10.111111,4.597905,0.611111,0.574133,47.962963,46,54.333332,43.555557,-5.888889,19.11111,-13.222222,54.333332,0.197115,-1.840735,4
184,145,0,0,0.722222,0.611616,0.222222,0.272166,0.555556,0.333333,1.222222,0.111111,-0.666667,2,-1.333333,1.222222,0.527778,-1.920944,5
178,128,0,0,0.444444,0.340741,0.888889,0.207408,5.925926,7.888889,6.444445,3.444444,5.888889,1.555556,-7.444445,7.888889,0.563713,-0.7213,1
132,134,0,0,2.666667,3.155556,1.5,1.544444,6.185185,2.222222,11.444445,4.888889,-11.888889,15.777778,-3.888889,11.444445,0.833935,-2.386612,3
83,28,0,0,0.388889,0.136081,0.888887,0.455421,112.96296,99.44444,131.11111,108.333336,-40.555557,54.444443,-13.888889,131.11111,0.241511,-2.387884,2
126,237,0,0,0.944444,0.240741,1,0.488889,5.777778,4.222222,4.222222,8.888889,-4.666667,-4.666667,9.333333,8.888889,0.553812,2.097231,7
225,58,0,0,0.333334,0.421637,0.444445,0.344265,8.333333,5.555555,14.111111,5.333334,-8.333333,17.333334,-9,14.111111,0.622222,-2.068564,5
14,120,0,0,0.333333,0.133333,0.444444,0.296296,1.592593,0,3.888889,0.888889,-4.777778,6.888889,-2.111111,3.888889,1,-2.315721,3
5,210,0,0.111111,2.166667,1.669998,4.444444,2.613356,51.296295,45.444443,64.333336,44.11111,-17.555555,39.11111,-21.555555,64.333336,0.317566,-2.020896,6
79,62,0,0,0.555556,0.385184,0.888887,0.607405,110.18519,100.666664,127.111115,102.77778,-28.555555,50.77778,-22.222221,127.111115,0.208013,-2.178149,2
18,83,0,0.111111,6.166667,9.988892,12.888889,28.785189,14.37037,9,22.666666,11.444445,-16.11111,24.88889,-8.777778,22.666666,0.664785,-2.274205,3
214,246,0,0,2.833333,1.917754,2.999999,1.988857,17.518518,14.222222,15.444445,22.88889,-9.888889,-6.222222,16.11111,22.88889,0.391548,2.232849,7
94,140,0,0,0.166667,0.033333,0.333333,0.044444,3.037037,1.777778,6.111111,1.222222,-3.777778,9.222222,-5.444445,6.111111,0.797884,-1.985769,5
54,142,0,0,0.722222,0.827759,2,2.108185,1.814815,0.888889,3.666667,0.888889,-2.777778,5.555555,-2.777778,3.666667,0.769444,-2.094395,5
107,146,0,0,1.888889,1.007408,2.111111,1.318517,21.37037,16.777779,29.666666,17.666668,-13.777778,24.88889,-11.111111,29.666666,0.432786,-2.164971,4
93,236,0.111111,0,1.777778,2.696297,2,0.933333,12.518518,9.555555,10.777778,17.222223,-8.888889,-5.222222,14.111111,17.222223,0.447247,2.267197,7
245,249,0,0,2,1.28889,1.5,0.611111,14.740741,10.777778,15.333333,18.11111,-11.888889,1.777778,10.111111,18.11111,0.406212,2.743555,7
48,173,0,0,1.166667,1.069787,1.444445,1.642041,19.222221,16.444445,16.444445,24.777779,-8.333333,-8.333333,16.666666,24.777779,0.349656,2.099557,7
239,122,0,0,0.277778,0.062963,0.333333,0.177778,5.555555,7,6.666667,3,4.333334,3.333333,-7.666667,7.222222,0.581349,-0.953435,1
184,145,0,0,0.944445,0.490654,1.777778,0.934919,3.407408,2.333334,5.777778,2.111111,-3.222222,7.111111,-3.888889,5.777778,0.656614,-2.036506,5
109,146,0,0,0.055556,0.136083,0.055556,0.136083,0.037037,0,0.111111,0,-0.111111,0.222222,-0.111111,0.111111,0.111111,-2.094395,3
111,246,0,0,3.166667,2.094968,5.833334,4.113663,25.88889,21.11111,22.444445,34.11111,-14.333333,-10.333333,24.666666,34.11111,0.388973,2.214011,7
155,40,0,0,1.888889,2.072751,0.055556,0.136083,1.259259,1.222222,1.555556,1,-0.111111,0.888889,-0.777778,1.555556,0.116667,-1.570796,5
192,157,0,0,1.055556,0.507408,0.777778,0.162963,18.333334,13.888889,17.222223,23.88889,-13.333333,-3.333333,16.666666,23.88889,0.418184,2.438615,7
209,249,0,0,2.444444,3.629631,2.777778,4.207408,10.518518,7.555555,8.111112,15.888889,-8.888889,-7.222222,16.11111,15.888889,0.533307,2.156779,7
118,125,0,0,0.333333,0.298142,0.888889,0.344265,1.148148,0,3.111111,0.333333,-3.444444,5.888889,-2.444444,3.111111,1,-2.175647,3
43,152,0,0,1.944445,1.707408,1.222222,0.82963,1.518519,1,2.888889,0.666667,-1.555556,4.111111,-2.555556,2.888889,0.648677,-1.933239,5
247,92,0,0,0.888889,0.518518,0.444444,0.118519,12.074074,7.555555,20.555555,8.111112,-13.555555,25.444445,-11.888889,20.555555,0.632127,-2.137851,5
63,201,0,0,2.111112,1.734188,2.500001,1.656637,61.62963,54.88889,76.44444,53.555557,-20.222221,44.444443,-24.222221,76.44444,0.299213,-2.034119,6
33,117,0,0,0.277778,0.018519,0.111111,0.02963,1.074074,0,3.111111,0.111111,-3.222222,6.111111,-2.888889,3.111111,1,-2.132635,3
118,85,0,0,3.277778,4.418521,2.277778,6.818519,8.185185,3.555556,14.888889,6.111111,-13.888889,20.11111,-6.222222,14.888889,0.774121,-2.329093,3
121,60,0,0,2.277778,2.329629,2.888889,2.874074,26.74074,24.666666,35.22222,20.333334,-6.222222,25.444445,-19.222221,35.22222,0.4223,-1.776113,1
218,115,0,0,0.944444,0.534027,0.388889,0.389682,22.962963,19.444445,29.444445,20,-10.555555,19.444445,-8.888889,29.444445,0.339149,-2.14867,5
