@relation R_data_frame

@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute Class {1,2,3,4,5}

@data
579,16,0.371684,1
20,22,0.360703,1
842,23,0.384805,1
944,32,0.352227,1
882,39,0.359659,1
608,47,0.486826,1
523,50,0.404147,1
916,55,0.457349,1
812,66,0.40133,1
313,77,0.373197,1
672,81,0.458088,1
690,79,0.41774,1
865,101,0.44084,1
840,111,0.372379,1
821,114,0.375102,1
460,117,0.359481,1
658,119,0.379643,1
681,124,0.376525,1
604,132,0.377856,1
767,136,0.374854,1
732,143,0.355849,1
322,148,0.433069,1
390,156,0.350998,1
556,164,0.355761,1
973,177,0.402585,1
746,188,0.451907,1
724,191,0.35677,1
622,192,0.421111,1
322,197,0.367501,1
166,200,0.430074,1
234,198,0.376104,1
985,200,0.408714,1
142,204,0.37032,1
150,205,0.364068,1
48,224,0.379558,1
395,226,0.416385,1
475,226,0.451462,1
337,229,0.391977,1
350,238,0.396577,1
424,237,0.376822,1
645,237,0.384694,1
623,240,0.390271,1
502,243,0.372066,1
878,243,0.370455,1
376,247,0.353796,1
587,252,0.376041,1
525,256,0.420777,1
905,262,0.368314,1
456,284,0.353603,1
249,292,0.412764,1
508,298,0.417704,1
107,297,0.416196,1
566,298,0.37704,1
759,296,0.400475,1
290,301,0.430194,1
193,300,0.394769,1
600,318,0.405942,1
694,320,0.372569,1
85,326,0.433134,1
132,324,0.376153,1
281,328,0.414368,1
152,332,0.355504,1
555,340,0.368066,1
202,342,0.357174,1
511,346,0.363378,1
614,349,0.408241,1
360,351,0.451898,1
638,351,0.405172,1
282,353,0.389744,1
375,366,0.430805,1
599,365,0.387443,1
541,367,0.403912,1
639,368,0.46983,1
193,370,0.501533,1
100,371,0.365828,1
362,379,0.39194,1
381,382,0.425322,1
423,392,0.365366,1
592,397,0.460868,1
753,397,0.365649,1
84,401,0.395487,1
807,402,0.447134,1
128,405,0.374718,1
155,410,0.401668,1
535,410,0.436382,1
652,408,0.363921,1
318,414,0.36103,1
452,417,0.37031,1
402,424,0.446099,1
348,428,0.356313,1
694,432,0.363932,1
636,435,0.420963,1
158,436,0.35566,1
387,439,0.460183,1
210,444,0.431922,1
542,446,0.366789,1
688,453,0.410617,1
864,453,0.406845,1
768,454,0.365441,1
146,457,0.442563,1
586,456,0.385516,1
796,457,0.374909,1
824,456,0.362614,1
876,460,0.415155,1
506,460,0.39555,1
767,469,0.356342,1
834,469,0.375992,1
720,470,0.350715,1
232,474,0.427391,1
399,473,0.381667,1
455,483,0.409363,1
101,486,0.374604,1
295,487,0.5023,1
979,486,0.375046,1
127,489,0.397746,1
631,489,0.38715,1
489,492,0.425837,1
679,499,0.427482,1
196,498,0.407594,1
231,498,0.382593,1
269,502,0.509977,1
761,499,0.365913,1
515,501,0.399081,1
733,504,0.423088,1
382,506,0.36001,1
493,512,0.489325,1
598,518,0.360687,1
851,521,0.431106,1
374,523,0.447174,1
568,524,0.36044,1
798,526,0.358177,1
877,529,0.407786,1
213,534,0.402756,1
78,533,0.398487,1
902,534,0.39977,1
127,535,0.402496,1
165,539,0.407585,1
114,540,0.357798,1
264,542,0.389835,1
928,543,0.443023,1
382,543,0.375045,1
958,548,0.359906,1
326,553,0.390819,1
440,553,0.451205,1
500,553,0.364047,1
744,555,0.358417,1
764,557,0.504278,1
879,555,0.435634,1
154,560,0.406838,1
786,558,0.361204,1
363,562,0.37473,1
696,563,0.361584,1
598,573,0.358423,1
506,574,0.386671,1
632,578,0.461984,1
775,584,0.368071,1
733,587,0.410537,1
373,590,0.37928,1
979,597,0.418303,1
148,598,0.352698,1
391,609,0.407538,1
720,614,0.415714,1
178,615,0.378775,1
454,614,0.377103,1
760,618,0.353709,1
271,622,0.442154,1
312,620,0.357654,1
770,624,0.428852,1
447,632,0.380368,1
458,634,0.407946,1
310,638,0.463023,1
595,639,0.363389,1
901,639,0.408064,1
477,640,0.354024,1
734,641,0.393366,1
694,645,0.399089,1
501,646,0.373518,1
176,648,0.351153,1
513,650,0.372492,1
332,654,0.418822,1
924,667,0.531003,1
895,667,0.384927,1
904,673,0.372,1
383,678,0.387351,1
64,680,0.351125,1
681,683,0.397199,1
573,686,0.408735,1
619,694,0.408564,1
756,694,0.359102,1
106,698,0.364599,1
172,704,0.354646,1
424,709,0.369232,1
697,712,0.357491,1
353,716,0.389905,1
1000,720,0.456053,1
165,721,0.372322,1
728,723,0.377771,1
257,740,0.361774,1
446,748,0.40923,1
288,750,0.354651,1
817,750,0.376012,1
347,755,0.416357,1
71,768,0.375913,1
333,771,0.381042,1
304,777,0.599234,1
181,780,0.439279,1
121,816,0.474672,1
286,827,0.362845,1
363,831,0.364209,1
628,832,0.424733,1
119,842,0.412369,1
146,866,0.361941,1
388,873,0.444602,1
818,872,0.403421,1
988,875,0.393703,1
345,880,0.365546,1
171,890,0.372212,1
137,903,0.412398,1
363,911,0.508693,1
555,904,0.390582,1
574,907,0.446407,1
591,906,0.368983,1
860,906,0.371441,1
99,916,0.361984,1
562,918,0.404345,1
169,927,0.40311,1
138,938,0.351959,1
595,941,0.382466,1
914,945,0.377342,1
256,959,0.410829,1
634,950,0.363771,1
81,955,0.356889,1
194,959,0.442074,1
328,966,0.36642,1
847,971,0.38503,1
865,973,0.363847,1
826,977,0.461293,1
241,981,0.382981,1
414,980,0.351369,1
75,987,0.396956,1
600,988,0.405772,1
270,993,0.372316,1
276,994,0.350149,1
884,998,0.420557,1
251,1000,0.440863,1
868,996,0.362079,1
657,998,0.410387,1
646,691,0.676401,2
242,16,0.388767,1
25,29,0.415564,1
115,33,0.390333,1
132,34,0.358871,1
588,36,0.404405,1
387,40,0.352041,1
78,45,0.357683,1
540,49,0.367813,1
65,64,0.400174,1
28,67,0.410189,1
759,72,0.363417,1
636,222,0.389103,1
970,230,0.351679,1
912,262,0.357855,1
86,296,0.362375,1
389,320,0.390691,1
478,352,0.352976,1
592,361,0.381273,1
509,362,0.40399,1
114,364,0.361154,1
193,377,0.391905,1
76,416,0.357585,1
847,478,0.399345,1
239,555,0.377303,1
294,568,0.363565,1
319,583,0.432774,1
372,584,0.35182,1
36,620,0.398119,1
63,622,0.391307,1
83,627,0.480808,1
224,640,0.359469,1
244,648,0.474877,1
66,651,0.452787,1
106,651,0.388086,1
275,651,0.384286,1
346,663,0.443476,1
164,666,0.406149,1
29,691,0.37224,1
58,691,0.399653,1
90,689,0.434733,1
265,701,0.388389,1
363,704,0.392225,1
384,704,0.393025,1
126,714,0.495449,1
153,716,0.411082,1
192,721,0.402326,1
18,730,0.460379,1
33,734,0.392317,1
354,737,0.433103,1
68,739,0.403633,1
134,738,0.380494,1
263,758,0.36795,1
113,761,0.425697,1
491,769,0.511236,1
528,780,0.396556,1
288,783,0.365504,1
316,794,0.354518,1
337,796,0.426616,1
991,804,0.391398,1
476,811,0.374874,1
74,810,0.390581,1
904,814,0.360264,1
750,825,0.383543,1
648,826,0.375431,1
310,830,0.411347,1
993,832,0.371451,1
520,846,0.434466,1
131,846,0.412028,1
779,846,0.4034,1
826,847,0.376456,1
847,850,0.368295,1
871,852,0.39379,1
908,856,0.453163,1
767,863,0.450029,1
981,875,0.436765,1
307,880,0.407828,1
769,880,0.459505,1
636,882,0.401983,1
