@relation R_data_frame

@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 numeric
@attribute V9 numeric
@attribute V10 numeric
@attribute V11 numeric
@attribute V12 numeric
@attribute V13 numeric
@attribute V14 numeric
@attribute V15 numeric
@attribute V16 numeric
@attribute V17 numeric
@attribute V18 numeric
@attribute V19 numeric
@attribute V20 numeric
@attribute V21 numeric
@attribute V22 numeric
@attribute V23 numeric
@attribute V24 numeric
@attribute Class {1,2,3,4}

@data
0.438,0.498,3.625,3.645,5,2.918,5,2.351,2.332,2.643,1.698,1.687,1.698,1.717,1.744,0.593,0.502,0.493,0.504,0.445,0.431,0.444,0.44,0.429,4
0.438,0.498,3.625,3.648,5,2.918,5,2.637,2.332,2.649,1.695,1.687,1.695,1.72,1.744,0.592,0.502,0.493,0.504,0.449,0.431,0.444,0.443,0.429,4
0.438,0.498,3.625,3.629,5,2.918,5,2.637,2.334,2.643,1.696,1.687,1.695,1.717,1.744,0.593,0.502,0.493,0.504,0.449,0.431,0.444,0.446,0.429,4
0.437,0.501,3.625,3.626,5,2.918,5,2.353,2.334,2.642,1.73,1.687,1.695,1.717,1.744,0.593,0.502,0.493,0.504,0.449,0.431,0.444,0.444,0.429,4
0.438,0.498,3.626,3.629,5,2.918,5,2.64,2.334,2.639,1.696,1.687,1.695,1.717,1.744,0.592,0.502,0.493,0.504,0.449,0.431,0.444,0.441,0.429,4
0.439,0.498,3.626,3.629,5,2.918,5,2.633,2.334,2.645,1.705,1.686,1.694,1.719,1.744,0.589,0.502,0.493,0.504,0.446,0.431,0.444,0.444,0.43,4
0.44,5,3.627,3.628,5,2.919,3.028,2.346,2.33,2.638,1.727,1.684,1.692,1.714,1.745,0.588,0.501,0.492,0.504,0.451,0.433,0.446,0.444,0.432,4
0.444,5.021,3.631,3.634,5,2.919,5,2.626,2.327,2.638,1.698,1.68,1.688,1.709,1.74,0.595,0.5,0.491,0.503,0.453,0.436,0.448,0.444,0.436,4
0.451,5.025,3.635,3.639,5,2.92,3.027,2.62,2.323,2.632,1.706,1.673,1.681,1.703,0.753,0.595,0.499,0.491,0.502,0.457,0.44,0.453,0.454,0.442,2
0.458,5.022,3.64,3.644,5,2.922,5,2.346,2.321,2.628,1.688,1.666,1.674,1.696,0.744,0.59,0.496,0.49,0.498,0.462,0.444,0.458,0.461,0.449,2
0.465,0.525,3.646,3.67,5,2.923,5,2.611,2.315,2.631,1.674,1.658,1.666,1.688,0.735,0.593,0.495,0.488,0.497,0.467,0.449,0.462,0.469,0.457,2
0.473,0.533,3.652,3.676,5,2.925,5,2.607,2.31,2.623,1.669,1.651,1.659,1.684,0.729,0.578,0.496,0.487,0.498,0.469,0.454,0.467,0.476,0.465,2
0.481,0.544,3.658,3.678,5,2.926,5,2.606,2.303,2.619,1.668,1.643,1.651,1.275,0.723,0.581,0.495,0.486,0.497,0.477,0.459,0.472,0.484,0.472,2
0.484,0.544,3.661,3.665,5,2.928,5,2.321,2.304,5.022,1.647,1.639,1.646,1.27,0.757,0.623,0.493,0.484,0.495,0.48,0.461,0.474,0.485,0.476,2
0.484,0.532,3.669,3.662,2.945,2.926,5,2.326,2.306,2.62,1.648,1.639,1.646,1.27,0.76,0.533,0.493,0.483,0.494,0.507,0.461,0.473,0.486,0.476,2
0.482,0.52,3.685,3.664,2.952,2.927,5,2.981,2.307,2.329,1.65,1.64,1.644,1.268,0.757,0.533,0.492,0.482,0.492,0.513,0.459,0.474,0.485,0.474,2
0.481,0.522,3.682,3.661,2.955,2.927,2.957,2.984,1.7,2.622,1.651,1.641,1.645,1.272,0.761,0.53,0.492,0.482,0.492,0.513,0.462,0.486,0.483,0.473,2
0.48,0.525,3.694,3.664,2.948,2.926,2.95,2.995,1.697,2.619,1.651,1.642,1.646,1.269,0.762,0.53,0.493,0.482,0.492,0.516,0.462,0.486,0.483,0.473,2
0.481,0.515,5.018,3.664,2.956,2.927,2.947,2.993,1.697,2.622,1.651,1.641,1.645,1.269,0.765,0.592,0.489,0.482,0.495,0.531,0.462,0.499,0.483,0.473,2
0.479,5,3.696,3.661,2.953,2.927,2.944,2.993,1.702,2.622,1.649,1.642,1.645,1.269,0.812,0.588,0.489,0.481,0.491,0.51,0.462,0.481,0.483,0.473,2
0.48,0.506,5.019,3.665,2.941,2.929,2.945,2.981,1.7,2.616,1.652,1.642,1.645,1.271,0.814,0.643,0.491,0.48,0.493,0.524,0.461,0.469,0.484,0.473,2
0.479,5,5.019,3.661,2.943,2.93,2.942,2.996,1.698,2.312,1.653,1.642,1.644,1.274,0.811,0.617,0.491,0.479,0.491,0.575,0.461,0.465,0.484,0.473,2
0.479,5,5.02,3.662,2.945,2.931,2.942,2.997,1.7,2.313,1.654,1.642,1.644,1.27,0.908,0.616,0.49,0.478,0.489,0.503,0.46,0.46,0.478,0.473,4
0.481,0.508,5.021,3.66,2.954,2.936,2.946,2.966,1.705,2.313,1.654,1.643,1.643,1.27,1.689,0.678,0.493,0.477,0.483,0.497,0.467,0.459,0.476,0.473,4
0.486,0.51,0.522,3.662,2.958,2.938,2.939,2.627,1.707,2.314,1.659,1.643,1.639,1.665,1.702,0.696,0.516,0.476,0.477,0.547,0.465,0.457,0.47,0.474,4
0.479,0.521,0.52,3.663,2.954,2.938,2.941,2.957,1.712,2.314,1.66,1.643,1.638,1.66,1.758,0.688,0.534,0.475,0.475,0.489,0.461,0.456,0.465,0.474,4
0.48,0.554,0.521,3.664,2.954,2.938,2.941,2.632,1.715,2.313,1.66,1.643,1.637,1.656,1.761,0.687,0.553,0.475,0.474,0.558,0.462,0.453,0.465,0.476,4
0.481,0.511,5.023,3.665,2.954,2.937,2.941,2.627,1.707,2.312,1.66,1.641,1.636,1.655,1.756,0.687,0.545,0.475,0.475,0.504,0.463,0.458,0.47,0.477,4
0.482,0.528,0.524,3.665,2.953,2.937,2.94,2.629,1.706,2.312,1.657,1.64,1.635,1.654,1.756,0.566,0.549,0.475,0.476,0.505,0.464,0.459,0.468,0.477,4
0.482,0.529,0.521,3.665,2.956,2.94,2.94,2.627,1.706,2.312,1.656,1.64,1.635,1.654,1.756,0.566,0.556,0.475,0.476,0.502,0.463,0.459,0.468,0.477,4
0.482,0.525,0.524,3.665,2.953,2.94,2.94,2.63,1.709,2.311,1.66,1.64,1.635,1.654,1.756,0.563,0.542,0.475,0.476,0.488,0.464,0.459,0.468,0.478,4
