@relation R_data_frame

@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute Class {1,2,3,4,5}

@data
85,670,0.597241,4
862,710,0.462056,5
245,86,0.546176,1
752,24,0.494209,1
182,37,0.47513,1
818,29,0.389962,1
956,26,0.355122,1
358,38,0.389436,1
398,43,0.354887,1
938,58,0.388159,1
836,61,0.362605,1
735,73,0.377228,1
802,95,0.450836,1
951,79,0.422121,1
830,81,0.384159,1
131,89,0.384797,1
171,94,0.431496,1
511,100,0.501261,1
128,104,0.4042,1
906,100,0.351349,1
350,117,0.469917,1
397,111,0.377415,1
980,134,0.565381,1
513,142,0.374119,1
522,136,0.368818,1
894,135,0.363331,1
716,147,0.434911,1
637,142,0.368778,1
402,142,0.351663,1
665,147,0.358845,1
893,156,0.432933,1
789,166,0.454515,1
750,164,0.389907,1
396,186,0.390978,1
532,193,0.577974,1
172,174,0.39433,1
888,177,0.406094,1
225,216,0.506526,1
948,180,0.363023,1
740,185,0.469299,1
284,196,0.402087,1
805,204,0.433021,1
173,210,0.402423,1
897,208,0.39882,1
950,220,0.424909,1
292,214,0.370274,1
663,214,0.359842,1
278,216,0.355045,1
736,232,0.507509,1
701,223,0.448977,1
751,322,0.520724,1
867,244,0.468041,1
175,241,0.45284,1
524,238,0.39622,1
440,243,0.435973,1
700,241,0.362975,1
398,251,0.411814,1
323,248,0.438187,1
892,254,0.384228,1
941,265,0.470925,1
556,264,0.365299,1
242,284,0.482052,1
658,279,0.460764,1
425,286,0.396742,1
122,288,0.420255,1
325,293,0.427393,1
882,284,0.47235,1
213,321,0.547802,1
163,297,0.422359,1
613,297,0.367841,1
983,297,0.39234,1
495,298,0.374115,1
704,303,0.38258,1
563,308,0.461712,1
673,375,0.588631,1
411,313,0.409732,1
115,312,0.364401,1
604,321,0.360095,1
436,324,0.358418,1
158,334,0.377017,1
417,332,0.355461,1
380,332,0.352955,1
318,337,0.403125,1
848,353,0.388669,1
604,338,0.352381,1
940,397,0.584829,1
593,372,0.485265,1
236,354,0.352864,1
559,358,0.362982,1
187,464,0.593108,1
158,419,0.513453,1
241,370,0.380445,1
983,376,0.37093,1
375,398,0.49401,1
454,385,0.434652,1
309,387,0.402007,1
94,386,0.385704,1
122,387,0.382026,1
513,397,0.409066,1
502,423,0.45817,1
90,433,0.510419,1
809,493,0.537652,1
577,430,0.36944,1
885,438,0.527169,1
780,442,0.413802,1
573,449,0.386598,1
113,453,0.398933,1
543,456,0.410766,1
590,454,0.367515,1
712,471,0.46409,1
429,456,0.355045,1
656,463,0.357696,1
366,472,0.413353,1
651,479,0.35831,1
490,481,0.358486,1
678,482,0.371031,1
440,491,0.406498,1
644,510,0.518075,1
136,550,0.580173,1
775,510,0.462103,1
884,534,0.456362,1
854,516,0.498053,1
293,519,0.38285,1
611,516,0.370503,1
68,533,0.406434,1
688,533,0.392191,1
970,530,0.354652,1
537,536,0.392683,1
626,552,0.42201,1
544,550,0.355302,1
169,557,0.40446,1
678,579,0.637516,1
74,577,0.417663,1
762,572,0.389168,1
528,583,0.498308,1
876,574,0.418074,1
786,583,0.438665,1
166,574,0.359212,1
558,607,0.486907,1
162,607,0.466069,1
282,594,0.356724,1
764,634,0.505453,1
838,612,0.464954,1
73,624,0.505802,1
500,610,0.388089,1
282,611,0.368378,1
130,633,0.48639,1
711,625,0.57985,1
284,620,0.352588,1
534,662,0.578779,1
825,641,0.373833,1
148,684,0.476158,1
675,651,0.362396,1
814,664,0.461134,1
192,660,0.354034,1
209,671,0.396554,1
271,673,0.386573,1
972,676,0.398472,1
655,676,0.380407,1
17,681,0.407223,1
231,684,0.390099,1
273,690,0.375361,1
636,704,0.504715,1
718,694,0.516154,1
484,703,0.488774,1
605,693,0.410197,1
750,694,0.400764,1
518,697,0.379034,1
68,699,0.376539,1
794,714,0.533628,1
216,708,0.374824,1
123,725,0.397246,1
745,719,0.470703,1
510,724,0.402645,1
967,723,0.422206,1
629,735,0.450639,1
68,763,0.534214,1
188,766,0.484316,1
504,743,0.424355,1
988,745,0.393356,1
940,750,0.404279,1
500,768,0.543352,1
552,763,0.435193,1
142,810,0.517587,1
146,771,0.361709,1
861,778,0.428825,1
264,781,0.373383,1
582,781,0.379028,1
951,785,0.395548,1
733,811,0.47118,1
482,802,0.445586,1
579,798,0.373799,1
880,792,0.354333,1
863,812,0.559534,1
168,803,0.367843,1
69,811,0.38838,1
576,818,0.352942,1
956,824,0.441546,1
17,821,0.388361,1
69,825,0.381763,1
200,827,0.416828,1
522,832,0.374791,1
104,830,0.362198,1
576,836,0.352768,1
197,852,0.354122,1
481,853,0.406261,1
64,867,0.518208,1
627,860,0.503119,1
133,864,0.417208,1
266,861,0.374587,1
197,870,0.409493,1
322,866,0.369837,1
375,872,0.444621,1
141,892,0.50533,1
545,880,0.387082,1
771,883,0.373092,1
990,884,0.375309,1
967,897,0.439132,1
102,895,0.399042,1
304,898,0.366548,1
766,906,0.538251,1
713,908,0.385521,1
1000,909,0.416,1
48,916,0.363739,1
977,927,0.607256,1
140,943,0.487626,1
724,928,0.479971,1
642,933,0.489174,1
756,926,0.35151,1
356,934,0.369545,1
860,936,0.35279,1
810,941,0.360103,1
206,952,0.362363,1
924,969,0.463544,1
790,969,0.427173,1
366,972,0.397974,1
427,974,0.424465,1
138,985,0.386273,1
515,987,0.351771,1
643,1001,0.4439,1
755,1002,0.465021,1
284,120,0.701262,2
267,891,0.567389,2
389,911,0.41722,3
843,26,0.40243,1
622,30,0.360207,1
527,32,0.372178,1
899,58,0.376089,1
916,60,0.379969,1
415,71,0.418164,1
542,67,0.422054,1
799,73,0.431699,1
600,95,0.520882,1
227,89,0.449819,1
16,98,0.406806,1
528,133,0.64975,1
786,120,0.480296,1
464,119,0.402442,1
692,146,0.413749,1
620,146,0.396178,1
698,175,0.461131,1
448,188,0.415933,1
927,186,0.367933,1
262,201,0.526596,1
63,197,0.393101,1
625,217,0.469442,1
902,203,0.367184,1
958,211,0.457735,1
554,212,0.386992,1
32,216,0.352439,1
552,229,0.400546,1
551,253,0.395922,1
580,259,0.417743,1
962,261,0.354194,1
92,301,0.382495,1
71,328,0.416403,1
956,320,0.359372,1
694,352,0.367846,1
16,396,0.364543,1
58,423,0.50807,1
684,418,0.35072,1
383,433,0.384479,1
673,435,0.371919,1
44,448,0.350971,1
41,462,0.421234,1
39,488,0.407375,1
994,518,0.374593,1
109,582,0.514063,1
91,613,0.417602,1
21,625,0.362594,1
295,640,0.365433,1
160,647,0.356944,1
722,661,0.384021,1
350,887,0.408636,1
114,898,0.359833,1
127,912,0.36465,1
394,930,0.406193,1
470,946,0.368704,1
256,973,0.460675,1
354,1007,0.398965,1
129,275,0.508175,4
852,333,0.403728,5
378,665,0.688612,5
212,748,0.575847,4
130,881,0.606904,3
38,16,0.419549,1
272,21,0.462038,1
491,36,0.395501,1
95,42,0.362421,1
808,68,0.496341,1
334,52,0.351172,1
665,71,0.455343,1
858,105,0.637036,1
316,76,0.351515,1
350,84,0.364844,1
79,87,0.359163,1
266,94,0.440833,1
322,90,0.35554,1
546,104,0.526284,1
353,107,0.425876,1
420,115,0.464373,1
899,114,0.41564,1
89,120,0.400753,1
708,117,0.361934,1
965,122,0.373867,1
515,135,0.40815,1
961,134,0.376028,1
202,134,0.358161,1
358,139,0.357138,1
715,144,0.422228,1
889,144,0.443193,1
355,157,0.45906,1
547,156,0.369335,1
585,180,0.506224,1
274,173,0.362037,1
51,177,0.400905,1
18,193,0.421135,1
911,188,0.386639,1
306,202,0.469744,1
78,203,0.366167,1
241,215,0.426635,1
739,218,0.460992,1
117,215,0.36641,1
908,221,0.458951,1
376,226,0.494275,1
945,224,0.399469,1
829,229,0.494706,1
322,242,0.52192,1
76,229,0.389488,1
39,238,0.450109,1
646,234,0.405839,1
388,244,0.468184,1
261,245,0.422447,1
106,255,0.443356,1
642,264,0.404397,1
374,276,0.408269,1
640,281,0.373261,1
353,293,0.412683,1
107,297,0.404991,1
327,296,0.368865,1
640,295,0.390214,1
704,305,0.441018,1
334,313,0.438576,1
54,330,0.520877,1
243,327,0.414969,1
276,338,0.37708,1
92,348,0.446089,1
336,363,0.605017,1
47,355,0.38346,1
531,364,0.390611,1
547,377,0.366238,1
77,384,0.384661,1
590,383,0.429399,1
59,396,0.438663,1
110,398,0.515192,1
268,395,0.45914,1
555,396,0.440303,1
91,412,0.36123,1
88,429,0.414757,1
315,434,0.423412,1
606,430,0.364977,1
113,444,0.540702,1
277,446,0.523248,1
60,451,0.472498,1
168,442,0.434008,1
618,436,0.355973,1
229,449,0.389323,1
396,452,0.371444,1
130,454,0.353778,1
330,466,0.390881,1
135,462,0.362898,1
898,472,0.399806,1
399,479,0.485059,1
138,474,0.353959,1
304,484,0.416056,1
198,487,0.426002,1
118,494,0.430034,1
