@relation R_data_frame

@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute Class {1,2,3,4,5}

@data
361,196,0.562394,4
491,62,0.727225,5
479,37,0.695861,5
579,199,0.548025,4
386,397,0.563887,4
438,22,0.698699,5
557,147,0.464585,4
168,610,0.443619,4
95,284,0.520328,4
134,274,0.501655,4
710,37,0.597612,4
529,16,0.421731,1
768,18,0.407746,1
972,16,0.35279,1
996,16,0.370685,1
92,20,0.41303,1
330,29,0.571142,1
652,21,0.390157,1
824,23,0.404053,1
182,24,0.354908,1
248,27,0.526117,1
1004,27,0.397684,1
372,27,0.373771,1
567,33,0.457891,1
632,26,0.361087,1
515,33,0.531976,1
919,31,0.390593,1
771,56,0.585803,1
290,46,0.44984,1
824,45,0.421051,1
342,54,0.458395,1
381,58,0.622483,1
891,52,0.433634,1
948,52,0.444297,1
668,58,0.393502,1
616,62,0.430173,1
884,86,0.46784,1
813,66,0.617583,1
994,87,0.520271,1
310,77,0.438281,1
202,92,0.531957,1
142,86,0.522612,1
416,82,0.406355,1
834,87,0.521617,1
814,86,0.396566,1
926,89,0.364648,1
349,96,0.428572,1
699,92,0.37088,1
26,94,0.378661,1
670,94,0.358644,1
428,103,0.358566,1
69,106,0.414189,1
980,129,0.527691,1
423,113,0.353297,1
874,118,0.38829,1
342,121,0.426817,1
1000,120,0.350128,1
17,126,0.509885,1
829,125,0.384921,1
406,130,0.449701,1
640,130,0.42805,1
267,129,0.370613,1
453,132,0.474183,1
877,132,0.438104,1
912,136,0.356169,1
382,141,0.380373,1
412,144,0.435496,1
773,145,0.384358,1
903,146,0.356953,1
16,149,0.365668,1
412,158,0.41968,1
446,158,0.353031,1
852,158,0.353036,1
254,163,0.386492,1
324,168,0.520304,1
477,165,0.368138,1
873,168,0.619895,1
1003,169,0.473989,1
778,176,0.478328,1
638,179,0.354335,1
823,179,0.374417,1
852,178,0.35375,1
925,189,0.479753,1
674,186,0.353078,1
835,198,0.577914,1
478,198,0.450493,1
629,198,0.385926,1
819,202,0.439792,1
283,202,0.373664,1
494,207,0.448577,1
