@relation R_data_frame

@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute Class {1,2,3,4,5}

@data
291,802,0.538755,2
234,657,0.620512,2
331,697,0.443227,2
352,772,0.574208,2
41,808,0.758991,2
372,892,0.538957,2
447,951,0.747554,2
364,974,0.706127,2
359,957,0.478071,3
368,914,0.545971,2
230,811,0.607911,4
82,622,0.648503,5
118,654,0.615878,5
166,617,0.552156,4
349,725,0.71727,3
128,814,0.700652,5
464,794,0.640863,5
483,710,0.579615,3
546,974,0.713253,3
535,812,0.53229,3
945,841,0.65309,3
968,856,0.702069,4
805,573,0.690934,3
679,630,0.445181,4
978,132,0.661481,5
399,800,0.558922,4
423,800,0.565849,4
358,678,0.546654,4
255,721,0.495301,4
480,872,0.541334,4
278,16,0.356864,1
385,16,0.358185,1
411,20,0.429404,1
571,20,0.426795,1
600,19,0.382975,1
150,20,0.350395,1
235,24,0.359402,1
491,35,0.460969,1
678,24,0.358206,1
27,28,0.385505,1
978,24,0.350573,1
65,29,0.365609,1
850,29,0.418172,1
921,29,0.382838,1
456,34,0.350712,1
76,38,0.354757,1
321,47,0.411563,1
50,47,0.47039,1
422,46,0.385428,1
180,45,0.366417,1
280,54,0.3844,1
598,55,0.464171,1
956,52,0.367532,1
371,56,0.388185,1
385,58,0.430453,1
972,58,0.359789,1
348,64,0.401471,1
991,62,0.394432,1
221,67,0.416607,1
436,66,0.350279,1
529,68,0.409141,1
442,76,0.392559,1
275,78,0.425569,1
867,79,0.425862,1
714,80,0.357699,1
93,85,0.43429,1
401,91,0.469293,1
544,88,0.476876,1
368,88,0.450994,1
824,87,0.376478,1
458,89,0.381577,1
428,97,0.474584,1
729,95,0.379236,1
767,96,0.393812,1
697,128,0.457934,1
740,108,0.39649,1
163,112,0.365941,1
618,109,0.370582,1
20,112,0.407714,1
431,128,0.543306,1
532,113,0.373159,1
640,120,0.398297,1
476,122,0.37395,1
213,129,0.417187,1
179,127,0.369073,1
83,130,0.410601,1
760,129,0.373449,1
850,130,0.404216,1
634,131,0.353559,1
520,145,0.478074,1
407,147,0.414599,1
828,149,0.383783,1
168,158,0.433143,1
453,159,0.450049,1
203,161,0.513088,1
45,165,0.460279,1
109,165,0.457135,1
413,159,0.394279,1
794,164,0.425144,1
673,164,0.384158,1
733,170,0.432615,1
421,179,0.468555,1
308,175,0.362522,1
503,175,0.373316,1
128,178,0.354905,1
488,202,0.423611,1
222,185,0.530981,1
258,181,0.369289,1
606,186,0.413947,1
821,182,0.369456,1
