%%  Source:
%%  
%%  Muhammad Usman & Adeel Ahmed, usman.madspot '@' gmail.com adeel.ahmed92 
%%  '@' gmail.com, Air University, Students at Air University.
%%  
%%  
%%  Data Set Information:
%%  
%%  Style,  Price,  Rating, Size,   Season, NeckLine,   SleeveLength,   waiseline,  
%%  Material,   FabricType, Decoration, Pattern, Type,  Recommendation are Attributes
%%  in dataset. 
%%  
%%  
%%  Attribute Information:
%%  
%%  Style: Bohemia,brief,casual,cute,fashion,flare,novelty,OL,party,sexy,vintage,work. 
%%  Price:Low,Average,Medium,High,Very-High 
%%  Rating:1-5 
%%  Size:S,M,L,XL,Free  
%%  Season:Autumn,winter,Spring,Summer 
%%  NeckLine:O-neck,backless,board-neck,Bowneck,halter,mandarin-collor,open,peterpan-collor,
%%  ruffled,scoop,slash-neck,square-collar,sweetheart,turndowncollar,V-neck. 
%%  SleeveLength:full,half,halfsleeves,butterfly,sleveless,short,threequarter,turndown,null 
%%  waiseline:dropped,empire,natural,princess,null. 
%%  Material:wool,cotton,mix etc    
%%  FabricType:shafoon,dobby,popline,satin,knitted,jersey,flannel,corduroy etc 
%%  Decoration:applique,beading,bow,button,cascading,crystal,draped,embroridary,feathers,
%%  flowers etc. Pattern type: solid,animal,dot,leapard etc 
%%  Recommendation:0,1 

@relation dresses-sales

@attribute V2 {bohemian,Brief,Casual,cute,fashion,Flare,Novelty,OL,party,sexy,Sexy,vintage,work}
@attribute V3 {'?',Average,high,High,low,Low,Medium,very-high}
@attribute V4 numeric
@attribute V5 {free,L,M,s,S,small,XL}
@attribute V6 {'?',Automn,Autumn,spring,Spring,summer,Summer,winter,Winter}
@attribute V7 {'?',backless,boat-neck,bowneck,halter,mandarin-collor,o-neck,open,peterpan-collor,ruffled,Scoop,slash-neck,sqare-collor,sweetheart,Sweetheart,turndowncollor,v-neck}
@attribute V8 {'?',butterfly,capsleeves,cap-sleeves,full,half,halfsleeve,Petal,short,sleeevless,sleeveless,sleevless,sleveless,threequarter,threequater,thressqatar,turndowncollor,urndowncollor}
@attribute V9 {'?',dropped,empire,natural,princess}
@attribute V10 {'?',acrylic,cashmere,chiffonfabric,cotton,knitting,lace,linen,lycra,microfiber,milksilk,mix,modal,model,nylon,other,polyster,rayon,shiffon,silk,sill,spandex,viscos,wool}
@attribute V11 {'?',batik,broadcloth,chiffon,Corduroy,dobby,flannael,flannel,jersey,knitted,knitting,lace,organza,other,poplin,satin,sattin,shiffon,terry,tulle,wollen,woolen,worsted}
@attribute V12 {'?',applique,beading,bow,button,cascading,crystal,draped,embroidary,feathers,flowers,hollowout,lace,none,pearls,plain,pleat,pockets,rivet,ruched,ruffles,sashes,sequined,tassel,Tiered}
@attribute V13 {'?',animal,character,dot,floral,geometric,leapord,leopard,none,patchwork,plaid,print,solid,splice,striped}
@attribute Class {1,2}

@data
Sexy,Low,4.6,M,Summer,o-neck,sleevless,empire,'?',chiffon,ruffles,animal,2
Casual,Low,0,L,Summer,o-neck,Petal,natural,microfiber,'?',ruffles,animal,1
vintage,High,0,L,Automn,o-neck,full,natural,polyster,'?','?',print,1
Brief,Average,4.6,L,Spring,o-neck,full,natural,silk,chiffon,embroidary,print,2
cute,Low,4.5,M,Summer,o-neck,butterfly,natural,chiffonfabric,chiffon,bow,dot,1
bohemian,Low,0,M,Summer,v-neck,sleevless,empire,'?','?','?',print,1
Casual,Average,0,XL,Summer,o-neck,full,'?',cotton,'?','?',solid,1
Novelty,Average,0,free,Automn,o-neck,short,natural,polyster,broadcloth,lace,'?',1
Flare,Average,0,free,Spring,v-neck,short,empire,cotton,broadcloth,beading,solid,2
bohemian,Low,0,free,Summer,v-neck,sleevless,natural,nylon,chiffon,'?','?',2
party,Average,5,free,Summer,o-neck,full,natural,polyster,broadcloth,lace,solid,1
Flare,Average,0,free,Spring,v-neck,short,'?',nylon,'?','?',animal,1
sexy,Low,4.7,M,Winter,o-neck,threequarter,'?','?',chiffon,lace,print,2
vintage,Average,4.8,M,Summer,o-neck,short,empire,cotton,jersey,'?',animal,2
Casual,Low,5,M,Summer,boat-neck,short,'?',cotton,'?',sashes,solid,1
Casual,Low,0,free,Winter,boat-neck,full,'?',other,other,lace,'?',1
cute,Average,4.7,L,spring,o-neck,short,'?',cotton,'?',sashes,solid,2
bohemian,Medium,5,free,Automn,o-neck,full,natural,'?','?',hollowout,patchwork,2
Brief,Average,0,M,Winter,peterpan-collor,threequarter,natural,cotton,'?','?',patchwork,1
Sexy,Average,5,M,Automn,o-neck,sleevless,empire,milksilk,'?','?','?',2
Sexy,Average,4.5,L,Automn,o-neck,full,'?',cotton,'?',beading,solid,1
Casual,Low,4.3,M,Summer,o-neck,sleevless,natural,'?',chiffon,'?',solid,1
Brief,Low,4,XL,Summer,v-neck,short,natural,cotton,'?',pockets,solid,1
Sexy,Average,4.7,S,Summer,v-neck,sleevless,empire,cotton,'?',sequined,solid,2
Sexy,Average,0,free,Automn,v-neck,sleevless,natural,polyster,'?',lace,patchwork,1
Sexy,Average,0,M,Automn,o-neck,sleevless,empire,cotton,broadcloth,'?',print,1
Sexy,Average,4.7,M,Spring,o-neck,sleevless,natural,'?','?','?',solid,2
Casual,Low,0,L,Summer,o-neck,sleevless,natural,cotton,jersey,'?',print,1
cute,Low,4.3,free,Automn,o-neck,sleevless,natural,polyster,chiffon,sashes,striped,1
cute,Low,4.7,M,Spring,ruffled,short,empire,chiffonfabric,chiffon,bow,dot,2
Casual,Average,4.6,L,Automn,o-neck,sleevless,empire,polyster,chiffon,ruffles,solid,1
Casual,Low,0,M,Spring,o-neck,sleevless,natural,silk,chiffon,applique,solid,2
