@relation R_data_frame

@attribute V1 numeric
@attribute V2 numeric
@attribute Class {1,2,3,4}

@data
1.687,0.445,4
1.687,0.449,4
1.687,0.449,4
1.687,0.449,4
1.687,0.449,4
1.686,0.446,4
1.684,0.451,4
1.68,0.453,4
0.753,0.457,2
0.744,0.462,2
0.735,0.467,2
0.729,0.469,2
0.723,0.477,2
0.757,0.48,2
0.76,0.483,2
0.757,0.482,2
0.761,0.482,2
0.762,0.482,2
0.765,0.482,2
0.812,0.481,2
0.814,0.48,2
0.811,0.479,2
0.908,0.478,4
1.27,0.477,4
1.639,0.476,4
1.638,0.475,4
1.637,0.474,4
1.636,0.475,4
1.635,0.475,4
1.635,0.475,4
1.635,0.475,4
1.635,0.475,4
1.633,0.475,4
1.629,0.474,4
1.624,0.473,4
1.618,0.473,4
1.611,0.473,4
1.609,0.472,4
1.603,0.471,4
0.576,0.471,2
1.581,0.471,4
1.572,0.471,4
1.562,0.47,4
1.553,0.47,4
1.179,0.47,4
1.167,0.47,4
1.159,0.471,4
1.151,0.471,4
1.143,0.471,4
1.136,0.471,4
1.128,0.472,4
1.477,0.472,4
1.129,0.473,4
1.457,0.473,4
1.448,0.474,4
1.438,0.475,4
1.428,0.486,4
1.418,0.485,4
1.409,0.486,4
1.399,0.485,4
1.39,0.486,4
1.38,0.487,4
1.37,0.489,4
1.361,0.491,4
1.354,0.494,4
1.344,0.496,1
1.33,0.498,1
1.32,0.499,1
1.31,0.501,1
1.298,0.504,1
1.285,0.507,1
1.271,0.511,1
1.256,0.515,1
1.239,0.52,1
1.223,0.525,1
1.206,0.53,1
1.188,0.535,1
1.17,0.541,1
1.152,0.548,1
1.133,0.554,1
1.114,0.56,1
1.094,0.567,1
1.075,0.573,1
1.056,0.58,1
1.037,0.586,1
1.019,0.593,1
1.001,0.599,1
0.983,0.606,1
0.966,0.612,1
0.948,0.619,1
0.931,0.625,1
0.914,0.632,1
0.898,0.638,2
0.881,0.645,2
0.864,0.652,2
0.847,0.658,2
0.83,0.66,2
0.815,0.662,2
0.801,0.667,2
0.792,0.67,2
0.792,0.665,2
0.795,0.666,2
0.796,0.665,2
0.796,0.665,2
0.796,0.665,2
0.799,0.664,2
0.799,0.664,2
0.798,0.664,2
0.799,0.664,2
0.798,0.663,2
0.797,0.666,2
0.792,0.671,2
0.791,0.684,2
0.79,0.674,2
0.789,0.66,2
0.788,0.66,2
0.787,0.659,2
0.786,0.661,2
0.785,0.665,2
0.788,0.717,2
0.787,0.833,2
0.79,0.779,2
0.814,0.668,2
0.807,0.809,2
0.786,0.805,2
0.785,0.804,2
0.787,0.854,2
0.791,0.8,2
0.794,0.786,2
0.814,0.78,2
0.88,0.776,2
1.593,0.774,1
1.593,0.77,1
1.593,0.765,1
1.593,0.765,1
1.592,0.763,1
1.591,0.763,1
1.59,0.763,1
1.588,0.763,1
1.586,0.758,1
1.576,0.759,1
1.566,0.753,1
1.555,0.751,1
0.932,0.745,1
1.525,0.739,1
1.508,0.733,1
1.494,0.727,1
1.473,0.721,1
1.454,0.715,1
1.438,0.707,1
1.419,0.7,1
1.399,0.694,1
1.379,0.69,1
1.358,0.683,1
1.338,0.673,1
1.317,0.666,1
0.891,0.663,2
1.276,0.652,1
1.255,0.645,1
1.233,0.638,1
1.212,0.627,1
1.193,0.623,1
1.174,0.613,1
1.156,0.607,1
1.138,0.6,1
1.121,0.594,1
1.105,0.588,1
1.089,0.582,1
1.074,0.576,1
1.058,0.57,1
1.043,0.564,1
1.026,0.562,1
1.009,0.555,1
0.989,0.549,1
0.733,0.539,2
0.711,0.54,2
0.679,0.53,2
0.658,0.521,2
0.65,0.515,2
0.644,0.509,2
0.639,0.504,2
0.86,0.504,2
0.859,0.496,2
0.861,0.491,2
0.865,0.491,2
0.865,0.491,2
0.865,0.49,2
0.865,0.49,2
0.865,0.489,2
0.865,0.488,2
0.868,0.487,2
0.867,0.486,2
0.87,0.485,2
0.869,0.485,2
0.74,0.484,2
0.74,0.483,2
0.861,0.482,2
0.859,0.48,2
0.857,0.478,2
0.853,0.477,2
0.85,0.475,2
0.852,0.474,2
0.852,0.472,2
0.851,0.47,2
0.854,0.467,2
0.857,0.465,2
0.873,0.462,2
1.491,0.46,4
1.202,0.458,4
1.201,0.456,4
1.2,0.455,4
1.198,0.454,4
1.198,0.455,4
1.198,0.455,4
1.197,0.456,4
1.198,0.456,4
1.191,0.457,4
1.186,0.458,4
1.567,0.459,4
1.208,0.461,4
1.553,0.462,4
1.191,0.464,4
1.535,0.465,4
1.528,0.466,4
1.519,0.468,4
1.512,0.47,4
1.416,0.471,4
1.522,0.473,4
1.475,0.476,4
1.487,0.478,4
1.473,0.48,4
1.472,0.483,4
1.459,0.486,4
1.462,0.489,4
1.34,0.491,4
1.335,0.494,4
1.421,0.497,1
1.421,0.5,1
1.414,0.504,1
1.404,0.507,1
1.393,0.511,1
1.381,0.515,1
1.368,0.52,1
1.353,0.526,1
1.309,0.531,1
1.293,0.538,1
1.273,0.545,1
1.287,0.551,1
1.269,0.559,1
1.22,0.566,1
1.202,0.574,1
1.183,0.581,1
1.165,0.589,1
1.143,0.597,1
1.128,0.604,1
1.106,0.612,1
1.09,0.619,1
1.068,0.627,1
1.049,0.635,1
1.03,0.642,1
1.012,0.65,1
0.994,0.657,1
0.975,0.664,1
0.957,0.672,1
0.942,0.679,1
1.173,0.686,1
1.16,0.695,1
1.148,0.702,1
1.139,0.707,1
1.128,0.702,1
1.126,0.704,1
1.473,0.71,1
1.454,0.713,1
1.434,0.719,1
1.412,0.726,1
1.063,0.733,1
1.05,0.741,1
1.04,0.748,1
1.03,0.756,1
1.021,0.763,1
1.011,0.771,1
0.642,0.778,2
0.622,0.786,2
0.606,0.793,2
0.589,0.801,2
0.574,0.805,2
0.559,0.807,2
0.547,0.797,2
0.541,0.786,2
0.549,0.784,2
0.983,0.78,1
0.984,0.78,1
0.983,0.78,1
0.983,0.78,1
0.981,0.78,1
0.98,0.78,1
0.979,0.779,1
0.978,0.779,1
0.978,0.779,1
0.977,0.779,1
0.976,0.778,1
0.974,0.778,1
0.972,0.777,1
0.968,0.777,1
0.961,0.776,1
0.952,0.775,1
0.937,0.773,1
0.924,0.775,1
0.91,0.774,1
0.895,0.773,2
0.88,0.779,2
0.864,0.779,2
0.847,0.779,2
0.832,0.778,2
0.817,0.775,2
0.804,0.771,2
0.793,0.771,2
0.792,0.769,2
0.789,0.768,2
0.791,0.767,2
0.792,0.766,2
0.792,0.766,2
0.792,0.765,2
0.791,0.765,2
0.79,0.764,2
0.791,0.766,2
0.79,0.766,2
0.79,0.769,2
0.789,0.872,2
0.789,0.87,2
0.789,0.865,2
0.788,0.772,2
0.787,0.759,2
0.786,0.753,2
0.785,0.751,2
0.785,0.749,2
0.784,0.746,2
0.787,0.744,2
1.815,0.746,1
0.81,0.381,2
0.789,0.376,2
0.785,0.374,2
0.785,0.374,2
0.785,0.373,2
0.785,0.373,2
0.785,0.372,2
0.785,0.372,2
0.785,0.371,2
0.788,0.37,2
0.788,0.37,2
0.788,0.372,2
