@relation R_data_frame

@attribute V1 {1,2}
@attribute V2 {1,2,3}
@attribute V3 {1,2}
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 {1,2,3}
@attribute V9 numeric
@attribute V10 numeric
@attribute V11 numeric
@attribute V12 numeric
@attribute V13 numeric
@attribute V14 numeric
@attribute V15 numeric
@attribute V16 numeric
@attribute V17 numeric
@attribute V18 numeric
@attribute Class {1,2}

@data
1,1,1,15180,48,-72,-72,1,0,0,0,0,0,0,0,0,0,0,2
1,1,1,14720,33,-70,-79,1,1,0,1,0,0,0,0,0,2000,2000,2
1,1,1,8050,30,-81,-78,1,0,0,0,0,0,0,0,0,0,0,2
1,1,1,28820,171,-23,40,1,1,0,1,0,0,0,0,0,3000,3000,2
1,1,1,12640,57,-63,-52,1,0,0,0,0,0,0,0,0,0,0,2
1,1,2,63760,195,-73,-65,1,0,0,0,0,0,0,0,0,0,0,2
1,1,2,207930,614,-6,18,1,2,2,0,0,0,0,0,0,1000,700,2
1,1,1,48990,194,-27,-3,1,1,0,1,0,0,0,0,0,4000,4000,2
1,1,1,100190,303,54,52,1,0,0,0,0,0,0,0,0,0,0,2
1,1,2,247620,675,4,25,1,1,1,0,0,0,0,0,0,500,500,2
1,1,1,41950,135,-39,-36,1,1,0,1,0,0,0,0,0,5000,5000,2
1,1,1,53250,140,-19,-31,1,0,0,0,0,0,0,0,0,0,0,2
1,1,2,166180,448,-30,-19,1,1,1,0,0,0,0,0,0,400,400,2
1,1,1,64540,215,0,9,1,1,0,1,0,0,0,0,0,6000,6000,2
1,1,1,75670,207,18,4,1,1,1,0,0,0,0,0,0,600,600,2
1,2,2,225040,575,-3,5,1,2,0,2,0,0,0,0,0,7000,6000,2
1,2,1,31290,117,-52,-41,1,0,0,0,0,0,0,0,0,0,0,2
1,2,1,22890,81,-63,-58,1,0,0,0,0,0,0,0,0,0,0,2
1,2,1,13170,59,-77,-67,1,0,0,0,0,0,0,0,0,0,0,2
1,2,1,8900,38,-83,-77,1,0,0,0,0,0,0,0,0,0,0,2
1,1,1,13250,32,-71,-79,1,0,0,0,0,0,0,0,0,0,0,2
1,1,1,11710,70,-72,-47,1,1,0,1,0,0,0,0,0,4000,4000,2
1,1,1,10640,62,-68,-43,1,0,0,0,0,0,0,0,0,0,0,2
1,1,1,45630,155,49,52,1,0,0,0,0,0,0,0,0,0,0,2
1,1,2,424650,1069,1,7,1,2,0,2,0,0,0,0,0,6000,4000,2
1,1,1,38820,213,-82,-57,1,1,0,1,0,0,0,0,0,4000,4000,2
1,1,1,56960,200,-70,-58,1,0,0,0,0,0,0,0,0,0,0,2
1,1,2,212260,729,-50,-28,1,2,1,1,0,0,0,0,0,1400,1000,2
1,1,1,42950,172,-76,-61,1,1,0,1,0,0,0,0,0,6000,6000,2
1,1,2,172290,437,-57,-55,1,1,1,0,0,0,0,0,0,600,600,2
1,1,2,395110,1043,46,40,1,3,0,3,0,0,0,0,0,6000,2000,2
1,1,1,51320,239,11,23,1,1,0,1,0,0,0,0,0,6000,6000,2
1,1,2,144880,361,-46,-52,1,1,0,1,0,0,0,0,0,2000,2000,2
1,1,2,477750,1132,86,60,1,3,3,0,0,0,0,0,0,1500,600,2
1,1,1,71840,255,54,28,1,1,0,1,0,0,0,0,0,6000,6000,2
1,1,2,127360,351,-54,-53,1,1,1,0,0,0,0,0,0,700,700,1
1,1,2,514800,1369,95,94,1,7,4,2,1,0,0,0,0,15700,10000,2
1,1,1,69440,266,41,30,1,0,0,0,0,0,0,0,0,0,0,2
1,1,1,28460,117,-45,-45,1,0,0,0,0,0,0,0,0,0,0,2
1,1,1,23220,112,-53,-45,1,0,0,0,0,0,0,0,0,0,0,2
1,1,1,16630,81,-65,-59,1,0,0,0,0,0,0,0,0,0,0,2
1,1,1,8750,47,-80,-75,1,0,0,0,0,0,0,0,0,0,0,2
1,1,1,20150,64,-51,-62,1,1,0,1,0,0,0,0,0,5000,5000,2
1,1,1,15590,82,-59,-48,1,0,0,0,0,0,0,0,0,0,0,2
1,1,2,102720,265,-64,-66,1,2,1,1,0,0,0,0,0,2700,2000,2
1,1,2,250030,687,-8,-5,1,0,0,0,0,0,0,0,0,0,0,2
1,1,1,39510,204,12,40,1,1,0,1,0,0,0,0,0,5000,5000,2
1,2,1,64200,198,86,35,1,1,1,0,0,0,0,0,0,500,500,2
1,2,2,309010,983,15,38,2,2,1,1,0,0,0,0,0,1800,1000,2
1,2,1,59060,264,65,85,2,1,0,1,0,0,0,0,0,6000,6000,2
1,2,1,66510,215,93,50,2,1,1,0,0,0,0,0,0,300,300,2
1,2,2,248900,739,-9,0,2,1,1,0,0,0,0,0,0,400,400,2
1,2,1,51620,186,51,34,1,1,0,1,0,0,0,0,0,7000,7000,2
1,2,1,45150,140,24,-4,1,0,0,0,0,0,0,0,0,0,0,2
1,2,1,60460,191,56,29,1,0,0,0,0,0,0,0,0,0,0,2
1,1,1,18330,91,-57,-43,1,1,0,1,0,0,0,0,0,4000,4000,2
1,1,1,50580,134,15,-18,1,0,0,0,0,0,0,0,0,0,0,2
1,1,2,269070,767,-1,4,1,2,2,0,0,0,0,0,0,800,400,2
1,1,1,37360,171,-21,0,1,1,0,1,0,0,0,0,0,4000,4000,2
1,1,2,372770,975,37,32,1,3,3,0,0,0,0,0,0,1400,700,2
1,1,1,44180,203,-10,13,1,0,0,0,0,0,0,0,0,0,0,2
1,1,1,32070,138,-36,-23,1,0,0,0,0,0,0,0,0,0,0,2
1,1,1,31540,121,-32,-30,1,0,0,0,0,0,0,0,0,0,0,2
1,1,1,46380,133,6,-16,1,1,0,1,0,0,0,0,0,5000,5000,2
1,1,1,18160,78,-57,-48,1,0,0,0,0,0,0,0,0,0,0,2
1,1,1,147520,472,-2,-6,1,0,0,0,0,0,0,0,0,0,0,2
1,1,2,202640,588,-33,-41,1,2,1,1,0,0,0,0,0,4300,4000,2
1,1,2,259110,1409,-11,46,1,1,1,0,0,0,0,0,0,900,900,2
1,1,1,40210,193,-71,-59,1,1,0,1,0,0,0,0,0,5000,5000,2
1,1,1,59210,175,-54,-61,1,0,0,0,0,0,0,0,0,0,0,2
1,1,2,590510,1780,23,-6,1,1,1,0,0,0,0,0,0,800,800,2
1,1,1,75930,305,-38,-27,1,1,0,1,0,0,0,0,0,6000,6000,2
1,1,1,73030,240,25,7,1,0,0,0,0,0,0,0,0,0,0,2
1,1,2,317360,1068,-36,-44,1,0,0,0,0,0,0,0,0,0,0,2
1,1,2,227990,734,-52,-59,1,2,1,1,0,0,0,0,0,4300,4000,2
1,1,1,96080,433,60,92,1,0,0,0,0,0,0,0,0,0,0,2
1,1,2,210960,773,-44,-35,1,1,0,1,0,0,0,0,0,5000,5000,2
1,1,1,24900,159,-57,-29,1,0,0,0,0,0,0,0,0,0,0,2
1,1,2,302440,1250,-16,9,1,2,2,0,0,0,0,0,0,600,300,2
