@relation R_data_frame

@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute Class {1,2,3,4,5}

@data
428,220,0.390286,3
166,397,0.474952,3
586,735,0.685856,3
886,969,0.727257,3
815,594,0.370061,4
957,412,0.512294,4
499,564,0.435859,4
415,805,0.559074,5
693,885,0.533162,5
568,17,0.396445,1
281,24,0.40947,1
68,26,0.421151,1
196,27,0.364875,1
745,26,0.39107,1
370,31,0.440829,1
491,39,0.410691,1
916,34,0.369486,1
379,45,0.400493,1
935,44,0.367914,1
797,52,0.467992,1
992,48,0.363907,1
37,54,0.372702,1
478,62,0.432964,1
43,63,0.354667,1
377,82,0.380199,1
538,85,0.3737,1
26,92,0.404733,1
394,97,0.411239,1
213,100,0.36903,1
327,102,0.368844,1
88,106,0.354913,1
282,107,0.392545,1
858,106,0.394286,1
883,122,0.367335,1
952,129,0.38221,1
828,133,0.357413,1
917,138,0.368914,1
970,140,0.37221,1
16,157,0.386135,1
917,165,0.376364,1
530,168,0.355871,1
23,175,0.566267,1
666,180,0.354094,1
213,182,0.375562,1
255,192,0.37194,1
443,198,0.367706,1
772,202,0.359943,1
998,205,0.378673,1
657,208,0.360012,1
20,221,0.355786,1
575,223,0.366769,1
426,238,0.354676,1
396,247,0.39015,1
408,250,0.353019,1
307,258,0.395933,1
452,260,0.395643,1
244,279,0.411452,1
59,285,0.371188,1
396,291,0.365686,1
188,298,0.354778,1
76,303,0.387832,1
568,307,0.398903,1
843,312,0.37843,1
84,314,0.390314,1
374,324,0.503849,1
100,325,0.376165,1
838,328,0.354316,1
170,356,0.351059,1
62,361,0.389042,1
182,366,0.403949,1
671,361,0.366001,1
588,372,0.36296,1
288,374,0.362584,1
624,376,0.357938,1
709,378,0.375922,1
885,382,0.411866,1
221,390,0.397514,1
218,400,0.369166,1
403,402,0.422653,1
50,405,0.376841,1
584,405,0.387571,1
106,408,0.360203,1
907,428,0.379449,1
956,462,0.361582,1
206,477,0.378817,1
841,481,0.373472,1
78,490,0.456898,1
758,492,0.352839,1
844,492,0.358544,1
234,496,0.352276,1
140,499,0.376987,1
182,500,0.3889,1
