@relation R_data_frame

@attribute V1 numeric
@attribute V2 {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute V3 {1,2,3}
@attribute V4 {1,2,3,4}
@attribute V5 {1,2}
@attribute V6 numeric
@attribute V7 {1,2}
@attribute V8 {1,2}
@attribute V9 {1,2,3}
@attribute V10 numeric
@attribute V11 {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute V12 numeric
@attribute V13 numeric
@attribute V14 numeric
@attribute V15 numeric
@attribute V16 {1,2,3,4}
@attribute Class {1,2}

@data
58,5,2,3,1,2143,2,1,3,5,9,261,1,-1,0,4,1
44,10,3,2,1,29,2,1,3,5,9,151,1,-1,0,4,1
33,3,2,2,1,2,2,2,3,5,9,76,1,-1,0,4,1
47,2,2,4,1,1506,2,1,3,5,9,92,1,-1,0,4,1
33,12,3,4,1,1,1,1,3,5,9,198,1,-1,0,4,1
35,5,2,3,1,231,2,1,3,5,9,139,1,-1,0,4,1
28,5,3,3,1,447,2,2,3,5,9,217,1,-1,0,4,1
42,3,1,3,2,2,2,1,3,5,9,380,1,-1,0,4,1
58,6,2,1,1,121,2,1,3,5,9,50,1,-1,0,4,1
43,10,3,2,1,593,2,1,3,5,9,55,1,-1,0,4,1
41,1,1,2,1,270,2,1,3,5,9,222,1,-1,0,4,1
29,1,3,2,1,390,2,1,3,5,9,137,1,-1,0,4,1
53,10,2,2,1,6,2,1,3,5,9,517,1,-1,0,4,1
58,10,2,4,1,71,2,1,3,5,9,71,1,-1,0,4,1
57,8,2,2,1,162,2,1,3,5,9,174,1,-1,0,4,1
51,6,2,1,1,229,2,1,3,5,9,353,1,-1,0,4,1
45,1,3,4,1,13,2,1,3,5,9,98,1,-1,0,4,1
57,2,2,1,1,52,2,1,3,5,9,38,1,-1,0,4,1
60,6,2,1,1,60,2,1,3,5,9,219,1,-1,0,4,1
33,8,2,2,1,0,2,1,3,5,9,54,1,-1,0,4,1
28,2,2,2,1,723,2,2,3,5,9,262,1,-1,0,4,1
56,5,2,3,1,779,2,1,3,5,9,164,1,-1,0,4,1
32,2,3,1,1,23,2,2,3,5,9,160,1,-1,0,4,1
25,8,2,2,1,50,2,1,3,5,9,342,1,-1,0,4,1
40,6,2,1,1,0,2,2,3,5,9,181,1,-1,0,4,1
44,1,2,2,1,-372,2,1,3,5,9,172,1,-1,0,4,1
39,5,3,3,1,255,2,1,3,5,9,296,1,-1,0,4,1
52,3,2,2,1,113,2,2,3,5,9,127,1,-1,0,4,1
46,5,3,2,1,-246,2,1,3,5,9,255,2,-1,0,4,1
36,10,3,2,1,265,2,2,3,5,9,348,1,-1,0,4,1
57,10,2,2,1,839,1,2,3,5,9,225,1,-1,0,4,1
49,5,2,3,1,378,2,1,3,5,9,230,1,-1,0,4,1
60,1,2,2,1,39,2,2,3,5,9,208,1,-1,0,4,1
59,2,2,2,1,0,2,1,3,5,9,226,1,-1,0,4,1
51,5,2,3,1,10635,2,1,3,5,9,336,1,-1,0,4,1
57,10,1,2,1,63,2,1,3,5,9,242,1,-1,0,4,1
25,2,2,2,1,-7,2,1,3,5,9,365,1,-1,0,4,1
53,10,2,2,1,-3,1,1,3,5,9,1666,1,-1,0,4,1
36,1,1,2,1,506,2,1,3,5,9,577,1,-1,0,4,1
37,1,3,2,1,0,2,1,3,5,9,137,1,-1,0,4,1
44,8,1,2,1,2586,2,1,3,5,9,160,1,-1,0,4,1
50,5,2,2,1,49,2,1,3,5,9,180,2,-1,0,4,1
60,2,2,4,1,104,2,1,3,5,9,22,1,-1,0,4,1
54,6,2,2,1,529,2,1,3,5,9,1492,1,-1,0,4,1
58,6,2,4,1,96,2,1,3,5,9,616,1,-1,0,4,1
36,1,3,1,1,-171,2,1,3,5,9,242,1,-1,0,4,1
58,7,2,3,1,-364,2,1,3,5,9,355,1,-1,0,4,1
