@relation R_data_frame

@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 numeric
@attribute V9 numeric
@attribute V10 numeric
@attribute V11 numeric
@attribute V12 numeric
@attribute V13 numeric
@attribute V14 numeric
@attribute V15 numeric
@attribute V16 numeric
@attribute V17 numeric
@attribute V18 numeric
@attribute V19 numeric
@attribute V20 numeric
@attribute V21 numeric
@attribute V22 numeric
@attribute V23 numeric
@attribute V24 numeric
@attribute V25 numeric
@attribute V26 numeric
@attribute V27 numeric
@attribute V28 numeric
@attribute V29 numeric
@attribute V30 numeric
@attribute V31 numeric
@attribute V32 numeric
@attribute V33 numeric
@attribute V34 numeric
@attribute V35 numeric
@attribute V36 numeric
@attribute V37 numeric
@attribute V38 numeric
@attribute V39 numeric
@attribute V40 numeric
@attribute V41 numeric
@attribute V42 numeric
@attribute V43 numeric
@attribute V44 numeric
@attribute V45 numeric
@attribute V46 numeric
@attribute V47 numeric
@attribute V48 numeric
@attribute V49 numeric
@attribute V50 numeric
@attribute V51 numeric
@attribute V52 numeric
@attribute V53 numeric
@attribute V54 numeric
@attribute V55 numeric
@attribute V56 numeric
@attribute V57 numeric
@attribute V58 numeric
@attribute V59 numeric
@attribute V60 numeric
@attribute V61 numeric
@attribute V62 numeric
@attribute V63 numeric
@attribute V64 numeric
@attribute V65 numeric
@attribute V66 numeric
@attribute V67 numeric
@attribute V68 numeric
@attribute V69 numeric
@attribute V70 numeric
@attribute V71 numeric
@attribute V72 numeric
@attribute V73 numeric
@attribute V74 numeric
@attribute V75 numeric
@attribute V76 numeric
@attribute V77 numeric
@attribute V78 numeric
@attribute V79 numeric
@attribute V80 numeric
@attribute V81 numeric
@attribute V82 numeric
@attribute V83 numeric
@attribute V84 numeric
@attribute V85 numeric
@attribute V86 numeric
@attribute V87 numeric
@attribute V88 numeric
@attribute V89 numeric
@attribute V90 numeric
@attribute Class {1,2,3,4}

@data
-1,-1,63,-3,-1,0,0,0,62,-3,-1,0,-1,-1,61,-3,0,0,-1,-1,63,-2,-1,0,-1,-1,63,-3,-1,0,-1,-1,63,-3,-1,0,-1,-1,63,-3,0,0,-1,-1,63,-3,-1,0,-1,-1,63,-3,-1,0,-1,-1,61,-3,0,0,-1,-1,61,-3,0,0,-1,-1,64,-3,-1,0,-1,-1,64,-3,-1,0,-1,-1,60,-3,0,0,-1,0,64,-2,-1,0,3
-1,-1,63,-2,-1,0,-1,-1,63,-3,-1,0,-1,-1,61,-3,0,0,0,-4,63,1,0,0,0,-1,59,-2,0,-1,-3,3,57,-8,-3,-1,-1,3,70,-10,-2,-1,0,-3,61,0,0,0,0,-2,53,-1,-2,0,0,-3,66,1,4,0,-3,3,58,-10,-5,0,-1,-1,66,-4,-2,0,-1,-2,67,-3,-1,0,0,1,66,-6,-3,-1,-1,-1,59,-3,-4,0,3
-1,0,57,-5,-3,0,0,-3,63,-1,0,0,-1,1,51,-4,-1,-1,-1,-2,68,-2,-2,0,-1,-1,65,-6,1,0,0,0,61,-5,-2,0,-1,1,61,-6,0,-1,0,-3,57,3,-4,0,-1,-1,59,-4,-4,0,1,-3,65,-1,1,0,-1,2,64,-7,-2,0,-1,1,66,-7,-3,-1,-1,0,61,-5,-5,0,-1,0,65,-6,-2,-1,-1,0,54,-4,-3,0,3
0,-1,59,-2,-1,-1,0,-3,61,-1,2,0,-2,1,56,-6,-3,0,1,-3,64,-1,4,0,-1,1,62,-7,1,-1,-1,0,60,-9,-5,-1,1,1,56,-5,0,0,1,-1,66,-4,2,1,-2,5,64,-15,-2,0,-1,2,58,-8,-4,0,0,1,70,-9,-2,-1,-1,1,64,-8,-6,-1,0,-1,67,-6,0,-1,0,-2,63,-4,0,0,-1,1,63,-8,-2,0,3
0,-2,65,-4,-2,0,-1,-2,56,-5,-3,0,0,0,58,-9,-1,0,-1,-1,56,-5,-3,0,-2,3,57,-12,-4,-1,-1,-2,65,-5,-2,0,-1,2,56,-9,-5,0,2,-2,60,-2,3,1,0,1,67,-9,-2,1,-1,2,60,-10,-5,0,0,-3,63,-3,-1,0,-1,-1,73,-8,-5,0,-1,0,57,-7,-4,-1,-1,0,59,-8,-4,-1,-1,1,57,-9,-4,-1,3
-1,2,57,-10,-3,0,-2,3,60,-12,-4,-1,-1,2,63,-12,-6,1,1,3,62,-11,0,0,-3,2,56,-9,-4,0,0,1,58,-8,-1,-1,-1,3,57,-11,-4,0,-2,3,61,-10,-5,0,-3,3,60,-11,-4,0,1,2,64,-9,0,-1,-1,2,60,-9,-5,0,-1,3,63,-12,-6,0,-1,0,52,-8,-2,0,-2,3,58,-13,-5,0,1,-2,59,-7,0,-1,3
-3,1,53,-10,-4,0,0,-2,65,-4,-1,0,-1,-1,56,-7,-3,0,0,-2,60,-6,0,0,-1,-1,57,-7,-4,0,-1,-1,56,-7,-3,0,-1,-1,61,-8,-5,0,-1,0,57,-6,-5,0,-2,-1,57,-7,-4,1,-1,0,53,-10,-5,-1,0,-2,70,-7,-5,0,-1,0,67,-10,-7,-1,0,-2,50,-3,-1,0,-1,-1,59,-9,-4,0,0,-2,61,-6,-1,0,3
2,0,69,-10,2,1,-2,1,58,-11,-4,0,-2,3,54,-12,-6,0,1,-1,62,-6,0,0,-1,1,63,-11,-3,-1,-1,0,50,-8,-1,-1,-1,0,60,-13,-5,0,-1,0,57,-11,-4,-1,-1,0,60,-8,-5,-1,-1,1,60,-8,-5,-1,1,0,60,-7,-1,0,-2,1,60,-12,-6,3,-1,0,63,-10,-3,1,-1,-1,54,-11,-3,0,0,-3,57,-5,1,0,3
-1,1,58,-11,-4,-1,0,0,64,-9,-3,0,0,0,61,-11,-2,0,-1,2,55,-13,-3,1,-1,1,51,-11,-4,0,0,3,58,-13,-4,0,-3,5,61,-18,-7,-1,2,1,69,-10,0,1,-1,1,61,-13,-5,-1,-2,3,57,-15,-6,-1,0,-2,57,-8,-4,1,-1,-2,58,-8,-4,1,-1,-1,56,-10,-3,0,0,0,57,-9,-4,0,-1,0,57,-9,-4,3,3
-1,-1,63,-3,-1,0,-1,-1,61,-2,-2,0,-1,-1,63,-3,0,0,-1,-1,64,-2,0,0,-1,-1,63,-2,-1,0,-1,-1,63,-3,0,0,-1,-1,63,-2,-1,0,-1,-1,63,-3,0,0,-1,-1,63,-3,-1,0,-1,-1,63,-3,0,0,0,0,63,-3,-1,0,-1,-1,63,-2,-1,0,-1,-1,63,-2,-1,0,-1,-1,64,-2,0,0,-1,-1,64,-3,-1,0,3
