%%  Source:
%%  
%%  Michele Filannino, PhD 
%%  University of Manchester 
%%  Centre for Doctoral Training 
%%  Email: filannim_AT_cs.man.ac.uk
%%  
%%  
%%  Data Set Information:
%%  
%%  I collected 64 e-mails from DBWorld newsletter and I used them to train 
%%  different algorithms in order to classify between 'announces of conferences' 
%%  and 'everything else'. I used a binary bag-of-words representation with a 
%%  stopword removal pre-processing task before.
%%  
%%  
%%  Attribute Information:
%%  
%%  Each attribute corresponds to a precise word or stem in the entire data set 
%%  vocabulary (I used bag-of-words representation).

@relation dbworld-subjects

@attribute V1 {0,1}
@attribute V2 {0,1}
@attribute V3 {0,1}
@attribute V4 {0,1}
@attribute V5 {0,1}
@attribute V6 {0,1}
@attribute V7 {0,1}
@attribute V8 {0,1}
@attribute V9 {0,1}
@attribute V10 {0,1}
@attribute V11 {0,1}
@attribute V12 {0,1}
@attribute V13 {0,1}
@attribute V14 {0,1}
@attribute V15 {0,1}
@attribute V16 {0,1}
@attribute V17 {0,1}
@attribute V18 {0,1}
@attribute V19 {0,1}
@attribute V20 {0,1}
@attribute V21 {0,1}
@attribute V22 {0,1}
@attribute V23 {0,1}
@attribute V24 {0,1}
@attribute V25 {0,1}
@attribute V26 {0,1}
@attribute V27 {0,1}
@attribute V28 {0,1}
@attribute V29 {0,1}
@attribute V30 {0,1}
@attribute V31 {0,1}
@attribute V32 {0,1}
@attribute V33 {0,1}
@attribute V34 {0,1}
@attribute V35 {0,1}
@attribute V36 {0,1}
@attribute V37 {0,1}
@attribute V38 {0,1}
@attribute V39 {0,1}
@attribute V40 {0,1}
@attribute V41 {0,1}
@attribute V42 {0,1}
@attribute V43 {0,1}
@attribute V44 {0,1}
@attribute V45 {0,1}
@attribute V46 {0,1}
@attribute V47 {0,1}
@attribute V48 {0,1}
@attribute V49 {0,1}
@attribute V50 {0,1}
@attribute V51 {0,1}
@attribute V52 {0,1}
@attribute V53 {0,1}
@attribute V54 {0,1}
@attribute V55 {0,1}
@attribute V56 {0,1}
@attribute V57 {0,1}
@attribute V58 {0,1}
@attribute V59 {0,1}
@attribute V60 {0,1}
@attribute V61 {0,1}
@attribute V62 {0,1}
@attribute V63 {0,1}
@attribute V64 {0,1}
@attribute V65 {0,1}
@attribute V66 {0,1}
@attribute V67 {0,1}
@attribute V68 {0,1}
@attribute V69 {0,1}
@attribute V70 {0,1}
@attribute V71 {0,1}
@attribute V72 {0,1}
@attribute V73 {0,1}
@attribute V74 {0,1}
@attribute V75 {0,1}
@attribute V76 {0,1}
@attribute V77 {0,1}
@attribute V78 {0,1}
@attribute V79 {0,1}
@attribute V80 {0,1}
@attribute V81 {0,1}
@attribute V82 {0,1}
@attribute V83 {0,1}
@attribute V84 {0,1}
@attribute V85 {0,1}
@attribute V86 {0,1}
@attribute V87 {0,1}
@attribute V88 {0,1}
@attribute V89 {0,1}
@attribute V90 {0,1}
@attribute V91 {0,1}
@attribute V92 {0,1}
@attribute V93 {0,1}
@attribute V94 {0,1}
@attribute V95 {0,1}
@attribute V96 {0,1}
@attribute V97 {0,1}
@attribute V98 {0,1}
@attribute V99 {0,1}
@attribute V100 {0,1}
@attribute V101 {0,1}
@attribute V102 {0,1}
@attribute V103 {0,1}
@attribute V104 {0,1}
@attribute V105 {0,1}
@attribute V106 {0,1}
@attribute V107 {0,1}
@attribute V108 {0,1}
@attribute V109 {0,1}
@attribute V110 {0,1}
@attribute V111 {0,1}
@attribute V112 {0,1}
@attribute V113 {0,1}
@attribute V114 {0,1}
@attribute V115 {0,1}
@attribute V116 {0,1}
@attribute V117 {0,1}
@attribute V118 {0,1}
@attribute V119 {0,1}
@attribute V120 {0,1}
@attribute V121 {0,1}
@attribute V122 {0,1}
@attribute V123 {0,1}
@attribute V124 {0,1}
@attribute V125 {0,1}
@attribute V126 {0,1}
@attribute V127 {0,1}
@attribute V128 {0,1}
@attribute V129 {0,1}
@attribute V130 {0,1}
@attribute V131 {0,1}
@attribute V132 {0,1}
@attribute V133 {0,1}
@attribute V134 {0,1}
@attribute V135 {0,1}
@attribute V136 {0,1}
@attribute V137 {0,1}
@attribute V138 {0,1}
@attribute V139 {0,1}
@attribute V140 {0,1}
@attribute V141 {0,1}
@attribute V142 {0,1}
@attribute V143 {0,1}
@attribute V144 {0,1}
@attribute V145 {0,1}
@attribute V146 {0,1}
@attribute V147 {0,1}
@attribute V148 {0,1}
@attribute V149 {0,1}
@attribute V150 {0,1}
@attribute V151 {0,1}
@attribute V152 {0,1}
@attribute V153 {0,1}
@attribute V154 {0,1}
@attribute V155 {0,1}
@attribute V156 {0,1}
@attribute V157 {0,1}
@attribute V158 {0,1}
@attribute V159 {0,1}
@attribute V160 {0,1}
@attribute V161 {0,1}
@attribute V162 {0,1}
@attribute V163 {0,1}
@attribute V164 {0,1}
@attribute V165 {0,1}
@attribute V166 {0,1}
@attribute V167 {0,1}
@attribute V168 {0,1}
@attribute V169 {0,1}
@attribute V170 {0,1}
@attribute V171 {0,1}
@attribute V172 {0,1}
@attribute V173 {0,1}
@attribute V174 {0,1}
@attribute V175 {0,1}
@attribute V176 {0,1}
@attribute V177 {0,1}
@attribute V178 {0,1}
@attribute V179 {0,1}
@attribute V180 {0,1}
@attribute V181 {0,1}
@attribute V182 {0,1}
@attribute V183 {0,1}
@attribute V184 {0,1}
@attribute V185 {0,1}
@attribute V186 {0,1}
@attribute V187 {0,1}
@attribute V188 {0,1}
@attribute V189 {0,1}
@attribute V190 {0,1}
@attribute V191 {0,1}
@attribute V192 {0,1}
@attribute V193 {0,1}
@attribute V194 {0,1}
@attribute V195 {0,1}
@attribute V196 {0,1}
@attribute V197 {0,1}
@attribute V198 {0,1}
@attribute V199 {0,1}
@attribute V200 {0,1}
@attribute V201 {0,1}
@attribute V202 {0,1}
@attribute V203 {0,1}
@attribute V204 {0,1}
@attribute V205 {0,1}
@attribute V206 {0,1}
@attribute V207 {0,1}
@attribute V208 {0,1}
@attribute V209 {0,1}
@attribute V210 {0,1}
@attribute V211 {0,1}
@attribute V212 {0,1}
@attribute V213 {0,1}
@attribute V214 {0,1}
@attribute V215 {0,1}
@attribute V216 {0,1}
@attribute V217 {0,1}
@attribute V218 {0,1}
@attribute V219 {0,1}
@attribute V220 {0,1}
@attribute V221 {0,1}
@attribute V222 {0,1}
@attribute V223 {0,1}
@attribute V224 {0,1}
@attribute V225 {0,1}
@attribute V226 {0,1}
@attribute V227 {0,1}
@attribute V228 {0,1}
@attribute V229 {0,1}
@attribute V230 {0,1}
@attribute V231 {0,1}
@attribute V232 {0,1}
@attribute V233 {0,1}
@attribute V234 {0,1}
@attribute V235 {0,1}
@attribute V236 {0,1}
@attribute V237 {0,1}
@attribute V238 {0,1}
@attribute V239 {0,1}
@attribute V240 {0,1}
@attribute V241 {0,1}
@attribute V242 {0,1}
@attribute Class {1,2}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
