@relation R_data_frame

@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 numeric
@attribute V9 numeric
@attribute V10 numeric
@attribute V11 numeric
@attribute V12 numeric
@attribute V13 numeric
@attribute V14 numeric
@attribute V15 numeric
@attribute V16 numeric
@attribute V17 numeric
@attribute V18 numeric
@attribute V19 numeric
@attribute V20 numeric
@attribute V21 numeric
@attribute V22 numeric
@attribute V23 numeric
@attribute V24 numeric
@attribute V25 numeric
@attribute V26 numeric
@attribute V27 numeric
@attribute V28 numeric
@attribute V29 numeric
@attribute V30 numeric
@attribute V31 numeric
@attribute V32 numeric
@attribute V33 numeric
@attribute V34 numeric
@attribute V35 numeric
@attribute V36 numeric
@attribute V37 numeric
@attribute V38 numeric
@attribute V39 numeric
@attribute V40 numeric
@attribute V41 numeric
@attribute V42 numeric
@attribute V43 numeric
@attribute V44 numeric
@attribute V45 numeric
@attribute V46 numeric
@attribute V47 numeric
@attribute V48 numeric
@attribute V49 numeric
@attribute V50 numeric
@attribute V51 numeric
@attribute V52 numeric
@attribute V53 numeric
@attribute V54 numeric
@attribute V55 numeric
@attribute V56 numeric
@attribute V57 numeric
@attribute V58 numeric
@attribute V59 numeric
@attribute V60 numeric
@attribute V61 numeric
@attribute V62 numeric
@attribute V63 numeric
@attribute V64 numeric
@attribute Class {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100}

@data
0.025391,0.012695,0.003906,0.004883,0.039062,0,0.017578,0.035156,0.023438,0.013672,0.000977,0.036133,0,0,0,0,0.024414,0,0.02832,0.021484,0,0.003906,0.007812,0.001953,0,0.001953,0.044922,0,0.027344,0,0.03125,0,0,0.069336,0,0,0.000977,0.027344,0.023438,0.012695,0.006836,0,0.011719,0.16211,0.005859,0.022461,0.025391,0.013672,0,0.041016,0,0,0,0.012695,0.10352,0,0.001953,0.000977,0.022461,0,0,0.001953,0,0.027344,1
0.004883,0.018555,0.00293,0,0.069336,0,0.013672,0.043945,0.026367,0,0,0.39551,0,0,0,0,0.032227,0,0.010742,0.027344,0,0,0.032227,0.000977,0,0,0.000977,0,0.02832,0.000977,0.027344,0,0,0.018555,0.003906,0,0,0.020508,0,0.000977,0,0,0.000977,0.003906,0.03125,0.014648,0.012695,0.037109,0,0.011719,0,0,0,0.011719,0.070312,0,0.017578,0,0.004883,0,0,0,0,0.00293,1
0.018555,0.013672,0.00293,0.00293,0.051758,0,0.019531,0.035156,0.022461,0.000977,0,0.20898,0,0,0,0,0.042969,0,0.017578,0.021484,0,0,0.035156,0.003906,0,0,0.014648,0,0.023438,0,0.025391,0,0,0.0625,0.00293,0,0,0.027344,0.004883,0.007812,0,0,0.012695,0.020508,0.033203,0.016602,0.025391,0.021484,0,0.007812,0,0,0,0.022461,0.15625,0,0.008789,0,0.001953,0,0,0,0,0.005859,1
0.035156,0.023438,0.000977,0,0.061523,0,0.021484,0.061523,0.010742,0.001953,0,0.22266,0,0,0,0,0.022461,0,0.008789,0.018555,0,0,0.036133,0,0,0,0.000977,0,0.035156,0,0.040039,0,0,0.078125,0.00293,0,0,0.039062,0.001953,0.004883,0,0,0.000977,0.004883,0.019531,0.025391,0.021484,0.019531,0,0.012695,0,0,0,0.009766,0.10547,0,0.026367,0,0.00293,0,0,0,0,0.022461,1
0.038086,0.014648,0.003906,0.000977,0.046875,0,0.022461,0.053711,0.019531,0.004883,0.000977,0.076172,0,0,0,0,0.019531,0,0.006836,0.035156,0,0.007812,0.033203,0,0,0,0.015625,0,0.032227,0,0.049805,0,0,0.073242,0,0,0,0.019531,0.016602,0.006836,0,0,0.012695,0.058594,0.018555,0.029297,0.020508,0.013672,0,0.035156,0,0,0,0.020508,0.15039,0,0.00293,0,0.023438,0,0,0,0,0.015625,1
0.045898,0.017578,0,0.003906,0.044922,0,0.017578,0.036133,0.006836,0.00293,0,0.058594,0,0.000977,0,0,0.021484,0,0.011719,0.024414,0,0,0.036133,0.003906,0.00293,0,0.042969,0,0.018555,0,0.064453,0,0,0.10059,0.000977,0,0,0.025391,0.011719,0.008789,0.00293,0,0.023438,0.082031,0.021484,0.03125,0.032227,0.016602,0,0.004883,0,0,0,0.018555,0.11035,0,0.006836,0,0.008789,0,0,0.000977,0,0.030273,1
0.011719,0.012695,0.001953,0.000977,0.064453,0,0.014648,0.052734,0.016602,0.001953,0,0.2168,0,0.005859,0,0,0.008789,0,0.005859,0.024414,0,0.011719,0.023438,0,0.000977,0,0.00293,0.000977,0.045898,0,0.040039,0,0,0.030273,0.001953,0,0,0.023438,0.006836,0.022461,0,0,0.009766,0.006836,0.009766,0.024414,0.029297,0.037109,0.000977,0.064453,0,0,0,0.019531,0.094727,0,0.015625,0,0.016602,0,0,0,0,0.020508,1
0.03418,0.018555,0.004883,0,0.055664,0,0.022461,0.032227,0.001953,0.005859,0,0.076172,0,0,0,0,0.021484,0,0.018555,0.009766,0,0,0.063477,0,0,0.000977,0.009766,0.003906,0.003906,0.000977,0.009766,0,0,0.15918,0,0,0,0.048828,0.004883,0.023438,0.00293,0,0.003906,0.038086,0.038086,0.048828,0.014648,0.005859,0,0,0,0,0,0.018555,0.17578,0,0.008789,0,0.000977,0,0,0,0,0.012695,1
0.044922,0.012695,0,0.000977,0.070312,0,0.008789,0.038086,0.00293,0,0,0.070312,0,0,0,0,0.033203,0,0.001953,0.014648,0,0,0.026367,0,0.000977,0,0,0,0.00293,0,0.00293,0,0,0.14453,0,0,0,0.071289,0.004883,0.013672,0,0,0.006836,0.041016,0.053711,0.054688,0.008789,0.015625,0,0.003906,0,0,0,0,0.16504,0,0.057617,0,0.001953,0,0,0,0,0.024414,1
0.095703,0.001953,0.00293,0.014648,0.023438,0,0.03418,0.015625,0.018555,0.050781,0.000977,0.045898,0,0.007812,0,0,0.001953,0,0.025391,0.010742,0,0.015625,0.006836,0,0.007812,0.003906,0.051758,0,0.048828,0.000977,0.037109,0,0.001953,0.038086,0.001953,0,0,0.019531,0.076172,0.025391,0.010742,0,0.018555,0.040039,0.003906,0.001953,0.040039,0.00293,0.000977,0.03418,0,0,0.00293,0.02832,0.061523,0,0.003906,0,0.027344,0,0,0.00293,0,0.033203,1
