@relation R_data_frame

@attribute V1 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22}
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 numeric
@attribute V9 numeric
@attribute V10 numeric
@attribute V11 numeric
@attribute V12 numeric
@attribute V13 numeric
@attribute V14 numeric
@attribute V15 numeric
@attribute V16 numeric
@attribute V17 numeric
@attribute V18 numeric
@attribute V19 numeric
@attribute V20 numeric
@attribute V21 numeric
@attribute Class {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}

@data
1,690,690,14,2,4,0,1.2623,0.1024,0.7713,0.741058,1,0.700042,1.9701,12.5538,0.9912,2.3012,0.113,8.771681,19.364602,3.893,1
1,690,690,14,2,4,0,1.2623,0.1024,0.7713,0.741058,1,0.700042,1.9701,12.5538,0.9912,2.3012,0.113,8.771681,19.364602,5.45,2
1,690,690,14,2,4,0,1.2623,0.1024,0.7713,0.741058,1,0.700042,1.9701,12.5538,0.9912,2.3012,0.113,8.771681,19.364602,1.791,3
1,690,690,14,2,4,0,1.2623,0.1024,0.7713,0.741058,1,0.700042,1.9701,12.5538,0.9912,2.3012,0.113,8.771681,19.364602,1.557,4
1,690,690,14,2,4,0,1.2623,0.1024,0.7713,0.741058,1,0.700042,1.9701,12.5538,0.9912,2.3012,0.113,8.771681,19.364602,3.114,5
1,690,690,14,2,4,0,1.2623,0.1024,0.7713,0.741058,1,0.700042,1.9701,12.5538,0.9912,2.3012,0.113,8.771681,19.364602,1.868,6
1,690,690,14,2,4,0,1.2623,0.1024,0.7713,0.741058,1,0.700042,1.9701,12.5538,0.9912,2.3012,0.113,8.771681,19.364602,1.09,8
1,690,690,14,2,4,0,1.2623,0.1024,0.7713,0.741058,1,0.700042,1.9701,12.5538,0.9912,2.3012,0.113,8.771681,19.364602,0,7
1,690,690,14,2,4,0,1.2623,0.1024,0.7713,0.741058,1,0.700042,1.9701,12.5538,0.9912,2.3012,0.113,8.771681,19.364602,67.655,9
1,690,690,14,2,4,0,1.2623,0.1024,0.7713,0.741058,1,0.700042,1.9701,12.5538,0.9912,2.3012,0.113,8.771681,19.364602,1.324,10
1,690,690,14,2,4,0,1.2623,0.1024,0.7713,0.741058,1,0.700042,1.9701,12.5538,0.9912,2.3012,0.113,8.771681,19.364602,5.683,11
1,690,690,14,2,4,0,1.2623,0.1024,0.7713,0.741058,1,0.700042,1.9701,12.5538,0.9912,2.3012,0.113,8.771681,19.364602,24.057,12
1,690,690,14,2,4,0,1.2623,0.1024,0.7713,0.741058,1,0.700042,1.9701,12.5538,0.9912,2.3012,0.113,8.771681,19.364602,0.779,13
1,690,690,14,2,4,0,1.2623,0.1024,0.7713,0.741058,1,0.700042,1.9701,12.5538,0.9912,2.3012,0.113,8.771681,19.364602,0.779,14
1,690,690,14,2,4,0,1.2623,0.1024,0.7713,0.741058,1,0.700042,1.9701,12.5538,0.9912,2.3012,0.113,8.771681,19.364602,0.467,16
1,690,690,14,2,4,0,1.2623,0.1024,0.7713,0.741058,1,0.700042,1.9701,12.5538,0.9912,2.3012,0.113,8.771681,19.364602,1.635,15
1,690,690,14,2,4,0,1.2623,0.1024,0.7713,0.741058,1,0.700042,1.9701,12.5538,0.9912,2.3012,0.113,8.771681,19.364602,3.893,17
1,690,690,14,2,4,0,1.2623,0.1024,0.7713,0.741058,1,0.700042,1.9701,12.5538,0.9912,2.3012,0.113,8.771681,19.364602,67.655,18
1,690,690,14,2,4,0,1.2623,0.1024,0.7713,0.741058,1,0.700042,1.9701,12.5538,0.9912,2.3012,0.113,8.771681,19.364602,5.138,20
1,690,690,14,2,4,0,1.2623,0.1024,0.7713,0.741058,1,0.700042,1.9701,12.5538,0.9912,2.3012,0.113,8.771681,19.364602,0.779,19
1,690,690,14,2,4,0,1.2623,0.1024,0.7713,0.741058,1,0.700042,1.9701,12.5538,0.9912,2.3012,0.113,8.771681,19.364602,3.893,21
1,690,690,14,2,4,0,1.2623,0.1024,0.7713,0.741058,1,0.700042,1.9701,12.5538,0.9912,2.3012,0.113,8.771681,19.364602,5.917,22
1,690,690,14,2,4,0,1.2623,0.1024,0.7713,0.741058,1,0.700042,1.9701,12.5538,0.9912,2.3012,0.113,8.771681,19.364602,1.09,23
